id,j,w,s,l,i,d,lr,type,j1,j2,j3,w1,w2,w3,s1,s2,s3,l,d,after,before,type,id,cate,ranking,labyrinth,guide_kind,guide_ratio
1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,300047,300147,-1,-1,-1,-1,-1,-2,0
2,1,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,300047,300147,-1,-1,-1,-1,-1,-2,0
56,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,300006,300047,-1,-1,-1,-1,-1,-2,0
60,1,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,300247,-1,-1,-1,-1,-1,-1,-2,0
11,0,1,0,0,0,0,0,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,20
85,0,1,0,0,0,0,0,2,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,20
84,0,1,0,0,0,0,0,2,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,20
83,0,1,0,0,0,0,0,2,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,20
82,0,1,0,0,0,0,0,2,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,20
81,0,1,0,0,0,0,0,2,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,20
80,0,1,0,0,0,0,0,2,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,20
79,0,1,0,0,0,0,0,2,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,20
37,0,1,0,0,0,0,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
36,0,1,0,0,0,0,0,1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
35,0,1,0,0,0,0,0,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
34,0,1,0,0,0,0,0,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
33,0,1,0,0,0,0,0,1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
32,0,1,0,0,0,0,0,1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
31,0,1,0,0,0,0,0,1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
19,0,1,0,0,0,0,0,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0
18,0,1,0,0,0,0,0,0,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,-1,-2,0
17,0,1,0,0,0,0,0,0,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,-2,0
55,0,1,0,0,0,0,0,0,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,-1,-2,0
54,0,1,0,0,0,0,0,0,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,-1,-2,0
53,0,1,0,0,0,0,0,0,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,-1,-2,0
16,0,1,0,0,0,0,0,0,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,300447,300547,-1,-1,-1,-1,-1,-2,0
52,0,1,0,0,0,0,0,0,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,300447,300547,-1,-1,-1,-1,-1,-2,0
14,0,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,300447,-1,-1,-1,-1,-1,-1,-2,0
59,0,1,0,0,0,0,0,0,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,300347,300447,-1,-1,-1,-1,-1,-2,0
15,0,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,300347,300447,-1,-1,-1,-1,-1,-2,0
13,0,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,300347,-1,-1,-1,-1,-1,-2,0
61,0,1,0,0,0,0,0,0,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,-1,-2,0
12,0,0,1,0,0,0,0,3,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,20
92,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10
91,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10
90,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10
89,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10
88,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10
87,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10
86,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10
78,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
77,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
76,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
75,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
74,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
73,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
72,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
71,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0
70,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,300847,-1,-1,-1,-1,-1,-1,-2,0
65,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,300847,-1,-1,-1,-1,-1,-2,0
68,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,300847,-1,-1,-1,-1,-1,-1,-2,0
67,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,300847,-1,-1,-1,-1,-1,-1,-2,0
66,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,300847,-1,-1,-1,-1,-1,-1,-2,0
63,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,300747,300847,-1,-1,-1,-1,-1,-2,0
64,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,300747,-1,-1,-1,-1,-1,-1,-2,0
62,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,300747,-1,-1,-1,-1,-1,-1,-2,0
51,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,300647,300747,-1,-1,-1,-1,-1,-2,0
50,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,300647,300747,-1,-1,-1,-1,-1,-2,0
49,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,300647,-1,-1,-1,-1,-1,-2,0
69,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,300847,-1,-1,-1,-1,-1,-1,-2,0
22,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,40
109,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,20
111,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,10
110,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,20
112,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,10
116,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,10
38,0,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,10
113,0,0,0,0,0,1,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1300000,-1,-1,-1,-1,1,-1,-1,20
114,0,0,0,0,0,1,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1300000,-1,-1,-1,-1,2,-1,-2,0
115,0,0,0,0,0,1,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1300000,-1,-1,-1,-1,3,-1,-1,5
46,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,10
47,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-2,0
48,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,5
101,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300006,3700002,-1,-1,-1,-1,-1,-1,10
102,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300047,3700102,-1,-1,-1,-1,-1,-1,10
103,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300147,3700201,-1,-1,-1,-1,-1,-1,10
104,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300222,3700301,-1,-1,-1,-1,-1,-1,10
105,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300247,3700402,-1,-1,-1,-1,-1,-1,10
106,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300347,3700501,-1,-1,-1,-1,-1,-1,10
107,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300447,3700601,-1,-1,-1,-1,-1,-1,10
108,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300647,3700702,-1,-1,-1,-1,-1,-1,10
93,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,1,-1,30
94,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,2,-2,0
95,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,3,-1,5
