스피드 업|전투 스피드가 2배속이 됩니다|전투 중, 아이템 아이콘을 누르면|ON·OFF 가능합니다|＠|
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
리더십|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
리스타트 팩|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠
럭키 티켓G|＠
럭키 티켓G|＠
럭키 티켓G|＠
럭키 티켓|＠
럭키 티켓G|＠
럭키 티켓|＠
럭키 티켓G|＠
럭키 티켓|＠
빅쿠리맨 초코|＠
럭키 티켓G|＠
럭키 티켓|＠
암모나이트|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
럭키 티켓G|＠
럭키 티켓G|＠
럭키 티켓|＠
럭키 티켓G|＠
레전드 티켓|＠
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
고양이 도령 사용 3시간 무제한|＠|||
야옹컴 사용 3시간 무제한|＠|||
스냥이퍼 사용 3시간 무제한|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
플래티넘 조각|＠|||
전설의 벌레 채집망|＠|||
XP 5000|＠|||
악마 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠|
악마 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠|
|＠|||
물음표 박스|＠|||
황금 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠|
|＠|||
전설의 러브레터|＠|||
자수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
홍수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
청수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
녹수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
황수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
전설의 성수|＠|||
전설의 벌레 채집망|＠|||
브론즈 훈장|＠|||
실버 훈장|＠|||
골드 훈장|＠|||
플래티넘 훈장|＠|||
|＠|||
자수석 결정|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석 결정|＠|
홍수석 결정|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석 결정|＠|
청수석 결정|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석 결정|＠|
녹수석 결정|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석 결정|＠|
황수석 결정|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석 결정|＠|
무지개 수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
전설의 복주머니|＠|||
전설의 러브레터|＠|||
벽돌Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
깃털Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
참숯Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
철 톱니바퀴Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
황금Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
우주석Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
수수께끼의 뼈Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
암모나이트Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
전설의 성수|＠|||
