%s|Un tenero shiba, rivale dei Battle Cats.|Quest'anno vuole andare all'università.|Molto premuroso, manda regali|di compleanno al Gatto ogni anno.|
%s|Usa gli acquerelli per il body painting.|Quindi... non resiste molto all'acqua.|Questa informazione non ha niente a|che fare con il gioco.|
%s|Un gruppo di bulli a cui piace coalizzarsi.|Si sono conosciuti su internet.|Stranamente|sono tutti molto ricchi.|
%s|Questo pericoloso ippopotamo|ha fiducia nella sua potenza e resistenza.|Lui/lei ha una capacità di multi attacco.|Non sappiamo se sia un lui o una lei.|
%s (Rosso)|Ama farsi le lampade,|ecco perché ha la pelle rossa.|Nato in un allevamento bio all'aperto.|Sapevi che i maiali amano la pulizia?|
%s|Adora guardare i film di kung-fu,|sogna di sfondare a Hollywood.|Usa un kung-fu da autodidatta.||
%s|È riuscito a farsi cacciare dallo zoo|per la sua faccia spaventosa.|Non ha lavoro né istruzione,|perciò si è dato ad alcol e gioco d'azzardo.|
%s|Nome banale. Aspetto banale.|Ha il terrore di essere troppo normale.|Prova a rimediare con lezioni di comicità|alla scuola di recitazione.|
%s (Rosso)|Arrivato in città|dalla placida spiaggia.|Voleva più attenzioni, così|si è dipinto di rosso.|
%s|Ha una portata estremamente lunga.|Gli piacciono le donne in carne. Molto in carne.|Colleziona un sacco di riviste...|Non chiedere quali.|
%s|Sognava di diventare pugile|Non ci è riuscito|perché... beh, è un canguro.|Storia tristissima.|
%s (Rosso)|Ama aiutare il prossimo.|Lavora part time dai pompieri.|Tuttavia, essendo così lento|non arriva mai in tempo all'incendio.|
%s|Un maestro d'asilo. ADORA i bambini.|I suoi artigli affilati non sono l'ideale.|Non è parente di quell'altro orso.|Nessuno sa il suo vero nome.|
%s|Salvato da Dundee.|Infatuato della didattica a distanza.|È riuscito a ottenere diversi titoli.|Certificato di videoscrittura di serie B.|
%s (Rosso)|Ha lasciato una multinazionale|e ora dirige 4 aziende.|Spera di diventare sindaco prima o poi.||
%s|Parla un antico dialetto inglese.|No, davvero, sembra inglese ma|è impossibile capire cosa dica.|Lavora alla scuola inglese accanto alla stazione.|
%s (Nero)|Con licenza di uccidere.|La crisi finanziaria globale non lo aiuta|molto, però. Guarda i volantini.|Offre un milione a uccisione.|
%s (Rosso/Flutt.)|Terribilmente timido.|Adora cantare, ma non lo ha|mai fatto davanti a nessuno.|... lo specchio vale? Karaoke in solitaria.|
%s (Fluttuante)|È rimasto senza corpo dopo una dieta ferrea.|Non si sa perché fluttui.|Davvero, qualcuno lo sa?|(Meglio non provarci a casa.)|
|||||
|||||
%s (Metallico)|Metallippo ha abusato di un software|per condividere file e si è preso|un virus Trojan, ora è fuori controllo.|Sembra essere debole agli attacchi critici.|
|||||
%s (Metallico)|Un Cornetto che ha subìto un potenziamento|cibernetico. Può intercettare le onde radio|e trasmettere quasi istantaneamente.|Ma non fa mai in tempo.|
%s (Metallico)|Professor Orso ha subìto cyber-impianti sperimentali|per un'educazione più potente ed efficiente.|Ora le sue lezioni sono troppo pesanti per i bambini|e ha dovuto spostarsi in un istituto professionale.|
%s (Metallico)|Cimelio della guerra finale dell'umanità, questo cyborg|riduce tutto in polvere con una maggior forza della mascella.|Sembra fluttuare, ma in realtà si muove|su una dozzina di gambe al plasma invisibili.|
%s (Metallico)|Una foca arrivata in città|sognando il successo.|Voleva più attenzioni, così|ha deciso di diventare un cyborg.|
|||||
|||||
|||||
|||||
%s (Rosso/Flutt.)|L'implacabile assalto del vento|tiene lontani occhi indiscreti.|Se solo ci fosse un modo per fermarlo|o stordirlo... una possibilità di contrattacco?|
|||||
|||||
|||||
|||||
%s (Fluttuante)|Attacca continuamente mentre si muove|e nessuno può fermare la sua forza ciclonica.|Sembra ricevere un sacco di attenzioni,|forse a causa di un certo aspirapolvere.|
%s (Flutt./Nero)|Attacca continuamente mentre si muove|e nessuno può fermare la sua forza ciclonica.|Ha una potenza di spinta maggiore.|... o potenza di aspirazione?|
%s (Metallico)|Attacca continuamente mentre si muove|e nessuno può fermare la sua forza ciclonica.|Un vortice di schegge metalliche volanti.|Il suo corpo pesante gli impedisce di fluttuare.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Angelico)|Un essere iracondo che elimina il male|con la forza di un tifone.|Attenzione: gli angelici non subiscono|danni dagli attacchi di anti-fluttuanti!|
%s (Angelico)|Un Ippo che bramava un'aureola.|Ha creato delle ali con i capelli...|il che lo rende la cosa più simile|a Pegaso. Dico bene?|
%s (Angelico)|Il bisnonno del clan del Cane.|Sorveglia per assicurarsi che gli eredi|continuino a studiare: chi dorme in classe|si becca un morso dal vecchio!|
%s (Angelico)|Un brutto muso lo ha fatto|cacciare dal paradiso.|Un angelo caduto vecchia scuola che|vive appostandosi alle slot machine.|
%s|Ha sperperato i suoi risparmi in prodotti angelici.|Ha scoperto che gli angelici non sono|fluttuanti dopo aver ossessivamente|collezionato Miaocapsule rare.|
%s|Un Cane che ha copiato il|Gatto muro e si è trasformato in un muro.|Non aveva previsto che gli altri Cani lo|avrebbero usato come tessera del domino.|
%s (Rosso)|La sua bella chioma rossa ha ispirato|una tesi di laurea sull'haircare dei rettili.|La tintura è sempre ad acquerello, e questa|informazione è sempre inutile.|
%s (Angelico)|Un persico di nome Jones. Sì, e allora?|Simile a un bombardiere stealth,|quindi non è rilevabile dai sistemi radar.|In realtà, è così che è entrato in paradiso.|
|||||
|||||
|||||
%s (Fluttuante)|Non teme mai di guidare la battaglia|per difendere gli ideali pacifisti.|Picchia amorevolmente i Gatti invasori|con il suo affilato becco diplomatico.|
%s (Nero)|Porta l'arma finale della famiglia: la|normalissima pietra, terrore delle vongole.|In realtà è un nocciolo di prugna, ma non dirlo|o andrà fuori di testa.|
%s (Angelico)|Il dio-cavallo a otto zampe del mito norreno.|Spende tutto lo stipendio in|scarpe, quindi di solito passa i weekend|a casa a fare giardinaggio.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s|Ha sparlato dei suoi amici sul suo|blog personale, "Dico-solo-la-verità.com".|È diventato troppo famoso e ora non lo|chiama più nessuno: internet non dimentica!|
%s (Metallico)|Tornando dalla scuola, in cielo|ha visto un gigantesco disco d'argento.|Non ricorda cosa sia successo dopo, ma|ora indossa solo tute argentate?|
%s (Rosso)|Un errore quantistico lo ha fatto tornare bambino.|La gente non sa cosa pensare quando quel|viso coriaceo piange per le caramelle, ma al|cinema paga ancora il biglietto intero.|
%s (Nero)|Questo pachiderma nero è un collezionista maniacale|di film per gentiluomini. Teme|che il suo hobby possa essere scoperto|così fa a pezzi chiunque gli si avvicini.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Angelico)|Un energico novellino al suo secondo|giorno di lavoro in paradiso. L'Oca|non ne può più di sentirlo parlare di quanto|sia bella la sua nuova casa in paradiso.|
|||||
|||||
|||||
|||||
|||||
|||||
%s (Alieno)|Un adorabile Cane, geneticamente modificato|dagli invasori per essere il soldato perfetto!|Dice sempre "Pensiamo", ma è molto egoista.|Per questo combatte con i suoi coinquilini.|
%s (Alieno)|Ha superato il problema agli occhi per laurearsi|in design d'interni. La sua filosofia è "Semplice|è meglio". Si è scoperto che dipinge tutto di|blu e si prende il resto della settimana libera.|
%s (Alieno)|Questo Ippo viene rapito dagli alieni ogni mese.|Traumatizzato dalla cosa che gli cresce|sulla testa, la sua pelle è diventata blu come|il suo cuore, e così ha cambiato nome.|
%s (Alieno)|Un tricheco guerriero venuto dallo spazio|per sconfiggere le foche rosse della Terra. Non|ha mani, ma per educazione cerca di stringerti|la mano. Non mentirò su questo gentleman elegante.|
%s (Alieno/Flutt.)|Un idolo pop del pianeta degli insetti, nota per|i suoi abiti appariscenti e sexy. Molti fan|sono arrivati per il suo Tour Terra, ma nessun|umano è sopravvissuto. Può immobilizzare unità Gatto.|
%s (Alieno)|Ha occhi così grandi che possono vedere|per due anni luce. Ma è troppo luminoso di|giorno, così rimane in casa fino al tramonto. Porta|speciali lentine che indeboliscono l'attacco dei Gatti.|
%s (Alieno)|Ha chiesto un prestito di 45 anni per una casa|vera per coprire quella COSA che gli cresce dietro.|Va ancora tutti i weekend a visitare case.|Può sopravvivere a un colpo letale.|
%s (Alieno/Flutt.)|Un cameo dal programma Face Force 5.|Venuto a proteggere la Terra, è diventato cattivo|dopo essere stato ignorato a cena da chi era|intento a guardare il telefono. Può immobilizzare Gatti.|
%s (Alieno)|Ha visitato la Terra in crociera, ma si|è allontanato dal gruppo e l'hanno lasciato lì.|Lavora alla NASA sperando di intrufolarsi in un razzo.|Più danni subisce, più diventa forte.|
%s (Alieno/Flutt.)|La sua missione: iniziare l'apocalisse e|distruggere la razza umana. Per sbaglio è|atterrata sulla luna. Ora fa dei crateri per|noia. Indebolisce attacchi dei Gatti.|
%s (Alieno)|Il taglio a scodella aiuta a contenere la forza|del suo potere razionale. Cerca un elegante|capitano di navicella per imparare ad amare.|Si fa strada con logica e zanne.|
%s (Alieno)|Rampolla del cyberg-porcile, Liz ha quasi|posto fine alla sua stirpe strozzandosi|con un fungo. È ancora blu da quel giorno.|Usa potenti attacchi a ondata.|
%s (Alieno/Flutt.)|Tempesta nebulosa nata da un buco nero,|fa a pezzi tutto ciò che si avvicina.|Meglio bloccarlo e attaccare dietro una copertura!|Attacchi più forti dopo aver subito danni.|
%s (Alieno)|Ha l'orrido potere di reindirizzare tutte|le tue future e-mail a indirizzi a caso. Non|saprai mai perché i tuoi amici si sono dimenticati|di te. Attacchi a volte rallentano movimento.|
%s (Alieno/Flutt.)|Ha ricevuto la lancia canina Baunir per scherzo|a un addio al nubilato. Ora la sua mente|è annebbiata dall'ira contro tutti i felini...|Diventa più forte dopo aver subito danni.|
%s (Alieno)|Già campione dei pesi welter di Gliese 832c.|Le hanno tolto il titolo quando i giudici hanno|notato i guantoni che aveva nel 4° round.|Sono ottimi per infliggere potenti respinte.|
%s (Alieno)|Una macchina assassina con un solo scopo:|impedire che vengano postate su internet|foto di gatti. Voleva unirsi al Capitolo 1,|ma non ha fatto in tempo a prendere il bus.|
%s (Alieno)|Unica figlia della dinastia politica più potente|di Centauri anno 1192. Bella, intelligente,|spiritosa... eppure ha sposato un chihuahua|di un reality. Più forte dopo aver subito danni.|
%s (Rosso)|Anche se è ancora uno studente universitario,|la sua ricerca sulle cose zozze è così profonda|e meticolosa che gli amici lo chiamano Professore.|Le esperienze amorose sono ancora a zero.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Rosso)|Brasiliana maniaca del fitness. Va in palestra due|volte al giorno e mastica sempre bene il cibo.|Appesantita dai muscoli, è più lenta di quanto|sembri, ma quegli attacchi critici fanno davvero male.|
%s (Rosso)|Una volta dopo un pisolino ho trovato Kory|nella mia cucina. Dopo averlo cacciato via|per avermi razziato il frigo, sembra che il tramonto|sulla schiena gli abbia risvegliato poteri oscuri.|
%s (Fluttuante)|DICI SUL SERIO??? Non mangia glutine,|ma non perde l'occasione di far colpo sulle|ragazze con briciole del panificio bio.|Il cervello è grande come una noce, ma ci sa fare.|
%s (Alieno/Flutt.)|La navicella è atterrata rovinosamente vicino al|mercato del pesce Tsukiji. Ha introdotto uno stile|traslucido che ora è très chic al porto.|Indebolisce molto gli attacchi nemici.|
%s (Alieno)|Gobbetta si è attaccata delle palline di cotone per|diventare un alpaca. Allergica alle fibre,|non smette di tossire e sputare, ma|è troppo orgogliosa per ammettere di aver sbagliato.|
%s (Alieno)|Il nonno del BRADIPO ha comprato un pass eterno|per le terme. I minerali curativi dell'acqua|in cui passa tutto il suo tempo gli hanno dato|le abilità di super velocità e potenti respinte!|
%s (Alieno/Flutt.)|Il DNA di Bum Bum si è legato a una creatura|aliena. Ha infettato pure gli studenti e ora|la scuola è un grande cervello-alveare (fonte: Ippo).|A volte spara una potente ondata di energia.|
%s (Alieno/Flutt.)|Finalmente ha sbloccato la cerniera del costume|e ora è libero e inarrestabile! Non controlla le|spinte distruttive che lo spingono a|devastare tutto ciò che lo circonda!|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Angelico)|Questo essere mistico è la salvezza dell'umanità...|o la sua distruzione. Ma per ora è troppo impegnato|a essere un genitore single iperprotettivo che|protegge il figlio con attacchi a lungo raggio.|
|||||
|||||
%s|Cerco un degno rivale! #Lottalpa è l'unico|Tweet sul profilo di questo aspirante artista|marziale. La sua tecnica segreta "Pugno di talpa"|respinge i nemici da ultra lontano.|
%s (Fluttuante)|Una tempesta di categoria 5 divenuta enorme|consumando cicloni più piccoli. Respinge minacce|da ultra lontano. I meteorologi dicono che|avvicinarsi al suo occhio ne disattiva la Respinta.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Angelico)|Fa impazzire tutti con i suoi|consigli ipocriti. Meglio fingere|di ascoltarlo, o ti colpirà per bene:|Un giorno mi ringrazierai per questo!|
%s (Rosso/Nero)|Un tempo conduceva un famoso quiz televisivo.|Questo tipo migratore ora viaggia per il mondo|giocando a golf e tornando a fare ospitate in TV|se finisce i soldi. Spara ondate di avidità.|
%s (Nero)|Uno spietato lanciatore semiprofessionista che|ricorre a qualsiasi mezzo per vincere.|Lancia palle non regolamentari da lontano|per intimidire i battitori della squadra avversaria.|
%s|Nato nell'anno 1196 del calendario cosmico, si è|guadagnato una corona grazie al servizio militare|e ai progressi scientifici. Infastidito dal fatto|che il fratellino sia più famoso per un reality show.|
%s|Una ragazza delle foreste scelta come assassina|dall'armata canina. L'armata felina la teme per|l'uso spietato di qualsiasi tattica necessaria|per uccidere. Perfino un bazooka a lungo raggio!|
|||||
|||||
%s (Angelico)|Assistente esecutivo del produttore discografico|più famoso del paradiso. Ghost writer per due|meteore musicali: "Gatto senza peccato" e|C.P.U. (Intelligenza futuristica n. II).|
|||||
|||||
|||||
|||||
%s|Ci ha messo 9 anni sabbatici per trovare il|coraggio di iscriversi all'università. Spera di|laurearsi in fisica nucleare per controllare i suoi raggi|di particelle, ma papà vuole che studi contabilità.|
%s (Rosso)|Si è messo un'orribile maschera per scherzo, ma|è diventato un demone affamato di carne. Succede.|Respira pura corruzione nata da un odio vendicativo.|La Faccia normale non è più così male, eh?|
|||||
|||||
|||||
%s (Alieno/Flutt.)|Principessa in esilio, ora regna sulle strade|peggiori della grande città. La sua triste educazione|le ha dato un brutto carattere... Non avvicinarti|troppo o sarai vittima della sua terribile puntura.|
%s (Fluttuante)|Super campione del Gran Premio Bambini Problematici,|terrore delle classi d'asilo di tutto il mondo.|Forse papà gli ha fatto leggere i classici russi|troppo presto? Parola preferita: AMORE.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Nero)|Dopo anni passati a vagare per terre desolate,|il suo pelo e la sua anima sono stati anneriti|dalla corruzione del mondo. Riceve|premi per la perfetta frequenza al lavoro.|
|||||
|||||
|||||
%s (Zombi)|Il compianto padre del Cane, sepolto molti anni fa.|Nemmeno la tomba ha potuto impedirgli|di preoccuparsi per i voti dei figli. Solo con|una pagella è possibile farlo riposare in pace.|
%s (Zombi)|Una creatura strisciante che usa gli acquerelli per|un trucco horror (ma è già morto per davvero).|L'unica informazione che ti serve è che|possiede una potenza d'attacco spaventosa.|
%s (Zombi)|Una tetra notte vagava per una torba|velenosa e più tardi si è svegliato morto.|Non sembra preoccuparsene, comunque.|Ora non sapremo mai se sia un lui o una lei.|
%s (Zombi)|Nemmeno la morte può spingere questo suino|regale a lasciare il trono. Indossa un teschio|stiloso finché non ritroverà la corona rubata.|Non mi decompongo, invecchio come il vino.|
%s (Zombi)|Dopo il fiasco del suo film d'esordio,|nel cuore di Ping è rimasta un'enorme voragine.|Nemmeno la morte da recensioni negative|fermerà la sua vendetta sull'ingrato pubblico!|
%s (Zombi)|Dopo essere stato cacciato dal paradiso a causa|della sua faccia spaventosa, Gory vaga per la terra.|Qualcuno gli ha strappato un pezzo di testa|mentre scommetteva, pensando fosse un parrucchino. Ahi.|
%s (Zombi)|Nella nebbia del mattino ho visto una Foca.|Mi chiamò per unirmi a lui in una voce né viva|né morta, invitandomi a seguirlo sulla|riva lontana di un mondo misterioso...|
%s (Zombi)|Dopo 50 anni come pugile, il suo corpo|non ha retto più a tutto quel doping.|Le sostanze chimiche però erano abbastanza|forti da farle tirare pugni pure da morta.|
%s (Zombi)|Un povero alligatore morto di fame.|Troppo debole per attraversare il Fiume Stige,|è tornato in questo mondo come un fantasma|sgangherato. A volte scambiato per un manubrio.|
%s (Zombi)|Un abusivo ha preso dimora nella|Tomba di Zane! Che maleducato! Chiunque|sia questo misterioso cadavere, la sua|voglia di spaccare sembra viva e vegeta.|
%s (Zombi)|Gli spiriti di coloro che sono stati sconfitti dai|Battle Cats si sono riuniti in|una tempesta vendicativa. Come puoi|sconfiggere un vortice già morto?|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Zombi)|La moglie di Zane doveva essere|sepolta qui, ma è ancora viva|a 158 anni e sembra che qualcun altro|si sia impossessato dell'immobile.|
%s (Zombi)|Meglio lasciar stare questo pigrone,|mangerà chiunque disturbi il suo sonnellino.|O peggio: ti racconterà storie infinite sulla sua|carriera nella lega minore di baseball.|
|||||
|||||
|||||
|||||
%s (Zombi)|Un antico eroe dell'armata canina.|L'anno scorso si è registrato come specie|in via d'estinzione... gli anziani defunti sono molto|soli. Nome scientifico: Canis Mortus Tumbus|
%s (Zombi)|È morta dopo un fallimentare intervento di|chirurgia plastica sulla sua gobba fuori moda. Però|è un bel cadavere, la prima modella non-morta!|Non parlare del suo colore innaturale...|
|||||
|||||
|||||
|||||
|||||
%s (Zombi)|Lo spirito di un Cane guerriero ha posseduto un|giovane attore che ha accettato di interpretarlo|in un adattamento teatrale su di lui. Non avvicinarti|troppo... il suo castello infestato potrebbe reagire.|
%s (Zombi)|Lo zombi migliore è quello istruito, diceva|sempre papà. Ma dietro quella minacciosa|copertina si celano numeri arretrati di fumetti|horror trash. Immune da tutti gli effetti negativi.|
%s|Spesso vista sull'ultimo treno verso casa dopo|una notte di follie. Ora riflette sulla|sua giovinezza superficiale e giura che migliorerà.|Ha fatto tardi al lavoro solo 3 volte questa settimana.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Angelico)|Un sapore paradisiaco del mare, inviato|come una visione mistica dal Gatto divino per|i puri di cuore. Un paradiso culinario|attende coloro che superano questa prova di fede.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s|In cima alla Torre celestiale, questa leggenda|vivente delle arti marziali aspetta coloro che sono degni.|Adora umiliare i ragazzini ricchi che pensano di|poter comprare l'illuminazione. Ama la limonata.|
%s|Professionista di eSports, famoso perché|in preda all'ira abbandona i tornei usando la|lingua per premere il pulsante reset. È un|modo per mantenere il bilancio vittorie/sconfitte.|
|||||
|||||
|||||
|||||
%s (Alieno)|Cane ufficiale nei marine alieni.|Ha ricevuto ottimi voti nell'accademia|specializzandosi in teletrasporto.|Ma il mercato del lavoro è duro ormai.|
%s (Alieno)|L'ideatore della tattica di teletrasporto.|I Ping sono una razza di guerrieri orgogliosi|con conoscenze scientifiche avanzate, grazie|alla pratica quotidiana del sudoku.|
%s (Alieno)|Un potente stratega ancora single grazie|alla sua faccia spaventosa. In realtà è un ottimo cuoco|e ha un'estensione vocale di sei ottave,|ma è troppo timido per mostrare i suoi talenti.|
%s (Alieno)|Madre di tutti gli Eleboin, proteggerà i suoi|dolci figlioli con la sua pelle di ferro.|Invade almeno tre nuovi pianeti alla settimana|per mantenere le sue belle curve.|
%s (Alieno)|Può percepire tutti i tuoi pensieri zozzi.|Mantieni una mente pura vicino a lui, o|le energie lascive lo renderanno più forte.|Non ha alcun tipo di esperienza.|
%s (Alieno)|Prode soldato della grande Armata di Talpe,|salvaguarda la pace e l'amore in tutto|il cosmo. Il suo montante antimaterico|catapulta i Gatti in un'altra dimensione.|
%s (Alieno/Flutt.)|Arma biologica allevata dai Cani Spaziali|per attacchi a sorpresa sugli avamposti felini.|Invisibile davanti, ma dato che il gioco è in|orizzontale, la sua furtività non funziona.|
%s (Fluttuante)|Ehi, sono io, Gatto divino.|Sembra che ti stia divertendo|a leggere la mia descrizione.|È quasi ora del mio bagno, però, quindi...|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Angel/Alieno)|Un uccello super sicuro di sé chiamato così|dai genitori che credevano in lui. La sua|arroganza è così estrema che ha consumato|la sua dimensione nativa e l'ha portato in questa.|
|||||
%s (Alieno)|Uno strappo nello spazio-tempo apertosi dentro|una nebulosa. Manipola il continuum per|teletrasportare i Gatti. Puoi vincere se|attacchi da lontano...|
|||||
%s (Angelico)|Un adorabile suino con un nasino a forma di cuore.|Non vuole farti del male con il suo allegro|saltellare, ma annienterà la tua voglia di combattere.|Vuole tornare a casa dalla sua famiglia celeste.|
