Accelerazione|La velocità di battaglia raddoppierà|Tocca l'oggetto quando sei in battaglia|per attivarlo o disattivarlo.|＠|
Piet. Behem. epica|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Amul. leggendario|＠|||
Lettera d'amore|＠|||
Mattone Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Piume Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Carbone Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Ingranaggi Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Oro Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Meteora Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Ossa bestiali Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Ammonite Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Acqua santa|＠|||
reti leggendarie|＠|||
1.000.000 XP|＠|||
