25,0,1,はにゃわ,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
26,0,1,もんぶらん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
27,0,1,りんく,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
28,0,1,べに,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
29,0,1,ゆうご,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
30,0,1,ころちん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
31,0,1,ぷっちん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
32,0,1,りんりん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
33,0,1,まさこ,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
34,0,1,なかじま,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
35,0,1,ふじおか,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
36,0,1,うっしー,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
37,0,1,えりか,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
38,0,1,かまぼこ,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
39,0,1,うどん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
40,0,1,かすが,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
41,0,1,みるく,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
42,0,1,ぽよん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
43,0,1,きゃりー,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
44,0,1,ぱみゅ,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
45,0,1,いずみ,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
46,0,1,あつし,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
47,0,1,げれげれ,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
48,0,1,さっちー,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
49,0,1,まさる,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
50,0,1,にんたん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
51,0,1,まりも,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
52,0,1,くにお,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
53,0,1,かず,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
54,1,2,エマ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
55,1,2,アゴ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
56,1,2,チャンス,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
57,1,2,パフ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
58,1,2,モンペ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
59,1,2,ジズー,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
60,1,2,ラム,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
61,1,2,ウバ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
62,1,2,キャシー,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
63,1,2,スター,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
64,1,2,クロ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
65,1,2,ゴロー,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
66,1,2,テツ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
67,1,2,サクジ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
68,1,2,リットン,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
69,1,2,モチ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
70,1,2,ニャンダ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
71,1,2,マリー,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
72,1,2,フェリック,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
73,1,2,ヒロポン,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
74,1,2,セワシ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
75,1,2,サテン,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
76,1,2,キナリ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
77,1,2,カルビ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
78,1,2,シベチョー,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
79,1,2,カリガリ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
80,1,2,ポンセ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
81,1,2,キング,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
82,1,2,ポロリ,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
83,1,2,ハム,一人前,探検が板についた優秀な隊員,アイテム発見効率アップ【中】,
84,2,4,えい太,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
85,2,4,松本,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
86,2,4,天ぷら,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
87,2,4,出汁,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
88,2,4,佐藤,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
89,2,4,ジバねこ,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
90,2,4,若さま,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
91,2,4,カン助,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
92,2,4,ゴン太,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
93,2,4,伸介,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
94,2,4,ねこ三郎,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
95,2,4,さち子,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
96,2,4,とば次郎,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
97,2,4,干物,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
98,2,4,六三四,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
99,2,4,よね助,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
100,2,4,がり蔵,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
101,2,4,米蔵,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
102,2,4,ぬけ作,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
103,2,4,ちょび助,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
104,2,4,玉三郎,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
105,2,4,しげ里,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
106,2,4,大吟醸,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
107,2,4,弁慶,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
108,2,4,あさ子,熟練,なにかと頼りになるベテラン隊員,アイテム発見効率アップ【大】,
109,3,6,クリスティーナ,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
110,3,6,ストロガノフ,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
111,3,6,クレオパトラ,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
112,3,6,ナポレオン,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
113,3,6,子鉄,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
114,3,6,カメハメハ,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
115,3,6,タマモノマエ,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
116,3,6,まんぞく,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
117,3,6,ラブラドール,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
118,3,6,アントニオ,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
119,3,6,ガガリン,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
120,3,6,ライスシャワー,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
121,3,6,アルフレド,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
122,3,6,ラインハルト,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
123,3,6,合点承知の助,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
124,3,6,ドンペリニャン,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
125,3,6,峰不二ネコ,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
126,3,6,聖徳にゃん子,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
127,3,6,風魔ネコ太郎,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
128,3,6,フナ左衛門,カリスマ,数々の試練を乗り越えた凄腕隊員,アイテム発見効率アップ【特大】,
129,4,7,ちゅーる,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
130,4,7,けんしろう,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
131,4,7,ひみこ,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
132,4,7,りゅうおう,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
133,4,7,ミタマックス,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
134,4,7,スサノオ,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
135,4,7,ヘラクレス,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
136,4,7,ダイヤモンド,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
137,4,7,サファイア,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
138,4,7,トワイライト,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
139,4,7,ゴルゴンゾーラ,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
140,4,7,ノーベル,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
141,4,7,ニャッキーチェン,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
142,4,7,ネコダンディズム,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
143,4,7,ポノ,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
144,4,7,ねこ政宗,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
145,4,7,にぼし伯爵,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
146,4,7,ツチノ子,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
147,4,7,クラッカー前田,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
148,4,7,ニャンドロフ,レジェンド,数多の修羅場を乗り超えてきた伝説の隊員,アイテム発見効率アップ【超特大】,
-1,
