item_pack_name_0	ลดราคาบูสเตอร์: แพ็กอาหารแมว!
collabo_send_message	คุณมีรางวัลที่ใช้ได้ใน "%@"!<br>เปิดแอป "%@" หรือไม่?
collabo_send_title_0	
collabo_send_scheme_0	
collabo_send_url_0	
collabo_send_url_android_0	
collabo_send_title_1	
collabo_send_scheme_1	
collabo_send_url_1	
collabo_send_url_android_1	
collabo_send_title_2	
collabo_send_scheme_2	
collabo_send_url_2	
collabo_send_url_android_2	
collabo_send_title_3	
collabo_send_scheme_3	
collabo_send_url_3	
collabo_send_url_android_3	
collabo_send_title_4	
collabo_send_scheme_4	
collabo_send_url_4	
collabo_send_url_android_4	
collabo_send_title_5	
collabo_send_scheme_5	
collabo_send_url_5	
collabo_send_url_android_5	
collabo_send_title_14	
collabo_send_scheme_14	
collabo_send_url_14	
collabo_send_url_android_14	
collabo_send_title_17	
collabo_send_scheme_17	
collabo_send_url_17	
collabo_send_url_android_17	
collabo_send_url_android_27	
collabo_send_title_6	
collabo_send_scheme_6	
collabo_send_url_6	
collabo_send_url_android_6	
collabo_send_title_15	
collabo_send_scheme_15	
collabo_send_url_15	
collabo_send_url_android_15	
collabo_send_title_16	
collabo_send_scheme_16	
collabo_send_url_16	
collabo_send_url_android_16	
collabo_send_title_18	
collabo_send_scheme_18	
collabo_send_url_18	
collabo_send_url_android_18	
collabo_send_title_19	
collabo_send_scheme_19	
collabo_send_url_19	
collabo_send_url_android_19	
collabo_send_title_20	
collabo_send_scheme_20	
collabo_send_url_20	
collabo_send_url_android_20	
collabo_send_title_7	
collabo_send_scheme_7	
collabo_send_url_7	
collabo_send_url_android_7	
collabo_send_title_8	
collabo_send_scheme_8	
collabo_send_url_8	
collabo_send_url_android_8	
collabo_send_title_9	
collabo_send_scheme_9	
collabo_send_url_9	
collabo_send_url_android_9	
collabo_send_title_10	
collabo_send_scheme_10	
collabo_send_url_10	
collabo_send_url_android_10	
collabo_send_title_11	
collabo_send_scheme_11	
collabo_send_url_11	
collabo_send_url_android_11	
collabo_send_title_12	Crash Fever
collabo_send_scheme_12	com.wonderplanet.crashfever://Nyanko?code=001
collabo_send_url_12	https://itunes.apple.com/us/app/crash-fever/id1146722894?ls=1&mt=8
collabo_send_url_android_12	https://play.google.com/store/apps/details?id=com.wonderplanet.CrashFever
collabo_send_title_13	Crash Fever
collabo_send_scheme_13	com.wonderplanet.crashfever://Nyanko?code=002
collabo_send_url_13	https://itunes.apple.com/us/app/crash-fever/id1146722894?ls=1&mt=8
collabo_send_url_android_13	https://play.google.com/store/apps/details?id=com.wonderplanet.CrashFever
collabo_send_title_21	
collabo_send_scheme_21	
collabo_send_url_21	
collabo_send_url_android_21	
collabo_send_title_22	
collabo_send_scheme_22	
collabo_send_url_22	
collabo_send_url_android_22	
scheme_item_param_3	
scheme_popup_3	<flash>คุณได้รับแมวพิเศษ: "%@"!</flash>
scheme_popup_3_option	<flash>คุณได้รับแมวพิเศษ: "%@"!</flash><br>รับได้ที่เมนูอัปเกรด!
scheme_popup_3_option_get	ได้รับรางวัลสำเร็จแล้ว!<br>ไปดูรางวัลได้ที่เมนูอัปเกรด!
scheme_item_param_47	nekohopper_en1
scheme_popup_47	สู้! สู้! รางวัลภารกิจคอลแลบ<br>แมวโปโก 1<br><flash>%@%@！</flash>
scheme_item_param_48	nekohopper_en2
scheme_popup_48	สู้! สู้! รางวัลภารกิจคอลแลบ<br>แมวโปโก 2<br><flash>%@%@！</flash>
scheme_item_param_49	nekohopper_en3
scheme_popup_49	สู้! สู้! รางวัลภารกิจคอลแลบ<br>แมวโปโก 3<br><flash>%@%@s！</flash>
scheme_item_param_50	nekohopper_en4
scheme_popup_50	สู้! สู้! รางวัลภารกิจคอลแลบ<br>แมวโปโก 4<br><flash>%@%@s！</flash>
scheme_item_param_51	nekohopper_en5
scheme_popup_51	สู้! สู้! รางวัลภารกิจคอลแลบ<br>แมวโปโก 5<br><flash>%@%@s！</flash>
scheme_popup_browser	รับรางวัลอีเวนต์เหล่านี้กันอย่างจุกๆ ไปเลย!<br>รับของขวัญของคุณได้ที่ฐานทัพแมว!
scheme_popup_browser_get	ได้รับรางวัลอีเวนต์สำเร็จแล้ว!
rarity_name_1	ธรรมดา
rarity_name_2	พิเศษ
rarity_name_3	แรร์
rarity_name_4	ซูเปอร์แรร์
rarity_name_5	อูเบอร์แรร์
rarity_name_6	แรร์ระดับตำนาน
unlock_popup_message_0	<flash>เมนูสมบัติปลดล็อกแล้ว!</flash><br>เก็บสมบัติแมว<br>เพื่อเปิดใช้โบนัสสมบัติแมว!<br>ดูโบนัสต่างๆ ได้ที่เมนูสมบัติ!
unlock_popup_message_1	<flash>หน้าอัปเกรดปลดล็อกแล้ว!</flash><br>แตะที่ "อัปเกรด" ที่ฐานทัพแมวเพื่อลองเข้าไปดู!<br><br>ปลดล็อกยูนิตแมวเพื่อพาวเวอร์อัปก่อนทำศึก!
unlock_popup_message_2	<flash>สารานุกรมปลดล็อกแล้ว!</flash><br>คุณอ่านทุกอย่างเกี่ยวกับศัตรู<br>ที่คุณเผชิญหน้าได้ที่นี่
unlock_popup_message_3	<flash>ร้านไอเทมเปิดแล้วตอนนี้!</flash><br>คุณสามารถซื้อไอเทม<br>มีประโยชน์มากมายเพื่อใช้ทำศึกได้ที่นี่!<br>
unlock_popup_message_4	<flash>คุณได้ปลดล็อกตัวกรองแมว!</flash><br>กรองหาและสำรวจ <br>แมวทั้งหมดที่คุณได้มา!
unlock_popup_message_5	<flash>กามาโตโต้ปลดล็อกแล้ว!</flash><br>ส่งพวกมันออกไปสำรวจ<br>เพื่อรับรางวัลไอเทมหลากหลาย!
unlock_popup_message_6	<flash>มีไอเทมใหม่เพิ่มเข้ามาในร้านค้า!</flash><br>ซื้อวิตาเมี้ยวเพื่อลดเวลา<br>การสำรวจของกามาโตโต้!
unlock_popup_message_7	<flash>เพิ่มเพดานเลเวลของคุณ!</flash><br>ใช้ตาแมวกับแมวบางตัว<br>เพื่อปลดล็อกเลเวลที่สูงขึ้นให้พวกมัน!<br>ใช้ได้กับแมวเลเวล 30!
unlock_popup_message_8	<flash>ด่านอีเวนต์ใหม่เปิดให้เล่นแล้ว!</flash><br>คุณเข้าไปเล่นได้ที่หน้าจอแรก
unlock_popup_message_9	<flash>บทใหม่ของ "จักรวรรดิแมว" พร้อมเล่นแล้ว!</flash><br>เลือก "จักรวรรดิแมว" จากหน้าจอแรก<br>เพื่อประลองฝีมือในด่านท้าทายใหม่นี้!
unlock_popup_message_10	<flash>บทใหม่ของ "จักรวรรดิแมว" พร้อมเล่นแล้ว!</flash><br>เลือก "จักรวรรดิแมว" จากหน้าจอแรก<br>เพื่อประลองฝีมือในด่านท้าทายใหม่นี้!
unlock_popup_message_11	<flash>การต่อสู้ท้าทายปลดล็อกแล้ว!</flash><br>คุณเข้าไปเล่นได้จากเมนูหลัก<br>คุณสามารถเปลี่ยนคลาสของแมว<br>โดยใช้ปุ่มเปลี่ยนคลาสได้แล้วตอนนี้!
unlock_popup_message_12	<flash>เครื่องกาชาแมวปลดล็อกแล้ว!</flash><br>คุณเข้าไปใช้งานได้จากฐานทัพแมว
unlock_popup_message_13	<flash>新キャラメッセージ</flash>
unlock_popup_message_14	<flash>โบนัสเคลียร์!</flash><br>แมวพิเศษ [แมวถั่ว] ปลดล็อกแล้ว!<br>เปิดใช้งานได้ที่เมนูอัปเกรด
unlock_popup_message_15	<flash>โบนัสเคลียร์ครบ!</flash><br>คุณได้รับ "โมเนโกะ"!<br>เปิดใช้งานได้ที่เมนูอัปเกรด
unlock_popup_message_16	<flash>เรื่องราวแห่งตำนานปลดล็อกแล้ว!</flash><br>สามารถเข้าไปเล่นด่านอีเวนต์ทั่วไป<br>ได้จากเรื่องราวแห่งตำนานด้วย!
unlock_popup_message_17	<flash>การผจญภัยใหม่ปรากฏขึ้น!</flash><br>เลือก "สู่อนาคต" จากหน้าจอแรก<br>เพื่อพิสูจน์ฝีมือในด่านท้าทายใหม่นี้!
unlock_popup_message_18	<flash>ตัวกรองทั้งหมดเปิดใช้งาน!</flash><br>คุณมองเห็นกาชาทั้งหมดในตู้เย็นของคุณได้<br>ลองไปดูได้ที่เมนูอัปเกรด!
unlock_popup_message_19	<flash>เมนูจัดทัพแมวปลดล็อกแล้ว!</flash><br>ตอนนี้คุณจัดทัพแมวที่ต้องการ<br>นำไปต่อสู้ได้แล้ว
unlock_popup_message_20	<flash>กระบวนทัพเพิ่มขึ้น!</flash><br>มีกระบวนทัพได้มากถึงสามแบบ<br>ที่พร้อมใช้ได้จากการไปที่หน้าจอติดตั้ง
unlock_popup_message_21	<flash>อันดับผู้ใช้งานปลดล็อกแล้ว!</flash><br>ได้อันดับตามเป้าเพื่อรับรางวัล!<br>อันดับจัดจากคะแนนอัปเกรดรวม
unlock_popup_message_22	<flash>คอมโบแมวปลดล็อกแล้ว!</flash><br>เรียงยูนิตของคุณเพื่อปลดล็อกโบนัสพลัง!<br>ดูข้อมูลเพิ่มเติมได้ที่เมนูรายการคอมโบ!
unlock_popup_message_23	<flash>โรงฝึกเล็บแมวเปิดแล้วตอนนี้!</flash><br>เลือกตัวเลือกโรงฝึกเล็บแมวจากเมนู<br>หน้าแรกเพื่อทดสอบพลังและทักษะของแมวของคุณ!
unlock_popup_message_24	<flash>โบนัสเคลียร์ครบ!</flash><br>คอมโบแมวใหม่ได้ปลดล็อกแล้ว!<br>ไปที่เมนูรายการคอมโบเพื่อดู<br>ข้อมูลเกี่ยวกับทักษะใหม่ของคุณ
unlock_popup_message_25	<flash>บทใหม่ของมหากาพย์แห่งอนาคตอยู่ที่นี่แล้ว!</flash><br>เลือก "สู่อนาคต" จากหน้าจอแรก<br>เพื่อพิสูจน์ฝีมือในด่านท้าทายใหม่นี้!
unlock_popup_message_26	<flash>บทใหม่ของมหากาพย์แห่งอนาคตอยู่ที่นี่แล้ว!</flash><br>เลือก "สู่อนาคต" จากหน้าจอแรก<br>เพื่อพิสูจน์ฝีมือในด่านท้าทายใหม่นี้!
unlock_popup_message_27	<flash>โบนัสเคลียร์ครบ!</flash><br>ตัวละครพิเศษ:<br>คุณได้ปลดล็อกร่างจริงของแมววาลคีรี!<br>วิวัฒน์ไปที่เลเวล 20 เพื่อใช้งาน!
unlock_popup_message_28	<flash>โบนัสเคลียร์ครบ!</flash><br>คอมโบแมวใหม่ได้ปลดล็อกแล้ว!<br>ไปที่เมนูรายการคอมโบเพื่อดู<br>ข้อมูลเกี่ยวกับทักษะใหม่ของคุณ
unlock_popup_message_29	<flash>โบนัสเคลียร์ครบ!</flash><br>ตัวละครพิเศษ:<br>คุณได้ปลดล็อกร่างจริงของแมวบาฮามุต!<br>วิวัฒน์ไปที่เลเวล 20 เพื่อใช้งาน!
unlock_popup_message_30	<flash>โบนัสเคลียร์ครบ!</flash><br>คอมโบแมวใหม่ได้ปลดล็อกแล้ว!<br>ไปที่เมนูรายการคอมโบเพื่อดู<br>ข้อมูลเกี่ยวกับทักษะใหม่ของคุณ
unlock_popup_message_31	<flash>ตู้เย็นผลไม้เหมียวปลดล็อกแล้ว!</flash><br>ดูผลไม้เหมียวและเมล็ด<br>ที่คุณเก็บมาได้!
unlock_popup_message_32	<flash>คุณสามารถบันทึกและแชร์การต่อสู้ของคุณได้แล้วตอนนี้!</flash><br>เลือกบันทึกการต่อสู้สุดยิ่งใหญ่แบบอัตโนมัติได้ที่<br>เมนูการตั้งค่าโดยแตะที่ปุ่มเปิด<br>การบันทึกหยุดอัตโนมัติเมื่อการต่อสู้สิ้นสุด
unlock_popup_message_33	<flash>คุณสามารถดูวิดีโอการเล่นของคนอื่นได้แล้วตอนนี้!</flash><br>ไปที่เมนูการตั้งค่าจากหน้าจอแรก<br>เพื่อหาและดูสื่อเกม Battle Cats
unlock_popup_message_34	<flash>เพดานเลเวลเพิ่มขึ้น!</flash><br>ตอนนี้แมวของคุณจะยิ่งทรงพลัง<br>มากขึ้นไปอีก!
unlock_popup_message_35	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_36	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_37	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_38	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_39	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_40	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_41	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_42	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_43	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_44	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_45	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_46	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_47	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_48	<flash>มีแมวใหม่</flash><br>รออัปเกรดอยู่!
unlock_popup_message_49	<flash>โบนัสเคลียร์ครบ!</flash><br>คุณได้รับ %@!<br>ปลดล็อกได้ที่เมนูอัปเกรด!
unlock_popup_message_50	<flash>โบนัสเคลียร์ครบ!</flash><br>คุณได้รับ %@!<br>ปลดล็อกได้ที่เมนูอัปเกรด!
unlock_popup_message_51	<flash>โบนัสเคลียร์!</flash><br>คุณได้รับ "%@"!<br>ปลดล็อกได้ที่เมนูอัปเกรด!
unlock_popup_message_52	<flash>โบนัสเคลียร์!</flash><br>คุณได้รับ "%@"!<br>ปลดล็อกได้ที่เมนูอัปเกรด!
unlock_popup_message_53	<flash>โบนัสเคลียร์ครบ!</flash><br>ยูนิตพิเศษ:<br>ได้รับร่างจริงของ %@!<br>วิวัฒน์หลังจากไปถึงเลเวล 20!
unlock_popup_message_54	<flash>โบนัสเคลียร์ครบ!</flash><br>ยูนิตพิเศษ:<br>ได้รับร่างจริงของ %@!<br>วิวัฒน์หลังจากไปถึงเลเวล 20!
unlock_popup_message_55	<flash>บริษัทโอโตโต้ปลดล็อกแล้ว!</flash><br>สร้างและเสริมแกร่งฐานทัพแมวของคุณ<br>และความสามารถของปืนใหญ่แมวของมัน!<br>ลองไปดูได้ที่เมนูกามาโตโต้!
unlock_popup_message_56	<flash>ภารกิจท้าทายแคตนิปพร้อมเล่นแล้วตอนนี้!</flash><br>ทำภารกิจต่างๆ ให้สำเร็จ<br>เพื่อรับรางวัลสุดยอดมากมาย!
unlock_popup_message_57	<flash>"แมวแห่งห้วงอวกาศ" เปิดให้เล่นแล้วตอนนี้!</flash><br>เลือกบทนี้ได้จากเมนูหน้าแรก<br>และพิสูจน์ฝีมือในการผจญภัยครั้งใหม่แสนประหลาดนี้!
unlock_popup_message_58	<flash>โบนัสเคลียร์ทั้งหมด!</flash><br>คุณได้รับพรจากพระเจ้าแมว!<br>แตะพระเจ้าแมวเพื่อใช้ปาฏิหาริย์พิเศษ<br>ในการต่อสู้ในโหมดเนื้อเรื่องใดก็ได้!
unlock_popup_message_59	<flash>แมวแห่งห้วงอวกาศเคลียร์แล้ว!</flash><br>บทใหม่จะปรากฏขึ้นเร็วๆ นี้<br>คอยดูอัปเดตเอาไว้ล่ะ!
unlock_popup_message_60	<flash>โบนัสเคลียร์ทั้งหมด!</flash><br>ร่างจริงของ "หมาป่าอุรูรุน" ปลดล็อกแล้ว!<br>อัปเกรดไปที่เลเวล 30 และ<br>ใช้ XP/ผลไม้เหมียวเพื่อเปิดใช้งาน!
unlock_popup_message_61	<flash>โบนัสเคลียร์ทั้งหมด!</flash><br>ร่างจริงของ "เนียนดัมเล็ก" ปลดล็อกแล้ว!<br>อัปเกรดไปที่เลเวล 30 และ<br>ใช้ XP/ผลไม้เหมียวเพื่อเปิดใช้งาน!
unlock_popup_message_62	<flash>โบนัสเคลียร์ทั้งหมด!</flash><br>ร่างจริงของ "มีนาหนูน้อยหมวกแดง" ปลดล็อกแล้ว!<br>อัปเกรดไปที่เลเวล 30 และ<br>ใช้ XP/ผลไม้เหมียวเพื่อเปิดใช้งาน!
