item_pack_name_0	Ofertón: ¡Lote de Friskas!
energy_connection_failed2	Comprueba tu conexión y vuelve a intentarlo.
energy_fraud1	Parece que se ha modificado la hora del dispositivo.
energy_fraud2	No recuperarás energía durante un tiempo.
gamatoto_connection	Actualizando datos...
gamatoto_connection_failed	Error al calcular la duración de la excursión. Comprueba tu conexión y reinicia la aplicación.
gamatoto_fraud	Parece que se ha modificado la hora del dispositivo. No recuperarás energía durante un tiempo.
reset_item_reward	<color=255,255,0>¡Premios restablecidos!</color><br>Los premios ya recibidos vuelven a estar disponibles.<br>Completa misiones para conseguirlos de nuevo.
reset_tower_state	<color=255,255,0>¡Premios de las fases restablecidos!</color><br>Se han restablecido las fases superadas<br>y los premios vuelven a estar disponibles.
reward_energy	¡Recupera energía!<br>¿Quieres ver un vídeo para recuperar %d de energía?</flash>
receive_energy	Has recuperado %d de energía.
receive_energy_full	Has recuperado toda la energía.
network_unavailable_energy	No se ha actualizado la energía.\nComprueba tu conexión.
network_unavailable_gamatoto	No se han actualizado los Friskas.\nComprueba tu conexión.
001_img044.png	i001_img044_es.png
001_img044.imgcut	i001_img044_es.imgcut
001_img045.png	i001_img045_es.png
001_img045.imgcut	i001_img045_es.imgcut
021_e.png	i021_e_es.png
021_e.imgcut	i021_e_es.imgcut
slot_copy_select	Se pueden copiar las unidades del set %d.<br>¿Quieres copiar o sustituir las unidades?
slot_copy	Se han copiado las unidades del set %d.<br>Ve al set que quieras y toca «Sustituir».<br>
slot_paste	Se sustituirán estas unidades con las del set %d. <br>¿Quieres continuar?
instant_koyashi	Puedes cambiar 5 bolas inutilizables<br>por un tique raro.<br>¿Quieres cambiar esta?<br>(Necesitas cambiar %d más).
storage_koyashi	Se cambiarán todas las bolas inutilizables<br>por tiques raros.<br>¿Quieres continuar?<br>
have_koyashi	Gatobolas que puedes cambiar: %d
tutorial_favoriteUnit	Toca el icono ☆ para<br>ver solo tus unidades favoritas;<br>vuelve a tocarlo para verlas todas otra vez.
tutorial_favoriteUnit_pictureBook1	<color=255,255,0>Seleccionar favoritos ①</color><br>Una vez que hayas elegido algunos gatos favoritos,<br>toca el botón «Confirmar ☆»<br>para cerrar el menú de favoritos.
tutorial_favoriteUnit_pictureBook2	<color=255,255,0>Seleccionar favoritos ②</color><br>Toca el botón del filtro en los menús «Mejorar»<br>o «Equipar» para ver solo<br>aquellos gatos seleccionados como favoritos.
everyplay_not_supported	Este dispositivo no es compatible.
everyplay_no_related_videos	No se han encontrado vídeos relacionados.
cat_challenge01	<flash>¡Este es el Dojo Afilagarras!</flash><br>Aquí puedes librar una batalla contrarreloj en la que te enfrentarás a enemigos ilimitados.<br>Vence a tantos como puedas para alcanzar<br>la puntuación más alta posible. (Los enemigos vencidos no otorgan dinero).
data_download_error_catfood_20000	Se ha detectado una manipulación de datos no autorizada, por lo que estos datos de guardado no se podrán transferir a otro dispositivo. Contacta con el servicio de atención al usuario de PONOS.
cat_challenge_item	En las batallas del Dojo Afilagarras,<br>puedes usar tantos aceleradores<br>y gatomáticos como quieras.<br>※ Activar un potenciador de velocidad consumirá el objeto.
zombie_clear00	<flash>¡Has controlado el brote de ${stageName}!</flash><br>Ganas 10 Friskas.
zombie_clear01	<flash>¡Has eliminado los zombis de esta zona de cuarentena!</flash><br>La probabilidad de conseguir tesoros en %@ ha aumentado.
zombie_clear02	<flash>¡Has eliminado a los zombis de todas las zonas de cuarentena de Imperio de los Gatos!</flash><br>Tu energía máxima ha aumentado en ${EnergyNum}.
zombie_clear03	<flash>¡Más probabilidad de conseguir tesoros en algunas fases!</flash><br>Consulta la lista de tesoros para saber más.
zombie_clear04	<flash>¡Has eliminado a los zombis de todas las zonas de cuarentena de Hacia el Futuro!</flash><br>Tu energía máxima ha aumentado en ${EnergyNum}.
zombie_clear05	<flash>¡Has eliminado a los zombis de todas las zonas de cuarentena de Gatos Galácticos!</flash><br>Tu energía máxima ha aumentado en ${EnergyNum}.
zombie_area_00	ZC Asia Oriental
zombie_area_01	ZC Océano Índico
zombie_area_02	ZC Grieta del Himalaya
zombie_area_03	ZC Afromediterránea
zombie_area_04	ZC Alpes
zombie_area_05	ZC Europa Occidental
zombie_area_06	ZC Atlántico Norte
zombie_area_07	ZC Costa Este de EE. UU.
zombie_area_08	ZC Pacífico
zombie_area_09	ZC Fairbanks
zombie_area_10	ZC Mauna Kea
receivedBoxText	Los objetos no recogidos en un plazo de 30 días caducarán.
receive_version_error	Actualiza a la versión más reciente<br>antes de aceptar los premios.
receive_network_error	Error de conexión<br>No se han recibido los objetos.
receive_item_popup	%d %s
receive_item_popup_xp	%d %s
receive_item_popup_chara	Unidad felina: %s
receive_item_popup_chara_evolve	Forma final: %s
receive_item_popup_last	¡Recompensa recibida!
zombie_treasure	¡Has eliminado los zombis de esta zona de cuarentena!<br>La probabilidad de conseguir tesoros en %@ ha aumentado.
zombie_treasure01	¡Has acabado con los zombis de todas<br>las fases de esta página!<br>La probabilidad de conseguir tesoros<br>en estas fases ha aumentado.
receive_list_network_error	No se puede mostrar<br>debido a un error de conexión.
receive_item_none_popup	Ahora mismo no hay<br>objetos que recoger.
serial_error_popup	No se pueden recibir objetos.<br>Si crees que se trata de un error,<br>ponte en contacto con atención al usuario.
ponos_games_url	https://ponos.s3.amazonaws.com/iphone/en/battlecats.html
zombie_comp	¡Has eliminado los zombis de esta zona de cuarentena!<br>%@ ¡Más probabilidad de tesoros!<br>¡El mundo ya está a salvo de la invasión zombi!<br>Tu energía máxima ha aumentado.
zombie_comp01	¡No más zombis en las fases de esta página!<br>Aumentó la probabilidad de obtener tesoros en esas fases.<br>¡Toda zona está a salvo de zombis!<br>Aumentó tu energía máxima.
zombie_comp02	¡Has eliminado a los zombis de todas las fases de esta zona!<br>Aumentó la probabilidad de conseguir tesoros.<br>¡Has defendido todas las zonas de<br>cuarentena de Gatos Galácticos!
Space09_Invasion_stageclear_txt1	<flash>¡Has vencido a un poderoso enemigo!</flash><br>La unidad especial Gato Filiembustero X<br>ha jurado lealtad a tu ejército felino.<br>¡Actívalo en el menú «Mejorar»!
maxcollab_mg	Las unidades colaborativas solo están disponibles durante el periodo del evento colaborativo.
maxcollab_popup	<flash>Has ganado esta unidad especial: ¡%@!</flash><br>Actívala en el menú «Mejorar».
slot_set_error	<color=255,255,0>¡No has seleccionado unidades felinas para tu ejército!</color>
shop_category1	Potenciadores
shop_category2	XP
shop_category3	GAMATOTO
collabo_send_message	Has recibido un premio para usarlo en %@.<br>¿Quieres abrir la aplicación %@?
collabo_send_title_0	
collabo_send_scheme_0	
collabo_send_url_0	
collabo_send_url_android_0	
collabo_send_title_1	
collabo_send_scheme_1	
collabo_send_url_1	
collabo_send_url_android_1	
collabo_send_title_2	
collabo_send_scheme_2	
collabo_send_url_2	
collabo_send_url_android_2	
collabo_send_title_3	
collabo_send_scheme_3	
collabo_send_url_3	
collabo_send_url_android_3	
collabo_send_title_4	
collabo_send_scheme_4	
collabo_send_url_4	
collabo_send_url_android_4	
collabo_send_title_5	
collabo_send_scheme_5	
collabo_send_url_5	
collabo_send_url_android_5	
collabo_send_title_14	
collabo_send_scheme_14	
collabo_send_url_14	
collabo_send_url_android_14	
collabo_send_title_17	
collabo_send_scheme_17	
collabo_send_url_17	
collabo_send_url_android_17	
collabo_send_url_android_27	
collabo_send_title_6	
collabo_send_scheme_6	
collabo_send_url_6	
collabo_send_url_android_6	
collabo_send_title_15	
collabo_send_scheme_15	
collabo_send_url_15	
collabo_send_url_android_15	
collabo_send_title_16	
collabo_send_scheme_16	
collabo_send_url_16	
collabo_send_url_android_16	
collabo_send_title_18	
collabo_send_scheme_18	
collabo_send_url_18	
collabo_send_url_android_18	
collabo_send_title_19	
collabo_send_scheme_19	
collabo_send_url_19	
collabo_send_url_android_19	
collabo_send_title_20	
collabo_send_scheme_20	
collabo_send_url_20	
collabo_send_url_android_20	
collabo_send_title_7	
collabo_send_scheme_7	
collabo_send_url_7	
collabo_send_url_android_7	
collabo_send_title_8	
collabo_send_scheme_8	
collabo_send_url_8	
collabo_send_url_android_8	
collabo_send_title_9	
collabo_send_scheme_9	
collabo_send_url_9	
collabo_send_url_android_9	
collabo_send_title_10	
collabo_send_scheme_10	
collabo_send_url_10	
collabo_send_url_android_10	
collabo_send_title_11	
collabo_send_scheme_11	
collabo_send_url_11	
collabo_send_url_android_11	
collabo_send_title_12	Crash Fever
collabo_send_scheme_12	com.wonderplanet.crashfever://Nyanko?code=001
collabo_send_url_12	https://itunes.apple.com/us/app/crash-fever/id1146722894?ls=1&mt=8
collabo_send_url_android_12	https://play.google.com/store/apps/details?id=com.wonderplanet.CrashFever
collabo_send_title_13	Crash Fever
collabo_send_scheme_13	com.wonderplanet.crashfever://Nyanko?code=002
collabo_send_url_13	https://itunes.apple.com/us/app/crash-fever/id1146722894?ls=1&mt=8
collabo_send_url_android_13	https://play.google.com/store/apps/details?id=com.wonderplanet.CrashFever
collabo_send_title_21	
collabo_send_scheme_21	
collabo_send_url_21	
collabo_send_url_android_21	
collabo_send_title_22	
collabo_send_scheme_22	
collabo_send_url_22	
collabo_send_url_android_22	
scheme_item_param_3	
scheme_popup_3	<flash>Has ganado esta unidad especial: ¡%@!</flash>
scheme_popup_3_option	<flash>Has ganado esta unidad especial: ¡%@!</flash><br>Actívala en el menú «Mejorar».
scheme_popup_3_option_get	¡Premio recibido!<br>¡Actívalo en el menú «Mejorar»!
scheme_item_param_47	nekohopper_en1
scheme_popup_47	¡Ánimo, Gato Pogo!<br>Premio colaborativo 1:<br><flash>¡%@ x%@!</flash>
scheme_item_param_48	nekohopper_en2
scheme_popup_48	¡Ánimo, Gato Pogo!<br>Premio colaborativo 2:<br><flash>¡%@ x%@!</flash>
scheme_item_param_49	nekohopper_en3
scheme_popup_49	¡Ánimo, Gato Pogo!<br>Premio colaborativo 3:<br><flash>¡%@ x%@!</flash>
scheme_item_param_50	nekohopper_en4
scheme_popup_50	¡Ánimo, Gato Pogo!<br>Premio colaborativo 4:<br><flash>¡%@ x%@!</flash>
scheme_item_param_51	nekohopper_en5
scheme_popup_51	¡Ánimo, Gato Pogo!<br>Premio colaborativo 5:<br><flash>¡%@ x%@!</flash>
scheme_popup_browser	¡Disfruta de tus premios del evento!<br>Puedes recogerlos en la base gatuna.
scheme_popup_browser_get	¡Premios de evento recibidos!
rarity_name_1	Normales
rarity_name_2	Especial
rarity_name_3	Raros
rarity_name_4	Superraros
rarity_name_5	Megarraros
rarity_name_6	Legendarios
unlock_popup_message_0	<flash>¡Menú de tesoros desbloqueado!</flash><br>Consigue tesoros gatunos<br>para activar bonus.<br>Ve al menú de tesoros para ver los bonus.
unlock_popup_message_1	<flash>¡Menú «Mejorar» desbloqueado!</flash><br>Toca el botón «Mejorar» en la base gatuna para echarle un vistazo.<br><br>Desde ahí podrás activar unidades y mejorarlas antes de la batalla.
unlock_popup_message_2	<flash>¡Bestiario desbloqueado!</flash><br>Aquí puedes leer información sobre los<br>enemigos a los que te has enfrentado.
unlock_popup_message_3	<flash>¡Tienda desbloqueada!</flash><br>Aquí puedes comprar muchos objetos<br>útiles para usarlos la batalla.<br>
unlock_popup_message_4	<flash>¡Buscagatos desbloqueado!</flash><br>Ahora puedes filtrar<br>e inspeccionar a todos los gatos que has conseguido.
unlock_popup_message_5	<flash>¡Gamatoto desbloqueado!</flash><br>Envíalo de excursión<br>en busca de premios.
unlock_popup_message_6	<flash>¡Nuevos objetos disponibles en la tienda!</flash><br>Compra gataminas para acortar la duración<br>de las excursiones de Gamatoto.
unlock_popup_message_7	<flash>¡Aumenta tu nivel máximo!</flash><br>Utiliza gatojos para desbloquear<br>más niveles para algunos gatos.<br>Podrás utilizarlos en gatos de nivel 30.
unlock_popup_message_8	<flash>¡Nueva fase de evento disponible!</flash><br>Puedes acceder a ella desde la pantalla de título.
unlock_popup_message_9	<flash>¡Nuevo capítulo de Imperio de los Gatos disponible!</flash><br>Selecciona «Imperio de los Gatos» en la pantalla de título<br>para aceptar nuevos desafíos.
unlock_popup_message_10	<flash>¡Nuevo capítulo de Imperio de los Gatos disponible!</flash><br>Selecciona «Imperio de los Gatos» en la pantalla de título<br>para aceptar nuevos desafíos.
unlock_popup_message_11	<flash>¡Batallas de desafío desbloqueadas!</flash><br>Accede a ellas desde el menú principal.<br>Podrás alternar entre las clases de gatos<br>tocando el botón correspondiente.
unlock_popup_message_12	<flash>¡Máquina de bolas desbloqueada!</flash><br>Puedes acceder a ella desde la base gatuna.
unlock_popup_message_13	<flash>新キャラメッセージ</flash>
unlock_popup_message_14	<flash>¡Bonus por superar la fase!</flash><br>¡Has ganado la unidad especial Dúo Vaina!<br>Actívala en el menú «Mejorar».
unlock_popup_message_15	<flash>¡Bonus por superar la fase!</flash><br>¡Has ganado a Moneko!<br>Actívala en el menú «Mejorar».
unlock_popup_message_16	<flash>¡Fases legendarias desbloqueadas!</flash><br>Desde aquí también puedes acceder<br>a las fases de evento normales.
unlock_popup_message_17	<flash>¡Nueva aventura disponible!</flash><br>Selecciona «Hacia el Futuro» en la pantalla de título<br>para aceptar este nuevo desafío.
unlock_popup_message_18	<flash>¡Filtro disponible!</flash><br>Ahora puedes ver todas las bolas que tienes en el almacén.<br>Echa un vistazo al menú «Mejorar».
unlock_popup_message_19	<flash>¡Menú de organización desbloqueado!</flash><br>Ya puedes organizar las unidades<br>que quieras llevar a la batalla.
unlock_popup_message_20	<flash>¡Más formaciones de combate disponibles!</flash><br>Ahora puedes preparar hasta<br>tres formaciones desde el menú «Equipo».
unlock_popup_message_21	<flash>¡Rango total desbloqueado!</flash><br>Gana premios por alcanzar el rango objetivo.<br>El rango se calcula según la puntuación total basada en las mejoras de unidades.
unlock_popup_message_22	<flash>¡Gatocombos desbloqueados!</flash><br>Organiza tus unidades para activar poderosos bonus.<br>Consulta la lista de gatocombos para saber más.
unlock_popup_message_23	<flash>¡Dojo Afilagarras disponible!</flash><br>Selecciona esta opción desde la pantalla de título<br>y pon a prueba el poder y las habilidades de tus gatos.
unlock_popup_message_24	<flash>¡Bonus por superar la fase!</flash><br>¡Nuevo gatocombo desbloqueado!<br>Consulta la lista de gatocombos<br>para saber más sobre la nueva habilidad.
unlock_popup_message_25	<flash>¡Nuevo capítulo de Hacia el Futuro disponible!</flash><br>Selecciona «Hacia el Futuro» en la pantalla de título<br>para aceptar este nuevo desafío.
unlock_popup_message_26	<flash>¡Nuevo capítulo de Hacia el Futuro disponible!</flash><br>Selecciona «Hacia el Futuro» en la pantalla de título<br>para aceptar este nuevo desafío.
unlock_popup_message_27	<flash>¡Bonus por superar la fase!</flash><br>Personaje especial:<br>¡Has desbloqueado la forma final de la Gata Valquiria!<br>Mútala en el nivel 20 para usarla.
unlock_popup_message_28	<flash>¡Bonus por superar la fase!</flash><br>¡Nuevo gatocombo desbloqueado!<br>Consulta la lista de gatocombos<br>para saber más sobre la nueva habilidad.
unlock_popup_message_29	<flash>¡Bonus por superar la fase!</flash><br>Personaje especial:<br>¡Has desbloqueado la forma final del Gato Bégimo!<br>Mútalo en el nivel 20 para usarlo.
unlock_popup_message_30	<flash>¡Bonus por superar la fase!</flash><br>¡Nuevo gatocombo desbloqueado!<br>Consulta la lista de gatocombos<br>para saber más sobre la nueva habilidad.
unlock_popup_message_31	<flash>¡Almacén de fruta desbloqueado!</flash><br>Echa un vistazo a las frutas felinas<br>y a las semillas que has conseguido.
unlock_popup_message_32	<flash>¡Ahora puedes grabar y compartir tus batallas!</flash><br>Activa la opción de autograbado<br>en el menú de ajustes tocando el botón «SÍ».<br>La grabación se detendrá automáticamente al finalizar la batalla.
unlock_popup_message_33	<flash>¡Ahora puedes ver los vídeos de otros jugadores!</flash><br>Ve al menú de ajustes desde la pantalla de título<br>para buscar vídeos de The Battle Cats.
unlock_popup_message_34	<flash>¡Nivel máximo aumentado!</flash><br>Ahora tus gatos serán<br>aún más poderosos.
unlock_popup_message_35	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_36	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_37	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_38	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_39	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_40	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_41	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_42	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_43	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_44	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_45	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_46	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_47	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_48	<flash>¡Puedes mejorar</flash><br>un gato nuevo!
unlock_popup_message_49	<flash>¡Bonus por superar la fase!</flash><br>Has ganado esta unidad: ¡%@!<br>Actívala en el menú «Mejorar».
unlock_popup_message_50	<flash>¡Bonus por superar la fase!</flash><br>Has ganado esta unidad: ¡%@!<br>Actívala en el menú «Mejorar».
unlock_popup_message_51	<flash>¡Bonus por superar la fase!</flash><br>Has ganado esta unidad: ¡%@!<br>Actívala en el menú «Mejorar».
unlock_popup_message_52	<flash>¡Bonus por superar la fase!</flash><br>Has ganado esta unidad: ¡%@!<br>Actívala en el menú «Mejorar».
unlock_popup_message_53	<flash>¡Bonus por superar la fase!</flash><br>Has desbloqueado<br>la forma final de esta unidad especial: ¡%@!<br>Muta al alcanzar el nivel 20.
unlock_popup_message_54	<flash>¡Bonus por superar la fase!</flash><br>Has desbloqueado<br>la forma final de esta unidad especial: ¡%@!<br>Muta al alcanzar el nivel 20.
unlock_popup_message_55	<flash>¡Equipo de Ototo desbloqueado!</flash><br>Ahora puedes mejorar la base gatuna<br>y las habilidades de la gatorreta.<br>Échale un vistazo desde el menú de Gamatoto.
unlock_popup_message_56	<flash>¡Misiones mininas ya disponibles!</flash><br>Completa misiones<br>y te llevarás fantásticos premios.
unlock_popup_message_57	<flash>¡Gatos Galácticos ya disponible!</flash><br>Selecciona el capítulo desde la pantalla de título<br>y echa un vistazo a las nuevas aventuras.
unlock_popup_message_58	<flash>¡Bonus por superar la fase!</flash><br>Te has ganado la bendición del Misidiós.<br>Tócalo para que haga un milagro especial<br>en cualquier batalla del modo historia.
unlock_popup_message_59	<flash>¡Gatos Galácticos superado!</flash><br>Pronto aparecerá un capítulo nuevo,<br>así que no te pierdas las actualizaciones.
unlock_popup_message_60	<flash>¡Bonus por superar la fase!</flash><br>Has desbloqueado la forma final de Lobo Ururun.<br>Mejóralo hasta el nivel 30<br>y utiliza XP y frutas felinas para mutarlo.
unlock_popup_message_61	<flash>¡Bonus por superar la fase!</flash><br>Has desbloqueado la forma final de Mininyandam.<br>Mejóralo hasta el nivel 30<br>y utiliza XP y frutas felinas para mutarlo.
unlock_popup_message_62	<flash>¡Bonus por superar la fase!</flash><br>Has desbloqueado la forma final de Mina Caperucita.<br>Mejórala hasta el nivel 30<br>y utiliza XP y frutas felinas para mutarla.
unlock_popup_message_63	<flash>¡Bonus por superar la fase!</flash><br>Has desbloqueado la forma final de Miyamoku Musashi.<br>Mejóralo hasta el nivel 30<br>y utiliza XP y frutas felinas para mutarlo.
unlock_popup_message_64	<flash>¡Leyendas Inquietantes ahora aparece después de las fases legendarias!</flash><br>¡Ya disponibles en las Etapas de Leyenda!
unlock_popup_message_65	<flash>¡Aumenta el nivel máximo!</flash><br>Puedes usar gatojos para aumentar<br>el nivel máximo de algunos gatos.<br>(Se necesita el rango total 1600 para usar gatojos).
unlock_popup_message_66	<flash>¡Bonus por superar la fase!</flash><br>Has desbloqueado la forma final de Bun Bun Mecánico.<br>Mejóralo hasta el nivel 30<br>y utiliza XP y frutas felinas para mutarlo.
unlock_popup_message_67	<flash>¡Bonus por superar la fase!</flash><br>¡Fases de gatamina desbloqueadas!<br>Gasta las gataminas que te sobren para probar suerte en estos niveles.
unlock_popup_message_68	<flash>¡Nuevo capítulo de Gatos Galácticos disponible!</flash><br>Selecciona «Gatos Galácticos» en la pantalla de título<br>para seguir disfrutando de la historia de The Battle Cats.
unlock_popup_message_69	<flash>¡Capítulo 2 de Gatos Galácticos superado!</flash><br>Pronto aparecerá un capítulo nuevo,<br>así que no te pierdas las actualizaciones.
unlock_popup_message_70	<flash>¡Bonus por superar la fase!</flash><br>Has ganado esta unidad especial: ¡%@!<br>Actívala en el menú «Mejorar».
unlock_popup_message_71	<flash>¡Talentos desbloqueados!</flash><br>¡Ve al menú «Mejorar» para descubrir<br>y mejorar las habilidades de unidades en forma final (o más)!
unlock_popup_message_72	<flash>¡Club de Oficiales desbloqueado!</flash><br>Toca el icono en la base gatuna<br>para echarle un vistazo.
unlock_popup_message_73	<flash>¡Nuevo capítulo de Gatos Galácticos disponible!</flash><br>Toca «Gatos Galácticos» en la pantalla de título<br>para aceptar este nuevo desafío.
unlock_popup_message_74	<flash>¡Bonus por superar la fase!</flash><br>Has conseguido esto:<br>¡%d %@!
unlock_popup_message_75	<flash>¡Navegación entre fases mejorada!</flash><br>Ahora podrás regresar directamente<br>al menú de selección de fase tras superar una.
unlock_popup_message_76	<flash>¡Miaudallas desbloqueadas!</flash><br>Échales un vistazo desde<br>el menú de la base gatuna.
Castle_Tutorial00	<flash>¡Este es el equipo de Ototo!</flash><br>Desde aquí podrás cambiar la apariencia de tu base<br>y mejorarla para tener ventaja en el combate.
Castle_Tutorial01	Toca al ingeniero jefe para comenzar.<br>Luego selecciona el plano que quieras ¡y a construir!
Castle_Tutorial02	Toca el botón «Cambiar» para elegir<br>un nuevo estilo de la base gatuna.
Castle_part00	Estructura
Castle_part01	Estilo
Castle_part02	Efecto
Castle_dev_finish00	<flash>¡Mejoras de la base gatuna completadas!</flash><br>Nivel ${level1} →<color=255,255,0>${level2}</color>
Castle_dev_finish01	<flash>¡Se ha completado ${partsName} ${recipeName}!</flash>
Castle_dev_finish02	<flash>¡Mejora ${partsName} de ${recipeName} completada!</flash><br>Nivel ${level1} → <color=255,255,0>${level2}</color>
Castle_lock00	Para mejorar tu base gatuna,<br>el ataque de la gatorreta, su alcance y su recarga<br>deben estar al nivel 10.
Castle_lock01	Para poder construir esto, antes necesitas<br>%@.
Castle_lock02	Para poder construir esto,<br>antes necesitas el efecto %@.
Castle_lock03	No tienes suficientes materiales…<br>* Puedes obtenerlos en las fases legendarias.
Castle_lock03a	No tienes suficientes ingenieros...<br>* Puedes reclutarlos en las excursiones de Gamatoto.
Castle_lock04	¡Nivel máximo alcanzado!<br>En la versión actual del juego<br>no se pueden realizar más mejoras.
Castle_lock05	Necesitas el nivel<br>%@<br>para mejorar esta pieza.
Castle_researcher	Has reclutado a este ingeniero para el equipo de Ototo.<br>Solo podrá trabajar en un proyecto.
Castle_dev_suspend	¿Quieres cancelar el proyecto?<br>Perderás los ingenieros y materiales empleados.
Castle_researcher_name00	Ingeniero n.º %d
Castle_researcher_name01	Ingeniero
Castle_researcher_counter	Ingenieros actuales: 
Castle_researcher_desc	Un ayudante del ingeniero jefe.<br>* Se marchará cuando termine el proyecto.
Castle_dev_start00	Comenzará la mejora de la base.
Castle_dev_start01	Empezar a construir ${partsName} de ${recipeName}.
Castle_dev_start02	Empezar a desarrollar ${partsName} de ${recipeName}.
Castle_material_drop00	<flash>¡Material encontrado!</flash><br>
Castle_material_drop01	 x
Castle_researcher_get	He encontrado un nuevo ayudante: ¡%@!
Castle_UnlockDataId_1	el rango 600 y el ralentizador completado
Castle_UnlockDataId_2	el rango 900 y el telón de acero completado
Castle_UnlockDataId_3	el rango 900 y el inmovilizador completado
Castle_UnlockDataId_4	el nivel 30 de ataque y de recarga de la gatorreta
Castle_UnlockDataId_5	el rango 900 y la chorrimanguera completada
Castle_UnlockDataId_6	el rango 900 y la ráfaga sagrada completada
Castle_UnlockDataId_7	El rango 900 y el rompemuros<br>completado
local_notification_custom	¡Ototo ha terminado la tarea y ha regresado!
Castle_AutoChange	<flash>¡Has cambiado todas las piezas!</flash>
Castle_shoter00	¿Quieres usar %@?,La duración del proyecto se reducirá en %d horas.
Castle_shoter01	¡Duración del proyecto reducida en , horas!
castle_connection_failed	No se ha podido identificar el tiempo restante del proyecto. Comprueba tu conexión a internet.
castle_fraud	Es posible que se haya modificado la hora del dispositivo. No hagas más cambios al reloj.
beacon_event_date	開催期間: %d年%d月%d日～%d年%d月%d日まで
beacon_event_before	にゃんこビーコンのイベントは<br>現在、開催してないにゃ
beacon_event_held	にゃんこビーコン電波を<br>検索してるにゃ～
beacon_event_held2	イベント報酬を受け取ると<br>取得済マークがつくにゃ
beacon_bluetooth_off	にゃんこビーコン受信するなら<br>Bluetoothをオンにして<br>ほしいにゃ～
beacon_location_off	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_location_authorization	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_pushinfo_off	にゃんこビーコン受信するなら<br>プッシュ通知設定をオンにするにゃ
beacon_wifi_off	にゃんこビーコン受信するなら<br>Wi-Fiをオンにするにゃ
beacon_reward_before	にゃんこビーコン報酬はまだ取得していません
beacon_reward_received	にゃんこビーコン報酬は受け取り済みです
