item_pack_name_0	Promo booster : pack de Miam !
cat_challenge_item	Utilise autant d'accélérations et de<br>Chats numériques gratuits que tu veux pendant tes combats<br>dans le Dojo Griffélin !<br>* L'activation d'un boost de vitesse consomme l'objet.
zombie_clear00	<flash>${stageName} : Invasion repoussée !</flash><br>Tu as reçu 10 Miam !
zombie_clear01	<flash>Zone de quarantaine sécurisée !</flash><br>%@ : Taux d’obtention de trésors accru !
zombie_clear02	<flash>Toutes les zones de quarantaine Empire sont sécurisées !</flash><br>Max. de Charburant augmenté de ${EnergyNum} !
zombie_clear03	<flash>Taux d’obtention de trésors élevé sur les niveaux à durée lim. !</flash><br>Consulte la liste des trésors pour les connaître !
zombie_clear04	<flash>Toutes les zones de quarantaine Futur sont sécurisées !</flash><br>Max. de Charburant augmenté de ${EnergyNum} !
zombie_clear05	<flash>Toutes les zones de quarantaine Cosmos sont sécurisées !</flash><br>Max. de Charburant augmenté de ${EnergyNum} !
zombie_area_00	ZQ Asie orientale
zombie_area_01	ZQ Océan Indien
zombie_area_02	ZQ Rift de l'Himalaya
zombie_area_03	ZQ Afro-Méditerranée
zombie_area_04	ZQ Alpes
zombie_area_05	ZQ Europe de l'Ouest
zombie_area_06	ZQ Atlantique nord
zombie_area_07	ZQ Amériques orientales
zombie_area_08	ZQ Pacifique
zombie_area_09	ZQ Fairbanks
zombie_area_10	ZQ Mauna Kea
receivedBoxText	Les objets non récupérés dans un délai de 30 jours sont désactivés.
receive_version_error	Actualise la version<br>avant d'accepter tes récompenses.
receive_network_error	Erreur de connexion<br>Les objets n'ont pas pu être récupérés.
receive_item_popup	%d %s
receive_item_popup_xp	%d %s
receive_item_popup_chara	Unité féline : %s
receive_item_popup_chara_evolve	Forme ultime : %s
receive_item_popup_last	reçu(s) !
zombie_treasure	Zone de quarantaine sécurisée !<br>%@ : Taux d’obtention de trésors accru !
zombie_treasure01	Tous les niveaux de cette page sont à l'abri des zombies !<br>Taux d'obtention de trésors augmentés sur ces niveaux !
receive_list_network_error	Affichage impossible à cause d'une<br>erreur de connexion.
receive_item_none_popup	Tu ne peux actuellement récupérer<br>aucun objet.
serial_error_popup	Impossible de recevoir des objets.<br>Si tu penses qu'il y a erreur<br>merci de contacter l'assistance.
ponos_games_url	https://ponos.s3.amazonaws.com/iphone/en/battlecats.html
zombie_comp	Zone de quarantaine sécurisée !<br>%@ : taux d’obtention de trésors accru !<br>Le monde est à l'abri de l'invasion des zombies !<br>La quantité maximum de Charburant a été augmentée !
zombie_comp01	Tous les niveaux de cette page sont à l'abri des zombies !<br>Taux d'obtention de trésors augmentés sur ces niveaux !<br>Toutes les zones sont à l'abri des zombies !<br>Charburant augmenté au niveau maximum !
zombie_comp02	Tous les niveaux de la zone sont à l'abri des zombies !<br>Taux d'obtention de trésors augmentés sur ces niveaux !<br>Toutes les zones sont à l'abri des zombies !
Space09_Invasion_stageclear_txt1	<flash>Tu as vaincu un ennemi redoutable !</flash><br>L'unité spéciale Chat flibustier X<br>a juré fidélité à ton armée de Chats !<br> Récupère-la dans le menu Améliorer !
maxcollab_mg	Unités collaboratives non disponibles en dehors de la période de l'événement collaboratif.
maxcollab_popup	<flash>Tu as reçu un Chat spécial : "%@" !</flash><br>Active-le dans le menu Améliorer !
slot_set_error	<color=255,255,0>Aucune unité féline n'est sélectionnée dans ton armée !</color>
shop_category1	Objets de combat
shop_category2	XP
shop_category3	GAMATOTO
collabo_send_message	Tu as reçu une récompense utilisable dans "%@" !<br>Lancer l'appli "%@" ?
collabo_send_title_0	
collabo_send_scheme_0	
collabo_send_url_0	
collabo_send_url_android_0	
collabo_send_title_1	
collabo_send_scheme_1	
collabo_send_url_1	
collabo_send_url_android_1	
collabo_send_title_2	
collabo_send_scheme_2	
collabo_send_url_2	
collabo_send_url_android_2	
collabo_send_title_3	
collabo_send_scheme_3	
collabo_send_url_3	
collabo_send_url_android_3	
collabo_send_title_4	
collabo_send_scheme_4	
collabo_send_url_4	
collabo_send_url_android_4	
collabo_send_title_5	
collabo_send_scheme_5	
collabo_send_url_5	
collabo_send_url_android_5	
collabo_send_title_14	
collabo_send_scheme_14	
collabo_send_url_14	
collabo_send_url_android_14	
collabo_send_title_17	
collabo_send_scheme_17	
collabo_send_url_17	
collabo_send_url_android_17	
collabo_send_url_android_27	
collabo_send_title_6	
collabo_send_scheme_6	
collabo_send_url_6	
collabo_send_url_android_6	
collabo_send_title_15	
collabo_send_scheme_15	
collabo_send_url_15	
collabo_send_url_android_15	
collabo_send_title_16	
collabo_send_scheme_16	
collabo_send_url_16	
collabo_send_url_android_16	
collabo_send_title_18	
collabo_send_scheme_18	
collabo_send_url_18	
collabo_send_url_android_18	
collabo_send_title_19	
collabo_send_scheme_19	
collabo_send_url_19	
collabo_send_url_android_19	
collabo_send_title_20	
collabo_send_scheme_20	
collabo_send_url_20	
collabo_send_url_android_20	
collabo_send_title_7	
collabo_send_scheme_7	
collabo_send_url_7	
collabo_send_url_android_7	
collabo_send_title_8	
collabo_send_scheme_8	
collabo_send_url_8	
collabo_send_url_android_8	
collabo_send_title_9	
collabo_send_scheme_9	
collabo_send_url_9	
collabo_send_url_android_9	
collabo_send_title_10	
collabo_send_scheme_10	
collabo_send_url_10	
collabo_send_url_android_10	
collabo_send_title_11	
collabo_send_scheme_11	
collabo_send_url_11	
collabo_send_url_android_11	
collabo_send_title_12	Crash Fever
collabo_send_scheme_12	com.wonderplanet.crashfever://Nyanko?code=001
collabo_send_url_12	https://itunes.apple.com/us/app/crash-fever/id1146722894?ls=1&mt=8
collabo_send_url_android_12	https://play.google.com/store/apps/details?id=com.wonderplanet.CrashFever
collabo_send_title_13	Crash Fever
collabo_send_scheme_13	com.wonderplanet.crashfever://Nyanko?code=002
collabo_send_url_13	https://itunes.apple.com/us/app/crash-fever/id1146722894?ls=1&mt=8
collabo_send_url_android_13	https://play.google.com/store/apps/details?id=com.wonderplanet.CrashFever
collabo_send_title_21	
collabo_send_scheme_21	
collabo_send_url_21	
collabo_send_url_android_21	
collabo_send_title_22	
collabo_send_scheme_22	
collabo_send_url_22	
collabo_send_url_android_22	
scheme_item_param_3	
scheme_popup_3	<flash>Tu as reçu un Chat spécial : "%@" !</flash>
scheme_popup_3_option	<flash>Tu as reçu un Chat spécial : "%@" !</flash><br>Récupère-le dans le menu Améliorer !
scheme_popup_3_option_get	Récompense reçue avec succès !<br>Va la voir dans le menu Améliorer !
scheme_item_param_47	nekohopper_en1
scheme_popup_47	Vas-y ! Fonce ! Chat sauteur<br>1re récompense pour la mission de collaboration<br><flash>%@%@！</flash>
scheme_item_param_48	nekohopper_en2
scheme_popup_48	Vas-y ! Fonce ! Chat sauteur<br>2è récompense pour la mission de collaboration<br><flash>%@%@！</flash>
scheme_item_param_49	nekohopper_en3
scheme_popup_49	Vas-y ! Fonce ! Chat sauteur<br>3è récompense pour la mission de collaboration<br><flash>%@%@！</flash>
scheme_item_param_50	nekohopper_en4
scheme_popup_50	Vas-y ! Fonce ! Chat sauteur<br>4è récompense pour la mission de collaboration<br><flash>%@%@！</flash>
scheme_item_param_51	nekohopper_en5
scheme_popup_51	Vas-y ! Fonce ! Chat sauteur<br>5è récompense pour la mission de collaboration<br><flash>%@%@！</flash>
scheme_popup_browser	Profite de ces récompenses d'événement !<br>Reçois tes récompenses à la base féline !
scheme_popup_browser_get	Récompenses d'événement reçues avec succès !
rarity_name_1	Classique
rarity_name_2	Spéciale
rarity_name_3	Rare
rarity_name_4	Super rare
rarity_name_5	Ultra rare
rarity_name_6	Légendaire
unlock_popup_message_0	<flash>Le menu Trésors a été débloqué !</flash><br>Obtiens des trésors pour activer<br>des bonus !<br>Consulte les bonus depuis le menu Trésors !
unlock_popup_message_1	<flash>Écran Améliorer débloqué !</flash><br>Touche "Améliorer" à la base féline pour le consulter !<br><br>Débloque des unités et renforce-les avant la bataille !
unlock_popup_message_2	<flash>Le Guide ennemis a été débloqué !</flash><br>Tu peux tout apprendre sur les ennemis<br>que tu as rencontrés.
unlock_popup_message_3	<flash>La boutique d'objets est ouverte !</flash><br>Tu peux y acheter toutes sortes<br>d’articles utiles pour les batailles !<br>
unlock_popup_message_4	<flash>Tu as débloqué le Guide Chats !</flash><br>Utilise-le pour inspecter tous les <br>Chats que tu as obtenus !
unlock_popup_message_5	<flash>Gamatoto a été débloqué !</flash><br>Envoie-le en expédition pour<br>récupérer diverses récompenses !
unlock_popup_message_6	<flash>Il y a de nouveaux objets à la boutique !</flash><br>Achète des vichamines pour raccourcir<br>les expéditions Gamatoto !
unlock_popup_message_7	<flash>Accrois ton niveau maximum !</flash><br>Utilise un œil-de-chat sur certaines unités<br>pour qu’ils atteignent des niv. supérieurs !<br>Utilisable sur des unités de niv. 30 !
unlock_popup_message_8	<flash>Un nouveau niveau événement est apparu !</flash><br>Tu peux y accéder depuis l’écran titre
unlock_popup_message_9	<flash>Nouveau chapitre de "L’empire des Chats" disponible !</flash><br>Sélectionne "L’empire des Chats" depuis l’écran titre<br>pour accéder à un nouveau chapitre !
unlock_popup_message_10	<flash>Nouveau chapitre de "L’empire des Chats" disponible !</flash><br>Sélectionne "L’empire des Chats" depuis l’écran titre<br>pour accéder à un nouveau chapitre !
unlock_popup_message_11	<flash>Mode défi débloqué !</flash><br>Accessible via le menu principal.<br>Tu peux passer d’une classe d'unité à l'autre<br>grâce au bouton en bas à droite de l'unité !
unlock_popup_message_12	<flash>La machine à Chapsules a été débloquée !</flash><br>Tu peux y accéder depuis la base féline.
unlock_popup_message_13	<flash>新キャラメッセージ</flash>
unlock_popup_message_14	<flash>Bonus de niveaux terminés !</flash><br>Le Chat spécial "Chats haricot" a été débloqué !<br>À activer dans le menu Améliorer.
unlock_popup_message_15	<flash>Bonus de complétion totale !</flash><br>Tu as reçu "Moneko" !<br>À activer dans le menu Améliorer.
unlock_popup_message_16	<flash>Les Histoires légendaires ont été débloquées !</flash><br>Il est possible d'accéder aux niveaux événements<br>réguliers depuis les Histoires légendaires !
unlock_popup_message_17	<flash>Une nouvelle aventure est apparue !</flash><br>Sélectionne "Vers le futur" depuis l’écran titre<br>pour relever ce tout nouveau défi !
unlock_popup_message_18	<flash>Tous les filtres sont activés !</flash><br>Tu peux voir toutes les Chapsules dans ta réserve.<br>Jette un œil dans le menu Améliorer !
unlock_popup_message_19	<flash>Le menu Organiser a été débloqué !</flash><br>Tu peux maintenant organiser les unités<br>que tu veux déployer au combat.
unlock_popup_message_20	<flash>Formations de bataille augmentées !</flash><br>Tu peux maintenant préparer jusqu’à trois formations<br>via l’écran Organiser.
unlock_popup_message_21	<flash>Rang joueur débloqué !</flash><br>Atteins le rang cible pour obtenir des récompenses !<br>Le rang est déterminé par ton score total d’amélioration.
unlock_popup_message_22	<flash>Combos félins débloqués !</flash><br>Organise tes unités pour activer une capacité bonus !<br>Consulte la liste des combos pour en savoir plus !
unlock_popup_message_23	<flash>Le Dojo Griffélin est ouvert !</flash><br>Sélectionne le Dojo Griffélin depuis l'écran titre pour<br>tester la puissance et les capacités de tes unités !
unlock_popup_message_24	<flash>Bonus de niveaux terminés !</flash><br>Nouveau combo félin débloqué !<br>Consulte la liste des combos pour en savoir<br>plus sur ta nouvelle capacité.
unlock_popup_message_25	<flash>Un nouveau chapitre de la saga du futur est arrivé !</flash><br>Sélectionne "Vers le futur" depuis l’écran titre<br>pour relever ce tout nouveau défi !
unlock_popup_message_26	<flash>Un nouveau chapitre de la saga du futur est arrivé !</flash><br>Sélectionne "Vers le futur" depuis l’écran titre<br>pour relever ce tout nouveau défi !
unlock_popup_message_27	<flash>Bonus de niveaux terminés !</flash><br>Personnage spécial :<br>Tu as débloqué la forme ultime du Chat Chalkyrie !<br>Fais-le évoluer au niv. 20 pour l’utiliser !
unlock_popup_message_28	<flash>Bonus de niveaux terminés !</flash><br>Nouveau combo félin débloqué !<br>Consulte la liste des combos pour en savoir<br>plus sur ta nouvelle capacité.
unlock_popup_message_29	<flash>Bonus de niveaux terminés !</flash><br>Personnage spécial :<br>Tu as débloqué la forme ultime du Chat Bahamut !<br>Fais-le évoluer au niv. 20 pour l’utiliser !
unlock_popup_message_30	<flash>Bonus de niveaux terminés !</flash><br>Nouveau combo félin débloqué !<br>Consulte la liste des combos pour en savoir<br>plus sur ta nouvelle capacité.
unlock_popup_message_31	<flash>Réserve de Chagrumes débloquée !</flash><br>Découvre les Chagrumes et les graines<br>que tu as récoltés jusqu’ici !
unlock_popup_message_32	<flash>Tu peux enregistrer et partager tes batailles !</flash><br>Active Enreg. auto dans<br>les Paramètres en touchant OUI.<br>L’enreg. s’arrête à la fin de la bataille.
unlock_popup_message_33	<flash>Tu peux maintenant regarder les vidéos des autres joueurs !</flash><br>Accède aux Paramètres depuis l’écran titre<br>pour trouver des vidéos The Battle Cats.
unlock_popup_message_34	<flash>Le niveau maximum a été augmenté !</flash><br>Tes unités peuvent devenir<br>encore plus puissantes !
unlock_popup_message_35	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_36	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_37	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_38	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_39	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_40	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_41	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_42	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_43	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_44	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_45	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_46	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_47	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_48	<flash>Une nouvelle unité est apparue !</flash><br>À obtenir dans le menu Améliorer.
unlock_popup_message_49	<flash>Bonus de niveaux terminés !</flash><br>Tu as reçu %@ !<br>À débloquer dans le menu Améliorer !
unlock_popup_message_50	<flash>Bonus de niveaux terminés !</flash><br>Tu as reçu %@ !<br>À débloquer dans le menu Améliorer !
unlock_popup_message_51	<flash>Bonus de niveaux terminés !</flash><br>Tu as reçu %@ !<br>À débloquer dans le menu Améliorer !
unlock_popup_message_52	<flash>Bonus de niveaux terminés !</flash><br>Tu as reçu %@ !<br>À débloquer dans le menu Améliorer !
unlock_popup_message_53	<flash>Bonus de niveaux terminés !</flash><br>Unité spéciale : forme ultime de<br>%@ obtenue !<br>Évolue après avoir atteint le niveau 20 !
unlock_popup_message_54	<flash>Bonus de niveaux terminés !</flash><br>Unité spéciale : forme ultime de<br>%@ obtenue !<br>Évolue après avoir atteint le niveau 20 !
unlock_popup_message_55	<flash>La Brigade Ototo a été débloquée !</flash><br>Bâtis et améliore ta base féline<br>ainsi que les capacités de son Chanon !<br>Jette un œil dans le menu Gamatoto !
unlock_popup_message_56	<flash>Les défis félins sont disponibles !</flash><br>Accomplis différentes missions pour<br>recevoir de superbes récompenses !
unlock_popup_message_57	<flash>"Les Chats du cosmos" sont maintenant disponibles !</flash><br>Sélectionne ce chapitre sur l'écran titre<br>et lance-toi dans de nouvelles et étranges aventures !
unlock_popup_message_58	<flash>Bonus de fin !</flash><br>La grâce du Dieu des Chats est sur toi !<br>Touche-le pour lancer un miracle spécial<br>dans la bataille en mode Hist. de ton choix !
unlock_popup_message_59	<flash>Les Chats du cosmos TERMINÉ !</flash><br>Un nouveau chapitre sera bientôt disponible,<br>alors surveille les mises à jour !
unlock_popup_message_60	<flash>Bonus de niveaux terminés !</flash><br>Forme ultime de "Ururun et Loup" débloquée !<br>Fais-la évoluer au niv. 30 et<br>active-la avec des XP/Chagrumes !
unlock_popup_message_61	<flash>Bonus de niveaux terminés !</flash><br>Forme ultime de "Li'l Nyandam" débloquée !<br>Fais-la évoluer au niv. 30 et<br>active-la avec des XP/Chagrumes !
unlock_popup_message_62	<flash>Bonus de niveaux terminés !</flash><br>Forme ultime de "Chaperon Mina" débloquée !<br>Fais-la évoluer au niv. 30 et<br>active-la avec des XP/Chagrumes !
unlock_popup_message_63	<flash>Bonus de niveaux terminés !</flash><br>Forme ultime "Miyamoku Musashi" débl. !<br>Fais-la évoluer au niv. 30 et<br>active-la avec des XP/Chagrumes !
unlock_popup_message_64	<flash>Les Légendes mystérieuses apparaissent désormais à la suite des Histoires légendaires !</flash><br>Désormais disponibles dans les niveaux Histoires légendaires !
unlock_popup_message_65	<flash>Augm. tes niv. max !</flash><br>Les œils-de-chat perm. aux Chats d'atteindre<br>des niv. plus hauts avant leur max. !<br>(œils-de-chat oblig. pour rang joueur 1 600)
unlock_popup_message_66	<flash>Bonus de niveaux terminés !</flash><br>Forme ultime de "Méca-Bun" débloquée !<br>Fais-la évoluer jusqu’au niveau 30 et<br>utilise des XP/Chagrumes pour l'activer !
unlock_popup_message_67	<flash>Bonus de complétion !</flash><br> Les Niveaux vichamine sont débloqués !<br> Utilise les vichamines restantes pour te mesurer à ces niveaux !
unlock_popup_message_68	<flash>Nouveau chapitre disponible pour "Les Chats du cosmos" !</flash><br>Choisis "Les Chats du cosmos" depuis l'écran titre<br>et poursuis l'histoire de The Battle Cats !
unlock_popup_message_69	<flash>Chapitre 2 du Cosmos TERMINÉ !</flash><br>Un nouveau chapitre sera bientôt disponible,<br>alors surveille les mises à jour !
unlock_popup_message_70	<flash>Bonus de niveaux terminés !</flash><br>Tu as reçu l'unité spéciale "%@" !<br>À débloquer dans le menu Améliorer.
unlock_popup_message_71	<flash>Les talents sont débloqués !</flash><br>Consulte le menu Améliorer pour découvrir<br>et développer les capacités des unités sous leur forme ultime (ou plus) !
unlock_popup_message_72	<flash>Le Club des officiers est débloqué !</flash><br>Sélectionne l'icône à la base féline<br>pour y jeter un œil !
unlock_popup_message_73	<flash>Nouveau chapitre pour Les Chats du cosmos !</flash><br>Touche "Les Chats du cosmos" sur l'écran titre<br>pour relever ce tout nouveau défi !
unlock_popup_message_74	<flash>Bonus de niveaux terminés !</flash><br>Tu as reçu<br>%d %@ !
unlock_popup_message_75	<flash>Navigation des niveaux améliorée !</flash><br>Tu peux maintenant retourner directement<br>au choix du niveau après en avoir terminé un !
unlock_popup_message_76	<flash>Médailles Miaou débloquées !</flash><br>Jettes-y un œil via le menu<br>de la base féline !
Castle_Tutorial00	<flash>Bienvenue dans la Brigade Ototo !</flash><br>Modifie l’apparence de ta base féline<br>et améliore ses capacités de bataille !
Castle_Tutorial01	Touche l’ingénieur en chef pour commencer !<br>Sélectionne un plan pour démarrer la construction !
Castle_Tutorial02	Touche Modifier pour sélectionner<br>un nouveau style pour ta base féline !
Castle_part00	Fondation
Castle_part01	Style
Castle_part02	Effet
Castle_dev_finish00	<flash>Améliorations de base féline terminées !</flash><br>Niveau ${level1} → <color=255,255,0>${level2}</color>
Castle_dev_finish01	<flash>La partie ${partsName} : ${recipeName}<br>est terminée !</flash>
Castle_dev_finish02	<flash>Renforcement terminé : ${partsName} pour ${recipeName} !</flash><br>Niveau ${level1} → <color=255,255,0>${level2}</color>
Castle_lock00	Pour renforcer ta base féline, <br>la puissance, la portée et la charge<br>du Chanon doivent être au niveau 10.
Castle_lock01	%@<br>nécessaire pour effectuer<br>cette amélioration.
Castle_lock02	Construction de %@ nécessaire<br>pour effectuer cette amélioration.
Castle_lock03	Pas assez de matériaux...<br>* Récupères-en dans les Histoires légendaires.
Castle_lock03a	Pas assez d’ingénieurs.<br>* Recrutes-en dans les expéditions Gamatoto.
Castle_lock04	Niveau maximum atteint !<br>Aucune autre amélioration n’est possible<br>dans la version actuelle du jeu.
Castle_lock05	Tu dois atteindre<br>%@<br>pour renforcer cette partie.
Castle_researcher	A intégré la Brigade Ototo en tant qu’ingénieur.<br>Ne peut participer qu’à un seul projet.
Castle_dev_suspend	Annuler ce projet ?<br>Les ingénieurs/matériaux seront perdus !
Castle_researcher_name00	Ingénieur n° %d
Castle_researcher_name01	Ingénieur
Castle_researcher_counter	Ingénieur(s) actuel(s) :
Castle_researcher_desc	Assistant de l’ingénieur en chef de la base féline.<br>* Disparaît quand un projet est terminé ou annulé.
Castle_dev_start00	L’amélioration de la base va commencer.
Castle_dev_start01	Commence à construire 1 ${partsName} pour ${recipeName}.
Castle_dev_start02	Commence à renforcer 1 ${partsName} pour ${recipeName}.
Castle_material_drop00	<flash>Matériau trouvé !</flash><br>
Castle_material_drop01	 ×
Castle_researcher_get	J’ai trouvé un %@ !
Castle_UnlockDataId_1	Rang 600 et Rayon lenteur prêt
Castle_UnlockDataId_2	Rang 900 et Mur d’acier prêt
Castle_UnlockDataId_3	Rang 900 et Éclair prêt
Castle_UnlockDataId_4	Niv. 30 au total pour la puissance d’attaque du Chanon<br>Niv. 30 au total pour la charge du Chanon
Castle_UnlockDataId_5	Rang 900 et Jet d’eau prêt
Castle_UnlockDataId_6	Rang 900 et Purificateur prêt
Castle_UnlockDataId_7	Rang 900 et Briseur prêt
local_notification_custom	Ototo est de retour après avoir fini la tâche !
Castle_AutoChange	<flash>Toutes les pièces ont été changées !</flash>
Castle_shoter00	Utiliser %@ ?,La durée du projet sera raccourcie de %d heures.
Castle_shoter01	Durée du projet raccourci de , heures !
castle_connection_failed	Impossible de confirmer la durée restante du projet. Vérifie ta connexion Internet !
castle_fraud	L’heure de l’appareil a peut-être changé. Ne fais aucune autre modification sur ton horloge.
beacon_event_date	開催期間: %d年%d月%d日～%d年%d月%d日まで
beacon_event_before	にゃんこビーコンのイベントは<br>現在、開催してないにゃ
beacon_event_held	にゃんこビーコン電波を<br>検索してるにゃ～
beacon_event_held2	イベント報酬を受け取ると<br>取得済マークがつくにゃ
beacon_bluetooth_off	にゃんこビーコン受信するなら<br>Bluetoothをオンにして<br>ほしいにゃ～
beacon_location_off	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_location_authorization	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_pushinfo_off	にゃんこビーコン受信するなら<br>プッシュ通知設定をオンにするにゃ
beacon_wifi_off	にゃんこビーコン受信するなら<br>Wi-Fiをオンにするにゃ
beacon_reward_before	にゃんこビーコン報酬はまだ取得していません
beacon_reward_received	にゃんこビーコン報酬は受け取り済みです
