Accélération|Double ta vitesse de bataille.|Vitesse x3 pour porteurs de carte en or !|(Touche pour act./dés. en combat.)|＠|
Pierre B. violette|Permet aux unités de changer de classe.|Pourrait bien venir d'une autre dimension.|＠|
Pierre B. rouge|Permet aux unités de changer de classe.|Pourrait bien venir d'une autre dimension.|＠|
Pierre B. bleue|Permet aux unités de changer de classe.|Pourrait bien venir d'une autre dimension.|＠|
Pierre B. verte|Permet aux unités de changer de classe.|Pourrait bien venir d'une autre dimension.|＠|
Pierre B. jaune|Permet aux unités de changer de classe.|Pourrait bien venir d'une autre dimension.|＠|
Eau bénite|＠|||
Filets légendaires|＠|||
Médaille de bronze|＠|||
Médaille d’argent|＠|||
Médaille d’or|＠|||
Médaille platine|＠|||
Pass Légende|＠|||
G. Béhém. violette|Permet aux Chats de changer de classe.|Pourrait bien venir d’une autre dimension.|＠|
Gemme Béhém. rouge|Permet aux Chats de changer de classe.|Pourrait bien venir d’une autre dimension.|＠|
Gemme Béhém. bleue|Permet aux Chats de changer de classe.|Pourrait bien venir d’une autre dimension.|＠|
Gemme Béhém. verte|Permet aux Chats de changer de classe.|Pourrait bien venir d’une autre dimension.|＠|
Gemme Béhém. jaune|Permet aux Chats de changer de classe.|Pourrait bien venir d’une autre dimension.|＠|
P. Béhémoth épique|Permet aux Chats de changer de classe.|Pourrait bien venir d’une autre dimension.|＠|
Charme légendaire|＠|||
Lettre d’amour|＠|||
Brique Z|Matériau extradimensionnel qui améliore|la fondation/le style de la base féline.|＠|
Plumes Z|Matériau extradimensionnel qui améliore|la fondation/le style de la base féline.|＠|
Charbon Z|Matériau extradimensionnel qui améliore|la fondation/le style de la base féline.|＠|
Rouages Z|Matériau extradimensionnel qui améliore|la fondation/le style de la base féline.|＠|
Or Z|Matériau extradimensionnel qui améliore|la fondation/le style de la base féline.|＠|
Météorite Z|Matériau extradimensionnel qui améliore|la fondation/le style de la base féline.|＠|
Os de bête Z|Matériau extradimensionnel qui améliore|la fondation/le style de la base féline.|＠|
Ammonite Z|Matériau extradimensionnel qui améliore|la fondation/le style de la base féline.|＠|
Eau bénite|＠|||
filets légendaires|＠|||
1 000 000 XP|＠|||
Petite médaille|＠|||
Charme légendaire|＠|||
Lettre d’amour|＠|||
XP|Gagne de l'XP en visionnant une pub.|＠|＠|
Eau bénite|＠|||
Filet légendaire|＠|||
Piège légendaire|＠|||
|＠|||
Esprit légendaire|＠|||
Fonds de guerre|＠|||
|＠|||
Coffre au trésor (bronze)|＠|||
Coffre au trésor (argent)|＠|||
Coffre au trésor (or)|＠|||
Ticket des 100M|＠|||
Lettre d’amour|＠|||
Panier légendaire|＠|||
Legendary Dumbbell|＠|||
Piège légendaire|＠|||
Coffre au trésor (bronze)|＠|||
Coffre au trésor (argent)|＠|||
Coffre au trésor (or)|＠|||
Billets de banque légendaires|＠|||
|＠|||
2 000 XP|＠|||
25 000 XP|＠|||
Coffre au trésor (bronze)|＠|||
Coffre au trésor (argent)|＠|||
Coffre au trésor (or)|＠|||
