加速|戰鬥速度提高2倍|戰鬥中點選道具|可切換ON・OFF|＠|
紫獸結晶|可以讓貓咪進化到|更高次元的獸結晶|＠|
紅獸結晶|可以讓貓咪進化到|更高次元的獸結晶|＠|
蒼獸結晶|可以讓貓咪進化到|更高次元的獸結晶|＠|
翠獸結晶|可以讓貓咪進化到|更高次元的獸結晶|＠|
黃獸結晶|可以讓貓咪進化到|更高次元的獸結晶|＠|
彩虹獸石|可以讓貓咪進化到|更高次元的獸石|＠|
傳說金元寶|＠|||
傳說的情書|＠|||
紅磚Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
羽毛Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
備長炭Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
鋼製齒輪Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
黃金Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
宇宙石Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
神秘骨頭Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
菊石Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
傳說的聖水|＠|||
