popupID	on/off	conditions	stage	MapConditions	userRank	getCharID1	getCharID2	osID	UnlockEye1ID	addlv1	UnlockEye2ID	addLv2	UnlockPlusID	addLv	SKILL	itemID	num	Help_on/off
57	1	0	300347	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
58	1	0	300647	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
59	0	0	300647	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
60	1	0	4800	-1	0	1302	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
61	1	0	4800	-1	0	1722	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
62	1	0	4800	-1	0	2682	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
63	1	0	4800	-1	0	3232	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
64	1	0	4800	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
65	1	0	1300000	-1	0	-1	-1	0	2000	20	2001	10	-1	-1	-1	-1	-1	0
66	1	0	1300000	-1	0	4262	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
67	1	0	300047	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
68	1	0	300647	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
69	0	0	300747	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
70	1	0	300747	-1	0	4370	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
71	1	0	300547	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
72	1	0	300006	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
73	1	0	300747	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
74	1	0	300847	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	29	1	0
75	1	0	300047	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
76	1	0	300006	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
77	1	0	0	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
78	1	0	0	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
79	1	0	300147	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
80	1	1	109500	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
81	1	1	111700	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
82	1	1	111900	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
83	1	1	112800	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
84	1	1	115800	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
85	1	1	117700	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
86	1	1	101400	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
87	1	1	101500	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
88	1	1	101600	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
89	1	1	103900	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
90	1	1	104300	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
91	1	1	106600	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
92	1	1	101700	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
93	1	1	101800	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
94	1	1	101900	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
95	1	1	102000	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
96	1	1	102100	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
97	1	1	102200	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
98	1	1	102300	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
99	1	1	102400	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
100	1	1	102500	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
101	1	0	126800	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
102	1	0	3000048	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
103	1	0	404200	-1	0	6220	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
104	1	0	404200	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
106	1	0	300847	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
107	1	0	300847	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
108	1	1	121500	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
109	1	1	116100	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
110	1	1	109600	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
111	1	1	112200	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
112	1	1	118900	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
113	1	1	125900	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
114	1	1	122600	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
115	1	1	110200	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
116	1	1	110300	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
117	1	1	110400	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
118	1	1	110500	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
119	1	1	110600	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
120	1	1	110700	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
121	1	1	110800	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
122	1	1	110900	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
123	1	1	111000	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
124	1	1	115700	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
125	1	0	1304704	-1	0	4642	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
126	1	0	1304704	-1	0	5322	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
127	1	0	1304704	-1	0	6132	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
128	1	0	1304704	-1	0	6532	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
129	1	0	1304800	-1	0	-1	-1	0	2001	10	-1	-1	-1	-1	-1	-1	-1	0
130	1	0	1304800	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
131	1	0	3400000	-1	0	4622	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
132	1	0	300547	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
133	1	0	4800	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
134	1	0	133900	-1	0	-1	-1	0	-1	-1	-1	-1	2002	5	-1	-1	-1	0
135	1	0	133901	-1	0	-1	-1	0	-1	-1	-1	-1	2002	5	-1	-1	-1	0
136	1	0	133902	-1	0	-1	-1	0	-1	-1	-1	-1	2002	5	-1	-1	-1	0
137	1	0	133903	-1	0	-1	-1	0	-1	-1	-1	-1	2002	5	-1	-1	-1	0
138	1	0	300046	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
139	1	0	-1	119	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
140	1	0	406800	-1	0	5682	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
141	1	0	3700002	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
142	1	0	3700102	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
143	1	0	3700201	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
144	1	0	3700301	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
145	1	0	3700402	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
146	1	0	3700501	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
147	1	0	3700601	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
148	1	0	3700702	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
149	1	0	3700802	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
150	1	0	3700900	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
151	1	0	3701001	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
152	1	0	3701102	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
153	1	0	139400	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	240	-1	-1	0
154	1	0	139500	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	250	-1	-1	0
155	1	0	3800000	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	4620	-1	-1	0
156	1	1	-1	125	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
157	1	0	-1	126	0	-1	-1	0	-1	-1	-1	-1	-1	-1	4370	-1	-1	0
