Accelerazione|Raddoppia la velocità di battaglia.|Ufficiali Carta oro ricevono vel. batt. x3!|Tocca l'icona e attiva/disattiva in batt.|＠|
Ritmo impiegato|Aumenta l'efficienza del Gatto impiegato|e di conseguenza il tasso delle entrate.||＠|
Portafogli impiegato|Aumenta il portafogli del Gatto impiegato|e il limite massimo delle entrate.||＠|
Difesa Base|Aumenta la salute della Base felina.|||＠|
Ricerca|Aumenta la velocità di produzione dei Gatti.|||＠|
Contabilità|Aumenta i Soldi ottenuti|sconfiggendo un nemico.||＠|
Studio|Aumenta la quantità di XP|ricevuti quando superi un livello.||＠|
Energia felina|Aumenta il limite max di energia felina.|Hai bisogno di energia felina per combattere.||＠|
Cat Ally: Dummy 1|＠||||
Cat Ally: Dummy 2|＠||||
Cat Ally: Dummy 3|＠||||
Cat Ally: Dummy 4|＠||||
Cat Ally: Dummy 5|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna G|＠||||
XP 100.000|＠||||
|＠||||
XP|Acquista XP per potenziare le unità Gatto!|＠|＠|＠|
XP|Acquista XP per potenziare le unità Gatto!|＠|＠|＠|
XP|Acquista XP per potenziare le unità Gatto!|＠|＠|＠|
XP|Acquista XP per potenziare le unità Gatto!|＠|＠|＠|
XP|Acquista XP per potenziare le unità Gatto!|＠|＠|＠|
Mattoni|Materiale per costruire una Base potente.|＠|＠|＠|
Piume|Materiale per costruire una Base potente.|＠|＠|＠|
Carbone|Materiale per costruire una Base potente.|＠|＠|＠|
Ingranaggi|Materiale per costruire una Base potente.|＠|＠|＠|
Oro|Materiale per costruire una Base potente.|＠|＠|＠|
Meteora|Materiale per costruire una Base potente.|＠|＠|＠|
Ossa bestiali|Materiale per costruire una Base potente.|＠|＠|＠|
Ingegneri|Assistenti necessari per costruire una Base.|＠|＠|＠|
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Leadership|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Pack ritorno|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠
Biglietto fortuna G|＠
Biglietto fortuna G|＠
Biglietto fortuna G|＠||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠||
Biglietto fortuna|＠|||
Bikkuriman Choco|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Ammonite|Materiale per costruire una Base potente.|＠|＠|＠|
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto leggenda|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Gatti ricconi illimitati per 3 ore|＠|||
Gatti CPU illimitati per 3 ore|＠|||
Gatti cecchini illimitati per 3 ore|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Pezzo di platino|＠|||
Rete leggendaria|＠|||
5.000 XP|＠|||
Seme miagrume Aku|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠|
Miagrume Aku|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠|
|＠|||
scatola misteriosa|＠|||
Seme miagrume oro|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠|
|＠|||
Lettera d'amore|＠|||
Pietra B. viola|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Pietra B. rossa|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Pietra B. blu|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Pietra B. verde|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Pietra B. gialla|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Acqua santa|＠|||
Reti leggendarie|＠|||
Medaglia bronzo|＠|||
Medaglia argento|＠|||
Medaglia oro|＠|||
Medaglia platino|＠|||
Pass leggendario|＠|||
Gem. Behem. viola|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Gem. Behem. rossa|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Gem. Behem. blu|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Gem. Behem. verde|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Gem. Behem. gialla|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Piet. Behem. epica|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Amul. leggendario|＠|||
Lettera d'amore|＠|||
Mattone Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Piume Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Carbone Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Ingranaggi Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Oro Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Meteora Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Ossa bestiali Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Ammonite Z|Materiale extradimensionale per migliorare|fondamenta/stile della Base felina.|＠|
Acqua santa|＠|||
reti leggendarie|＠|||
1.000.000 XP|＠|||
Medaglietta|＠|||
Amul. leggendario|＠|||
Lettera d'amore|＠|||
XP|Guarda un video per ottenere XP.|＠|＠|
Acqua santa|＠|||
Rete leggendaria|＠|||
Trappola leggend.|＠|||
|＠|||
Spirito leggenda|＠|||
Fondi di guerra|＠|||
|＠|||
Forziere (bronzo)|＠|||
Forziere (argento)|＠|||
Forziere (oro)|＠|||
Big. Festa 100M DL|＠|||
Lettera d'amore|＠|||
Cestino leggend.|＠|||
Legendary Dumbbell|＠|||
Trappola leggend.|＠|||
Forziere (bronzo)|＠|||
Forziere (argento)|＠|||
Forziere (oro)|＠|||
Banconota leggendaria|＠|||
|＠|||
2.000 XP|＠|||
25.000 XP|＠|||
Forziere (bronzo)|＠|||
Forziere (argento)|＠|||
Forziere (oro)|＠|||
Spirito leggenda|＠|||
Forziere (bronzo)|＠|||
Forziere (argento)|＠|||
Forziere (oro)|＠|||
