item_pack_name_0	応援セール！お得ネコカンパック 購入
gamatoto_connection_failed	探検残り時間の取得に失敗しました。通信環境の良い所で再起動してください。
gamatoto_fraud	端末時間が変更された可能性があります。しばらくの間、探検残り時間が進みません。
reset_item_reward	<color=255,255,0>報酬リセット！</color><br>報酬アイテムの「取得済み」状態がリセットされました<br>もう一度獲得することができます
reset_tower_state	<color=255,255,0>報酬・クリア状況リセット！</color><br>報酬アイテムの「取得済み」状態と<br>ステージのクリア状況がリセットされました
reward_energy	統率力回復のチャンスにゃ！<br>動画を見て統率力を%d回復しますか？</flash>
clear_adreward_1	獲得経験値アップのチャンスにゃ!!<br>動画を見て<flash>「経験値${xp}」×2</flash>をゲットしますか？
reward_freegatya	1日1回、動画視聴で福引ガチャを<br>無料でまわすことができます。<br>動画を視聴しますか？
Itemshop_ad_popup1	動画視聴で「XP+${xp}」を獲得できます<br>動画を視聴しますか？
receive_energy	統率力が%d回復しました。
clear_adreward_2	<flash>「XP+${xp}」</flash> を獲得しました
lose_retry_ad	｢お金MAX｣､｢にゃんこ砲発射可能｣な状態で復活！
Itemshop_ad_popup2	「XP+${xp}」をゲットしました！
receive_energy_full	統率力が全回復しました。
network_unavailable_energy	ネットワークにアクセスできなかったので\n統率力を回復できませんでした
network_unavailable_gamatoto	ネットワークにアクセスできなかったので\nネコカンを取得できませんでした
001_img044.png	001_img044_ja.png
001_img044.imgcut	001_img044_ja.imgcut
001_img045.png	001_img045_ja.png
001_img045.imgcut	001_img045_ja.imgcut
021_e.png	021_e.png
021_e.imgcut	021_e.imgcut
slot_copy_select	出陣スロット%dの編成をコピーできます<br>コピー、または置き換えをしますか？
slot_copy	出陣スロット%dの編成をコピーしました<br>コピー先のスロットに移動して<br>「置き換え」を選んでください
slot_paste	出陣スロット%dの編成に置き換えます<br>よろしいですか？
slot_remove	出陣スロットからまとめてキャラクターを外します
remove_error	<color=255,255,0>このキャラクターは編成から外せません</color>
instant_koyashi	リミット（限界レベル）になった青玉5個を<br>レアチケット1枚に交換できます<br>青玉を使いますか？<br>（あと%d個必要）
storage_koyashi	リミット（限界レベル）になったすべての<br>青玉をこやしにします<br>よろしいですか？<br>
have_koyashi	こやしにできる青玉を、%d個持っています
tutorial_favoriteUnit	「☆」ボタンをタップすることで<br>お気に入りに設定したキャラクターの表示と<br>キャラクター全体表示の切り替えができるぞ！
tutorial_favoriteUnit_pictureBook1	<color=255,255,0>お気に入り設定 その１</color><br>お気に入りに設定したいキャラクターを<br> タップで選択し、「☆設定完了」ボタンで<br> お気に入り編集モードを終了しよう！
tutorial_favoriteUnit_pictureBook2	<color=255,255,0>お気に入り設定 その２</color><br>パワーアップ画面やキャラクター編成画面内の<br>絞り込みボタンをタップし、お気に入りにチェックを<br>入れると設定したキャラクターを表示できるぞ！
everyplay_not_supported	お使いの端末には対応しておりません
everyplay_no_related_videos	関連動画が見つかりませんでした。
cat_challenge01	<flash>ネコ道場へようこそ！</flash><br>敵を倒すとスコアが加算される腕試しステージ！<br>何度も挑戦してハイスコアを目指そう！<br>※敵を倒してもお金はもらえないぞ※
data_download_error_catfood_20000	不正の恐れがあるデータが検出されましたので、セーブデータの引継ぎが出来ません。恐れ入りますが、サポートまでご連絡ください。
cat_challenge_item	ネコ道場のステージでは<br>「スピードアップ」と「ニャンピュータ」が使い放題にゃ！<br>※速度ブースト発動時はアイテムを消費します
zombie_clear00	<flash>${stageName}をゾンビから守りました！</flash><br>ネコカンを10個ゲットしました！
zombie_clear01	<flash>%@エリアをゾンビから守りました！</flash><br>%@エリアのお宝発見率アップ！
zombie_clear02	<flash>日本の全地域をゾンビから守りました！</flash><br>統率力の最大値が${EnergyNum}アップ！
zombie_clear03	<flash>特定ステージのお宝発見率アップ！</flash><br>対象はお宝リストを確認！
zombie_clear04	<flash>世界の全地域をゾンビから守りました！</flash><br>統率力の最大値が${EnergyNum}アップ！
zombie_clear05	<flash>宇宙全域をゾンビから守りました！</flash><br>統率力の最大値が${EnergyNum}アップ！
zombie_area_00	九州
zombie_area_01	四国
zombie_area_02	中国
zombie_area_03	関西
zombie_area_04	北陸
zombie_area_05	東海
zombie_area_06	甲信越
zombie_area_07	関東
zombie_area_08	東北
zombie_area_09	北海道
zombie_area_10	南国
receivedBoxText	※配信日から30日経過したアイテムは自動的に削除されます。
receive_version_error	アプリを最新版にアップデートすると<br>受け取ることができます。
receive_network_error	通信エラーのため<br>アイテムを受け取れませんでした。
receive_honor_popup	<flash>%s</flash>
receive_item_popup	%s %d個
receive_item_popup_xp	%s +%d
receive_item_popup_chara	キャラクター「%s」
receive_item_popup_chara_evolve	キャラクター「%s」第3形態
receive_item_popup_chara_evolve2	キャラクター「%s」第4形態
receive_item_popup_last	受け取りました。
receive_item_popup_annotation_1	※「ふしぎな宝箱」は本能玉貯蔵庫に送られます
zombie_treasure	%@エリアをゾンビから守りました！<br>%@エリアのお宝発見率アップ！
zombie_treasure01	このページの全ステージをゾンビから守りました！<br>このページの全ステージのお宝発見率アップ！
receive_list_network_error	通信エラーのため<br>表示できませんでした。
receive_item_none_popup	受信BOXには受け取れる<br>アイテムがありません。
serial_error_popup	受け取ることができません。<br>恐れ入りますが、サポートに<br>お問い合わせください。
ponos_games_url	https://www.ponos.jp/games/thebattlecats/
zombie_comp	%@エリアをゾンビから守りました！<br>%@エリアのお宝発見率アップ！<br>日本の全地域をゾンビから守りました！<br>統率力の最大値アップボーナス！
zombie_comp01	このページの全ステージをゾンビから守りました！<br>このページの全ステージのお宝発見率アップ！<br>世界の全地域をゾンビから守りました！<br>統率力の最大値アップボーナス！
zombie_comp02	このページの全ステージをゾンビから守りました！<br>このページの全ステージのお宝発見率アップ！<br>宇宙全域をゾンビから守りました！
Space09_Invasion_stageclear_txt1	<flash>謎の生命体から宇宙をまもりました！</flash><br>EXキャラクター<br>「フィリバスターX」ゲット！<br>パワーアップ画面から取得可能です
maxcollab_mg	コラボ期間外のため、コラボキャラは取得できません
maxcollab_popup	<flash>EXキャラクター「%@」ゲット！</flash><br>パワーアップ画面から取得可能です。
slot_set_error	<color=255,255,0>出撃スロットにキャラクターをセットして下さい！</color>
shop_category1	バトルアイテム
shop_category2	経験値
shop_category3	ガマトト探検隊
collabo_send_message	「%@」で使えるコラボ特典をゲットできます。<br>「%@」を起動しますか？
collabo_send_title_0	ドラゴンポーカー
collabo_send_scheme_0	dragonpoker://?nyanko1=1
collabo_send_url_0	https://itunes.apple.com/jp/app/doragonpoka/id572233872?l=ja&ls=1&mt=8
collabo_send_url_android_0	https://play.google.com/store/apps/details?id=jp.co.asobism.drapoker
collabo_send_title_1	ドラゴンリーグX
collabo_send_scheme_1	jp.co.asobism.dragonx://?code=nyankoReward01
collabo_send_url_1	https://itunes.apple.com/jp/app/doragonrigux/id566304471
collabo_send_url_android_1	https://play.google.com/store/apps/details?id=jp.co.asobism.dragona2
collabo_send_title_2	生きろ！マンボウ！
collabo_send_scheme_2	com.pocketcreators.manbo://collaboration/nyanko1
collabo_send_url_2	https://itunes.apple.com/us/app/shengkiro!manbou!-3yi-pino/id743843492?l=ja&ls=1&mt=8
collabo_send_url_android_2	https://play.google.com/store/apps/details?id=jp.selectbutton.manbo
collabo_send_title_23	消滅都市
collabo_send_scheme_23	shoumetsu://net.wrightflyer.shoumetsu/?serial_campaign_master_id=126&serial_code=LGQZECN6X674LV6D
collabo_send_url_23	itms-apps://itunes.apple.com/jp/app/pages/id858357080
collabo_send_url_android_23	market://details?id=net.wrightflyer.shoumetsu
collabo_send_title_24	消滅都市
collabo_send_scheme_24	shoumetsu://net.wrightflyer.shoumetsu/?serial_campaign_master_id=127&serial_code=Y5NG3AMKAX4L3SM4
collabo_send_url_24	itms-apps://itunes.apple.com/jp/app/pages/id858357080
collabo_send_url_android_24	market://details?id=net.wrightflyer.shoumetsu
collabo_send_title_25	消滅都市
collabo_send_scheme_25	shoumetsu://net.wrightflyer.shoumetsu/?serial_campaign_master_id=129&serial_code=CM5C5ZCDMR4H5U4J
collabo_send_url_25	itms-apps://itunes.apple.com/jp/app/pages/id858357080
collabo_send_url_android_25	market://details?id=net.wrightflyer.shoumetsu
collabo_send_title_26	消滅都市
collabo_send_scheme_26	shoumetsu://net.wrightflyer.shoumetsu/?serial_campaign_master_id=130&serial_code=QZX2M8W8XRGKUZZT
collabo_send_url_26	itms-apps://itunes.apple.com/jp/app/pages/id858357080
collabo_send_url_android_26	market://details?id=net.wrightflyer.shoumetsu
collabo_send_title_27	消滅都市
collabo_send_scheme_27	shoumetsu://net.wrightflyer.shoumetsu/?serial_campaign_master_id=128&serial_code=8LSHYKTYN4VJA9AX
collabo_send_url_27	itms-apps://itunes.apple.com/jp/app/pages/id858357080
collabo_send_url_android_27	market://details?id=net.wrightflyer.shoumetsu
collabo_send_title_7	モンハン 大狩猟クエスト
collabo_send_scheme_7	mhhq://ponos/collabo1fife
collabo_send_url_7	http://click.adzcore.com/1.0.cf40fbf90b2d73f00b5bbbc6a4bacfa1c
collabo_send_url_android_7	http://click.adzcore.com/1.0.714b024ed3e6eb1ee5f5b4d6654aab66c
collabo_send_title_8	モンハン 大狩猟クエスト
collabo_send_scheme_8	mhhq://ponos/collabo2fidd
collabo_send_url_8	http://click.adzcore.com/1.0.cf40fbf90b2d73f00b5bbbc6a4bacfa1c
collabo_send_url_android_8	http://click.adzcore.com/1.0.714b024ed3e6eb1ee5f5b4d6654aab66c
collabo_send_title_9	モンハン 大狩猟クエスト
collabo_send_scheme_9	mhhq://ponos/collabo3prac
collabo_send_url_9	http://click.adzcore.com/1.0.cf40fbf90b2d73f00b5bbbc6a4bacfa1c
collabo_send_url_android_9	http://click.adzcore.com/1.0.714b024ed3e6eb1ee5f5b4d6654aab66c
collabo_send_title_21	ゆる～いゲゲゲの鬼太郎
collabo_send_scheme_21	ponos-yurukitagame://collabo-reward/PEwiJWVVMnYL6fCQ
collabo_send_url_21	https://app.adjust.com/3rhgew8
collabo_send_url_android_21	https://app.adjust.com/3rhgew8
collabo_send_title_22	ゆる～いゲゲゲの鬼太郎
collabo_send_scheme_22	ponos-yurukitagame://collabo-reward/5Vek2SdNkpB94ebH
collabo_send_url_22	https://app.adjust.com/3rhgew8
collabo_send_url_android_22	https://app.adjust.com/3rhgew8
scheme_item_param_3	/girlsmons_charaget.html
scheme_popup_3	<flash>EXキャラクター「%@」ゲット！</flash>
scheme_popup_3_option	<flash>EXキャラクター「%@」ゲット！</flash><br>パワーアップ画面から取得可能です
scheme_popup_3_option_get	特典を受け取り済みです<br>パワーアップ画面をご確認ください
scheme_item_param_47	nekohopper_1
scheme_popup_47	GO!GO!ネコホッピング<br>コラボミッション達成報酬１<br><flash>%@%@個ゲット！</flash>
scheme_item_param_48	nekohopper_2
scheme_popup_48	GO!GO!ネコホッピング<br>コラボミッション達成報酬２<br><flash>%@%@個ゲット！</flash>
scheme_item_param_49	nekohopper_3
scheme_popup_49	GO!GO!ネコホッピング<br>コラボミッション達成報酬３<br><flash>%@%@個ゲット！</flash>
scheme_item_param_50	nekohopper_4
scheme_popup_50	GO!GO!ネコホッピング<br>コラボミッション達成報酬４<br><flash>%@%@個ゲット！</flash>
scheme_item_param_51	nekohopper_5
scheme_popup_51	GO!GO!ネコホッピング<br>コラボミッション達成報酬５<br><flash>%@%@個ゲット！</flash>
scheme_item_param_65	odorobo1
scheme_popup_65	<flash>EXキャラクター「%@」ゲット！</flash><br>パワーアップ画面から取得可能です
scheme_item_param_70	nyankoTV/1/x673shf4
scheme_popup_70	にゃんこTVチャンネル登録者数<br>55,555人突破記念！<flash><br>%@%@枚ゲット！</flash>
scheme_item_param_76	nyankoTV/2/u9g3pzxe
scheme_popup_76	にゃんこTVチャンネル登録者数15万人突破記念！<br><flash>EXキャラクター「%@」ゲット！</flash><br>パワーアップ画面から取得可能です
scheme_item_param_84	newjapan_1
scheme_popup_84	にゃんこ大戦争8周年記念報酬！<br><flash>%@%@枚ゲット！</flash>
scheme_item_param_87	nyanko9_jp1
scheme_popup_87	にゃんこクエスト<br>コラボミッション達成報酬１<br><flash>%@%@個ゲット！</flash>
scheme_item_param_88	nyanko9_jp2
scheme_popup_88	にゃんこクエスト<br>コラボミッション達成報酬２<br><flash>%@%@個ゲット！</flash>
scheme_item_param_89	nyanko9_jp3
scheme_popup_89	にゃんこクエスト<br>コラボミッション達成報酬３<br><flash>%@%@個ゲット！</flash>
scheme_item_param_90	nyanko9_jp4
scheme_popup_90	にゃんこクエスト<br>コラボミッション達成報酬４<br><flash>%@%@個ゲット！</flash>
scheme_item_param_91	nyanko9_jp5
scheme_popup_91	にゃんこクエスト<br>コラボミッション達成報酬５<br><flash>%@%@個ゲット！</flash>
scheme_popup_browser	イベント報酬ゲット！<br>ネコ基地で受け取り確認することができます
scheme_popup_browser_get	イベント特典を受け取り済みです
rarity_name_1	基本キャラ
rarity_name_2	EX
rarity_name_3	レア
rarity_name_4	激レア
rarity_name_5	超激レア
rarity_name_6	伝説レア
unlock_popup_message_0	<flash>お宝が解放！！</flash><br>各地に眠るお宝を集めて<br>強力な特殊効果を発動させるのだ！<br>メニュー内のお宝リストから確認できるぞ！
unlock_popup_message_1	<flash>パワーアップ画面が登場</flash><br>メインメニューから<br>選べるようになりました！<br>戦闘に出陣できるようになります
unlock_popup_message_2	<flash>敵キャラ図鑑が解放されました！</flash><br>今までの出現した敵キャラの<br>プロフィールを見ることができます
unlock_popup_message_3	<flash>「アイテムショップ」が解放されました！</flash><br>ステージクリアに役立つ<br>さまざまなアイテムを<br>購入することができます
unlock_popup_message_4	<flash>にゃんこ図鑑が解放されました！</flash><br>取得したにゃんこたちの<br>プロフィールを見ることができます
unlock_popup_message_5	<flash>ガマトト探検隊が解放されました！</flash><br>ガマトトを探検させると<br>いろんなアイテムを取得することができます
unlock_popup_message_6	<flash>「アイテムショップ」に新商品が追加！</flash><br>ガマトト探検隊で役立つアイテムを<br>購入することができます
unlock_popup_message_7	<flash>レベル上限解放！</flash><br>キャッツアイを使って、さらにキャラクターの<br>レベル上限を解放することができます<br>レベル30に到達後、使用できます
unlock_popup_message_8	<flash>イベントステージが解放！</flash><br>タイトル画面から移動できます
unlock_popup_message_9	<flash>日本編に新たな章が出現</flash><br>タイトル画面の日本編を選択すれば<br>新しい章に挑戦できます！
unlock_popup_message_10	<flash>日本編に新たな章が出現</flash><br>タイトル画面の日本編を選択すれば<br>新しい章に挑戦できます！
unlock_popup_message_11	<flash>チャレンジモード解放！</flash><br>メインメニューからチャレンジできます<br>また、クラスチェンジ前の姿に切替可能な<br>「切替ボタン」が追加されました！
unlock_popup_message_12	<flash>ガチャが解放！</flash><br>ネコ基地にガチャが出現しました
unlock_popup_message_13	<flash>新キャラメッセージ</flash>
unlock_popup_message_14	<flash>クリアボーナス！</flash><br>EXキャラクター「マメマメにゃんこ」ゲット！<br>パワーアップ画面から無料で取得可能です。
unlock_popup_message_15	<flash>全クリアボーナス！</flash><br>EXキャラクター「もねこ」ゲット！<br>パワーアップ画面から無料で取得可能です。
unlock_popup_message_16	<flash>タイトル画面に「レジェンドストーリー」が出現！</flash><br>不定期に開催されるイベントステージも<br>「レジェンドストーリー」から挑戦できます
unlock_popup_message_17	<flash>未来編が出現！</flash><br>タイトル画面の未来編を選択すれば<br>新しいステージに挑戦できます！
unlock_popup_message_18	<flash>「全キャラ」表示が追加されました！</flash><br>取得済みキャラクターを一覧表示できます<br>パワーアップ画面などで選択可能です
unlock_popup_message_19	<flash>キャラクター編成が登場しました！</flash><br>編成画面でキャラを選択することで<br>戦闘に出陣できるようになります
unlock_popup_message_20	<flash>出陣スロットの数が追加！</flash><br>キャラクター編成画面で編成を<br>３つまで保存可能になりました！
unlock_popup_message_21	<flash>ユーザーランクが解放されました！</flash><br>目標ランクに達すると報酬ゲット！<br>パワーアップ数の総合計がランク数になります
unlock_popup_message_22	<flash>「にゃんコンボ」が解放されました！</flash><br>キャラクターを組み合せてコンボスキル発動！<br>編成画面のにゃんコンボ図鑑で確認できます
unlock_popup_message_23	<flash>ネコ道場が解放されました！！</flash><br>タイトル画面のネコ道場を選択して<br>腕試ししてみよう！
unlock_popup_message_24	<flash>全クリアボーナス！</flash><br>にゃんコンボの新たな力をゲット！<br>キャラクター編成画面のにゃんコンボ図鑑で<br>確認可能です
unlock_popup_message_25	<flash>未来編に新たな章が出現！</flash><br>タイトル画面の未来編を選択すれば<br>新しい章に挑戦できます！
unlock_popup_message_26	<flash>未来編に新たな章が出現！</flash><br>タイトル画面の未来編を選択すれば<br>新しい章に挑戦できます！
unlock_popup_message_27	<flash>全クリアボーナス！</flash><br>EXキャラクター<br>「ネコヴァルキリー」第3形態ゲット！<br>合計レベル20以上で進化可能です
unlock_popup_message_28	<flash>全クリアボーナス！</flash><br>にゃんコンボの新たな力をゲット！<br>キャラクター編成画面のにゃんコンボ図鑑で<br>確認可能です
unlock_popup_message_29	<flash>全クリアボーナス！</flash><br>EXキャラクター<br>「ネコムート」第3形態ゲット！<br>合計レベル20以上で進化可能です
unlock_popup_message_30	<flash>全クリアボーナス！</flash><br>にゃんコンボの新たな力をゲット！<br>キャラクター編成画面のにゃんコンボ図鑑で<br>確認可能です
unlock_popup_message_31	<flash>マタタビ貯蔵庫が解放！</flash><br>進化に必要なマタタビを貯めることが可能！<br>ネコ基地の貯蔵庫から使用できます
unlock_popup_message_32	<flash>録画機能を使えるようになりました！！</flash><br>タイトル画面の「オプション」で自動録画を<br>ＯＮにすると戦闘開始時に自動録画スタート！<br>戦闘終了すると自動で録画が停止されます
unlock_popup_message_33	<flash>共有動画を観にいけるようになりました！！</flash><br>タイトルオプション、ネコ基地のメニューから<br>確認することができます
unlock_popup_message_34	<flash>レベル上限解放！</flash><br>レベルの上限が解放され<br>さらなるパワーアップが可能になりました！
unlock_popup_message_35	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_36	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_37	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_38	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_39	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_40	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_41	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_42	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_43	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_44	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_45	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_46	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_47	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_48	<flash>新たなキャラクターが出現しました！</flash><br>パワーアップ画面から取得可能です
unlock_popup_message_49	<flash>全クリアボーナス！</flash><br>EXキャラクター「%@」ゲット！<br>パワーアップ画面から取得可能です
unlock_popup_message_50	<flash>全クリアボーナス！</flash><br>EXキャラクター「%@」ゲット！<br>パワーアップ画面から取得可能です
unlock_popup_message_51	<flash>クリアボーナス！</flash><br>EXキャラクター「%@」ゲット！<br>パワーアップ画面から取得可能です
unlock_popup_message_52	<flash>クリアボーナス！</flash><br>EXキャラクター「%@」ゲット！<br>パワーアップ画面から取得可能です
unlock_popup_message_53	<flash>全クリアボーナス！</flash><br>EXキャラクター<br>「%@」第3形態ゲット！<br>合計レベル20以上で進化可能です
unlock_popup_message_54	<flash>全クリアボーナス！</flash><br>EXキャラクター<br>「%@」第3形態ゲット！<br>合計レベル20以上で進化可能です
unlock_popup_message_55	<flash>「オトート開発隊」が解放されました！</flash><br>にゃんこ城の見た目やにゃんこ砲の性能<br>を変えることができます<br>ガマトトから確認可能です
unlock_popup_message_56	<flash>にゃんこミッションが解放されました！</flash><br>様々な課題を達成することで<br>報酬を獲得できます
unlock_popup_message_57	<flash>宇宙編が出現！</flash><br>タイトル画面の宇宙編を選択すれば<br>新しいステージに挑戦できます！
unlock_popup_message_58	<flash>全クリアボーナス！</flash><br>神さまのごほうびをゲット！<br>日本編・未来編・宇宙編で神さまのチカラを<br>お得に利用することが可能です
unlock_popup_message_59	<flash>宇宙編クリアおめでとう！</flash><br>次の章も追加予定なので<br>アップデートを待って下さいにゃ！
unlock_popup_message_60	<flash>全クリアボーナス！</flash><br>EXキャラクター「ウルフとウルルン」<br>第3形態の解放！Lv30到達後、<br>必要数のXP、マタタビ使用で進化可能です
unlock_popup_message_61	<flash>全クリアボーナス！</flash><br>EXキャラクター「コニャンダム」<br>第3形態の解放！Lv30到達後、<br>必要数のXP、マタタビ使用で進化可能です
unlock_popup_message_62	<flash>全クリアボーナス！</flash><br>EXキャラクター「ネコずきんミーニャ」<br>第3形態の解放！Lv30到達後、<br>必要数のXP、マタタビ使用で進化可能です
unlock_popup_message_63	<flash>全クリアボーナス！</flash><br>EXキャラクター「宮木武蔵」<br>第3形態の解放！Lv30到達後、<br>必要数のXP、マタタビ使用で進化可能です
unlock_popup_message_64	<flash>「レジェンドストーリー」に真レジェンドストーリーが出現！</flash><br>「レジェンドストーリー」から挑戦できます
unlock_popup_message_65	<flash>レベル上限解放！</flash><br>キャッツアイを使って、さらにキャラクターの<br>レベル上限を解放することができます<br>※ユーザランク1600に到達している必要があります
unlock_popup_message_66	<flash>クリアボーナス！</flash><br>EXキャラクター「ぶんぶんネコライダー」<br>第3形態の解放！Lv30到達後、<br>必要数のXP、マタタビ使用で進化可能です
unlock_popup_message_67	<flash>クリアボーナス！</flash><br>ネコビタンステージが解放されました！<br>ネコビタンを消費してゲリラステージなどに挑戦する事が可能です
unlock_popup_message_68	<flash>宇宙編に新たな章が出現！</flash><br>タイトル画面の宇宙編を選択すれば<br>新しい章に挑戦できます！
unlock_popup_message_69	<flash>宇宙編2章クリアおめでとう！</flash><br>次の章も追加予定なので<br>アップデートを待って下さいにゃ！
unlock_popup_message_70	<flash>全クリアボーナス！</flash><br>EXキャラクター「%@」ゲット！<br>パワーアップ画面から取得可能です
unlock_popup_message_71	<flash>「本能」が解放されました！</flash><br>パワーアップ画面から<br>第3形態以上へ進化した一部のキャラクターの能力を<br>解放/強化することができます
unlock_popup_message_72	<flash>「にゃんこクラブ」が解放されました！</flash><br>ネコ基地のメニューから<br>確認することができます
unlock_popup_message_73	<flash>宇宙編に新たな章が出現！</flash><br>タイトル画面の宇宙編を選択すれば<br>新しい章に挑戦できます！
unlock_popup_message_74	<flash>全クリアボーナス！</flash><br>アイテム「%@+%d」<br>ゲット！！
unlock_popup_message_75	<flash>ステージ選択画面に戻る機能が解放されました！</flash><br>ステージクリア後に<br>ステージ選択画面へ戻ることができます
unlock_popup_message_76	<flash>「にゃんこメダル」が解放されました！</flash><br>ネコ基地のメニューから<br>確認することができます
Castle_Tutorial00	<flash>オトート開発隊へ入隊おめでとう！</flash><br>ここではにゃんこ城の見た目や性能を<br>拡張開発できるぞ！
Castle_Tutorial01	にゃんこ城の開発隊長オトートをタップして<br>開発の設計図を選択しよう！
Castle_Tutorial02	装備変更をタップして<br>にゃんこ城を着せ替えてみよう！
Castle_part00	土台
Castle_part01	装飾
Castle_part02	主砲
Castle_dev_finish00	<flash>にゃんこ城の強化が完了しました！</flash><br>LEVEL ${level1} → <color=255,255,0>${level2}</color>
Castle_dev_finish01	<flash>${recipeName}の${partsName}開発が完了しました！</flash>
Castle_dev_finish02	<flash>${recipeName}の${partsName}強化が完了しました！</flash><br>LEVEL ${level1} → <color=255,255,0>${level2}</color>
Castle_dev_finish03	<flash>${recipeName}の${partsName}改造が完了しました！</flash>
Castle_dev_finish04	<flash>素材合成が完了しました！</flash><br> ${itemName}　${value1} → <color=255,255,0>${value2}</color>
Castle_lock00	にゃんこ城開発をするためには<br>にゃんこ砲攻撃力・にゃんこ砲射程・にゃんこ砲チャージ<br>をレベル10にしておく必要があります
Castle_lock01	このパーツを開発するには<br>%@<br>を達成する必要があります
Castle_lock02	このパーツを開発するには<br>%@の主砲を開発しておく必要があります
Castle_lock03	必要素材が不足しています<br>※レジェンドストーリーのステージからたまに入手できます
Castle_lock03a	開発に必要な助手が不足しています<br>※ガマトト探検エリアで発見することがあります
Castle_lock04	レベル上限に達しています！<br>このバージョンでは<br>これ以上強化することはできません
Castle_lock05	このパーツを強化するには<br>%@<br>を達成する必要があります
Castle_lock06	必要素材が不足しています<br>※素材合成で異次元の素材を入手できます
Castle_researcher	オトート開発隊の助手として採用しました<br>一度だけ開発の手助けをしてくれます
Castle_dev_suspend	作業を中断しますか？<br>※中断しても助手と素材は戻って来ません
Castle_researcher_name00	助手 その%d
Castle_researcher_name01	助手
Castle_researcher_counter	助手数
Castle_researcher_desc	にゃんこ城開発を手助けしてくれる助手<br>※開発が終わると実家に帰ってしまう
Castle_dev_start00	にゃんこ城強化を開始します
Castle_dev_start01	${recipeName}の${partsName}開発を開始します
Castle_dev_start02	${recipeName}の${partsName}強化を開始します
Castle_dev_start03	${recipeName}の${partsName}改造を開始します
Castle_dev_start04	素材合成を開始します
Castle_material_drop00	<flash>素材ドロップ！</flash><br>
Castle_material_drop01	×
Castle_researcher_get	%@を発見しました！
