item_pack_name_0	Offerta: Pack Friskat!
collabo_send_url_8	
collabo_send_url_android_8	
collabo_send_title_9	
collabo_send_scheme_9	
collabo_send_url_9	
collabo_send_url_android_9	
collabo_send_title_10	
collabo_send_scheme_10	
collabo_send_url_10	
collabo_send_url_android_10	
collabo_send_title_11	
collabo_send_scheme_11	
collabo_send_url_11	
collabo_send_url_android_11	
collabo_send_title_12	Crash Fever
collabo_send_scheme_12	com.wonderplanet.crashfever://Nyanko?code=001
collabo_send_url_12	https://itunes.apple.com/us/app/crash-fever/id1146722894?ls=1&mt=8
collabo_send_url_android_12	https://play.google.com/store/apps/details?id=com.wonderplanet.CrashFever
collabo_send_title_13	Crash Fever
collabo_send_scheme_13	com.wonderplanet.crashfever://Nyanko?code=002
collabo_send_url_13	https://itunes.apple.com/us/app/crash-fever/id1146722894?ls=1&mt=8
collabo_send_url_android_13	https://play.google.com/store/apps/details?id=com.wonderplanet.CrashFever
collabo_send_title_21	
collabo_send_scheme_21	
collabo_send_url_21	
collabo_send_url_android_21	
collabo_send_title_22	
collabo_send_scheme_22	
collabo_send_url_22	
collabo_send_url_android_22	
scheme_item_param_3	
scheme_popup_3	<flash>Hai ottenuto un Gatto speciale: "%@"!</flash>
scheme_popup_3_option	<flash>Hai ottenuto un Gatto speciale: "%@"!</flash><br>Prendilo nel menu Potenzia!
scheme_popup_3_option_get	Ricompensa ottenuta con successo!<br>Guarda nel menu Potenzia!
scheme_item_param_47	nekohopper_en1
scheme_popup_47	Forza Gatto pogo<br>Ricompensa della missione collaborazione 1<br><flash>%@%@！</flash>
scheme_item_param_48	nekohopper_en2
scheme_popup_48	Forza Gatto pogo<br>Ricompensa della missione collaborazione 2<br><flash>%@%@！</flash>
scheme_item_param_49	nekohopper_en3
scheme_popup_49	Forza Gatto pogo<br>Ricompensa della missione collaborazione 3<br><flash>%@%@！</flash>
scheme_item_param_50	nekohopper_en4
scheme_popup_50	Forza Gatto pogo<br>Ricompensa della missione collaborazione 4<br><flash>%@%@！</flash>
scheme_item_param_51	nekohopper_en5
scheme_popup_51	Forza Gatto pogo<br>Ricompensa della missione collaborazione 5<br><flash>%@%@！</flash>
scheme_popup_browser	Goditi queste ricompense evento!<br>Ricevi i regali alla Base felina!
scheme_popup_browser_get	Ricompense evento ricevute con successo!
rarity_name_1	Normale
rarity_name_2	Speciale
rarity_name_3	Raro
rarity_name_4	Super raro
rarity_name_5	Ultra raro
rarity_name_6	Leggendario
unlock_popup_message_0	<flash>Il menu Tesoro è stato sbloccato!</flash><br>Ottieni tesori felini per attivare<br>i bonus tesoro felino!<br>Controlla i bonus dal menu Tesoro!
unlock_popup_message_1	<flash>La schermata Potenzia è stata sbloccata!</flash><br>Tocca "Potenzia" alla Base felina per vederla!<br><br>Sblocca unità Gatto e potenziale prima della battaglia!
unlock_popup_message_2	<flash>La Guida ai nemici è stata sbloccata!</flash><br>Ora puoi sapere tutto sui nemici<br>che incontri.
unlock_popup_message_3	<flash>Il negozio di oggetti ha aperto i battenti!</flash><br>Puoi comprare molti<br>oggetti utili da usare in battaglia!<br>
unlock_popup_message_4	<flash>Hai sbloccato il Cercatore di Gatti!</flash><br> Filtra e ispeziona tutti i <br>Gatti che hai preso!
unlock_popup_message_5	<flash>GAMATOTO è stato sbloccato!</flash><br>Organizza Spedizioni<br>in cerca di varie ricompense!
unlock_popup_message_6	<flash>Nuovi oggetti aggiunti al negozio!</flash><br>Compra Vitamiao per ridurre la durata<br>della Spedizione di GAMATOTO!
unlock_popup_message_7	<flash>Aumenta il tuo livello max!</flash><br>Usa un Occhio di gatto su certi Gatti<br>per sbloccare i loro livelli superiori!<br>Puoi usarli su Gatti di livello 30!
unlock_popup_message_8	<flash>È uscito un nuovo livello evento!</flash><br>Puoi accedervi dalla schermata del titolo
unlock_popup_message_9	<flash>C'è un nuovo capitolo di "Impero dei Gatti"!</flash><br>Seleziona "Impero dei Gatti" nel menu del titolo"<br>per affrontare nuovi e impegnativi livelli!
unlock_popup_message_10	<flash>C'è un nuovo capitolo di "Impero dei Gatti"!</flash><br>Seleziona "Impero dei Gatti" nel menu del titolo"<br>per affrontare nuovi e impegnativi livelli!
unlock_popup_message_11	<flash>Battaglia sfida sbloccata!</flash><br>Puoi accedervi dal menu principale.<br>Puoi passare da una classe all'altra<br>con il pulsante Cambia classe!
unlock_popup_message_12	<flash>Il distributore di Miaocapsule è stato sbloccato!</flash><br>Puoi accedervi dalla Base felina.
unlock_popup_message_13	<flash>新キャラメッセージ</flash>
unlock_popup_message_14	<flash>Bonus superato!</flash><br> Gatto speciale [Gatti in baccello] sbloccato!<br>Attivalo nel menu Potenzia.
unlock_popup_message_15	<flash>Bonus piazza pulita!</flash><br>Hai ricevuto "Moneko"!<br>Attivalo nel menu Potenzia.
unlock_popup_message_16	<flash>Le Saghe leggendarie sono state sbloccate!</flash><br>Puoi accedere ai livelli evento normali anche<br>dalle Saghe leggendarie!
unlock_popup_message_17	<flash>È apparsa una nuova avventura!</flash><br>Seleziona "Verso il futuro" dalla schermata del titolo<br>per affrontare questa nuova sfida!
unlock_popup_message_18	<flash>Tutti i filtri attivati!</flash><br>Puoi vedere tutte le capsule nella Rimessa.<br>Accedi al menu Potenzia e dai un'occhiata!
unlock_popup_message_19	<flash>Il menu Organizza è stato sbloccato!</flash><br> Ora puoi organizzare i Gatti che vuoi<br>portare in battaglia.
unlock_popup_message_20	<flash>Formazioni da battaglia aumentate!</flash><br>Ora puoi preparare fino a tre formazioni<br>accedendo alla schermata Equipaggia.
unlock_popup_message_21	<flash>Grado giocatore sbloccato!</flash><br>Raggiungi il Grado indicato per ottenere ricompense!<br>Il Grado è determinato dal punteggio totale di potenziamento.
unlock_popup_message_22	<flash>Combo felina sbloccata!</flash><br>Organizza le tue unità per sbloccare un super bonus!<br>Consulta il menu Lista combo per maggiori informazioni!
unlock_popup_message_23	<flash>Il Dojo miciodiale ha aperto i battenti!</flash><br>Seleziona l'opzione Dojo miciodiale nel menu<br>del titolo per mettere alla prova le abilità dei tuoi Gatti!
unlock_popup_message_24	<flash>Bonus piazza pulita!</flash><br>Una nuova combo felina è stata sbloccata!<br>Consulta il menu Lista combo per maggiori<br>informazioni sulla tua nuova abilità.
unlock_popup_message_25	<flash>È arrivato un nuovo capitolo della saga sul futuro!</flash><br>Seleziona "Verso il futuro" dalla schermata del titolo<br>per affrontare questa nuova sfida!
unlock_popup_message_26	<flash>È arrivato un nuovo capitolo della saga sul futuro!</flash><br>Seleziona "Verso il futuro" dalla schermata del titolo<br>per affrontare questa nuova sfida!
unlock_popup_message_27	<flash>Bonus piazza pulita!</flash><br>Personaggio speciale:<br>Hai sbloccato la Forma Reale di Gatta Valchiria!<br>Falla evolvere al livello 20 per usarla!
unlock_popup_message_28	<flash>Bonus piazza pulita!</flash><br>Una nuova combo felina è stata sbloccata!<br>Consulta il menu Lista combo per maggiori<br>informazioni sulla tua nuova abilità.
unlock_popup_message_29	<flash>Bonus piazza pulita!</flash><br>Personaggio speciale:<br>Hai sbloccato la Forma Reale di Gatto Bahamut!<br>Fallo evolvere al livello 20 per usarlo!
unlock_popup_message_30	<flash>Bonus piazza pulita!</flash><br>Una nuova combo felina è stata sbloccata!<br>Consulta il menu Lista combo per maggiori<br>informazioni sulla tua nuova abilità.
unlock_popup_message_31	<flash>Rimessa miagrumi sbloccata!</flash><br>Guarda i miagrumi e i semi<br>che hai raccolto finora!
unlock_popup_message_32	<flash>Ora puoi condividere le tue battaglie!</flash><br>Attiva Registra in automatico nel<br>menu Impostazioni toccando il pulsante ON.<br>La registrazione termina con la battaglia.
unlock_popup_message_33	<flash>Ora puoi vedere le registrazioni degli altri!</flash><br>Accedi alle Impostazioni dal menu del titolo,<br>cerca e guarda i filmati di Battle Cats.
unlock_popup_message_34	<flash>Il livello max è aumentato!</flash><br>Adesso i tuoi Gatti possono diventare<br>ancora più potenti!
unlock_popup_message_35	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_36	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_37	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_38	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_39	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_40	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_41	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_42	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_43	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_44	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_45	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_46	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_47	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_48	<flash>C'è un nuovo Gatto</flash><br>in attesa di essere potenziato!
unlock_popup_message_49	<flash>Bonus piazza pulita!</flash><br>Hai ricevuto %@!<br>Attivalo nel menu Potenzia!
unlock_popup_message_50	<flash>Bonus piazza pulita!</flash><br>Hai ricevuto %@!<br>Attivalo nel menu Potenzia!
unlock_popup_message_51	<flash>Bonus piazza pulita!</flash><br>Hai ricevuto 「%@」!<br>Attivalo nel menu Potenzia!
unlock_popup_message_52	<flash>Bonus piazza pulita!</flash><br>Hai ricevuto 「%@」!<br>Attivalo nel menu Potenzia!
unlock_popup_message_53	<flash>Bonus piazza pulita!</flash><br>Unità speciale:<br>%@ - Forma Reale ottenuta!<br>Evolvi dopo aver raggiunto il livello 20!
unlock_popup_message_54	<flash>Bonus piazza pulita!</flash><br>Unità speciale:<br>%@ - Forma Reale ottenuta!<br>Evolvi dopo aver raggiunto il livello 20!
unlock_popup_message_55	<flash>Il Team di Ototo è stato sbloccato!</flash><br>Costruisci e migliora la tua Base felina<br>e le abilità del suo cannone felino!<br>Scopri come nel menu di Gamatoto!
unlock_popup_message_56	<flash>Sfide Erba gatta disponibili!</flash><br>Completa varie missioni per<br>ricevere fantastiche ricompense!
unlock_popup_message_57	<flash>"Gatti del Cosmo" disponibile!</flash><br>Seleziona questo capitolo dal menu del titolo<br>e prova nuove, strane avventure!
unlock_popup_message_58	<flash>Bonus completamento!</flash><br>Hai ricevuto la benedizione del Gatto divino!<br>Tocca il Gatto divino per usare uno speciale miracolo<br>in qualsiasi battaglia della modalità Storia!
unlock_popup_message_59	<flash>Gatti del Cosmo COMPLETATO!</flash><br>Apparirà presto un nuovo capitolo,<br>quindi occhi aperti per nuovi aggiornamenti!
unlock_popup_message_60	<flash>Bonus completo superato!</flash><br>Sbloccata la Forma Reale di "Lupo Ururun"!<br>Potenzia al livello 30 e<br>usa XP/Miagrumi per attivarla!
unlock_popup_message_61	<flash>Bonus completo superato!</flash><br>Sbloccata la Forma Reale di "Mini Nyandam"!<br>Potenzia al livello 30 e<br>usa XP/Miagrumi per attivarla!
unlock_popup_message_62	<flash>Bonus completo superato!</flash><br>Sbloccata la Forma Reale di "Cappuccetto Mina"!<br>Potenzia al livello 30 e<br>usa XP/Miagrumi per attivarla!
unlock_popup_message_63	<flash>Bonus completo superato!</flash><br>Sbloccata la Forma Reale di "Miyamoku Musashi"!<br>Potenzia al livello 30 e<br>usa XP/Miagrumi per attivarla!
unlock_popup_message_64	<flash>Le Leggende misteriose ora appaiono dopo le Saghe leggendarie!</flash><br>Ora disponibili nei livelli leggendari!
unlock_popup_message_65	<flash>Aumenta il livello massimo!</flash><br>I Gatti possono raggiungere livelli più alti<br>prima di quello MAX usando Occhio di gatto!<br>(Richiesto grado giocatore 1600 per usare Occhio di gatto)
unlock_popup_message_66	<flash>Bonus superato!</flash><br>Sbloccata la Forma Reale di "Mech-Bum"!<br>Potenzia al livello 30 e<br>usa XP/Miagrumi per attivarla!
unlock_popup_message_67	<flash>Bonus superato!</flash><br>Livelli vitamiao sbloccati!<br>Usa Vitamiao rimanenti per affrontare questi livelli!
unlock_popup_message_68	<flash>Un nuovo capitolo di "Gatti del Cosmo" è disponibile!</flash><br>Seleziona "Gatti del Cosmo" dalla schermata del titolo<br>per continuare la storia di The Battle Cats!
unlock_popup_message_69	<flash> Capitolo 2 di Cosmo COMPLETATO!</flash><br>Apparirà presto un nuovo capitolo,<br>quindi occhi aperti per nuovi aggiornamenti!
unlock_popup_message_70	<flash>Bonus piazza pulita!</flash><br>Hai ricevuto il Gatto speciale "%@"!<br>Attivalo nel menu Potenzia.
unlock_popup_message_71	<flash>I Talenti sono sbloccati!</flash><br>Visita il menu Potenzia per scoprire<br>e potenziare le abilità per le unità con Forma Reale (o superiori)!
unlock_popup_message_72	<flash>Il Club Ufficiali è stato sbloccato!</flash><br>Seleziona l'icona alla Base felina <br>per vederlo!
unlock_popup_message_73	<flash>NUOVO capitolo di Gatti del Cosmo!</flash><br>Tocca su "Gatti del Cosmo" nel menu del titolo<br>per affrontare questa sfida!
unlock_popup_message_74	<flash>Bonus piazza pulita!</flash><br>Hai ricevuto<br>%d%@!
unlock_popup_message_75	<flash>Navigazione tra i livelli migliorata!</flash><br>Ora puoi tornare direttamente al <br>menu Selezione livello quando superi un livello!
unlock_popup_message_76	<flash>Miaodaglie sbloccate!</flash><br>Vai a vedere nel menu<br>Base felina!
Castle_Tutorial00	<flash>Un benvenuto nel Team di Ototo!</flash><br>Cambia l'aspetto della tua Base felina<br>e migliorane le abilità in battaglia!
Castle_Tutorial01	Tocca l'ingegnere capo per iniziare!<br>Seleziona un progetto e inizia a costruire!
Castle_Tutorial02	Tocca "Cambia" e seleziona un nuovo<br>stile per la Base felina!
Castle_part00	Fondazione
Castle_part01	Stile
Castle_part02	Effetto
Castle_dev_finish00	<flash>Potenziamento Base feline completato!</flash><br>Livello ${level1} → <color=255,255,0>${level2}</color>
Castle_dev_finish01	<flash>${recipeName} ${partsName} completato!</flash>
Castle_dev_finish02	<flash>Miglioria ${partsName} di ${recipeName} completata!</flash><br>Livello ${level1} → <color=255,255,0>${level2}</color>
Castle_lock00	Per potenziare la Base felina,<br>Potenza cannone ・ Portata cannone ・ Ricarica cannone<br>devono essere potenziati al livello 10.
Castle_lock01	Questo potenziamento richiede<br>%@<br>prima di poter essere costruito.
Castle_lock02	Per costruire questo potenziamento devi prima costruire<br>%@.
Castle_lock03	Materiali insufficienti... <br>* Raccogli materiali dalle Saghe leggendarie.
Castle_lock03a	Ingegneri insufficienti.<br>*Recluta ingegneri dalle Spedizioni di Gamatoto.
Castle_lock04	Livello massimo raggiunto!<br>Nella versione attuale del gioco<br>non sono possibili altri potenziamenti.
Castle_lock05	Devi superare<br>%@<br>per rafforzare ulteriormente questa parte.
Castle_researcher	Reclutato nel Team di ingegneri di Ototo.<br>Può essere usato solo per un progetto.
Castle_dev_suspend	Eliminare questo progetto?<br>Non potrai recuperare ingegneri/materiali!
Castle_researcher_name00	Ingegnere #%d
Castle_researcher_name01	Ingegnere
Castle_researcher_counter	Ingegneri attuali: 
Castle_researcher_desc	Assistenti dell'ingegnere capo della Base felina.<br>*Se ne va dopo l'eliminazione del progetto.
Castle_dev_start00	La miglioria della base comincia.
Castle_dev_start01	Inizia a costruire ${recipeName} di ${partsName}.
Castle_dev_start02	Inizia ad aumentare ${recipeName} di ${partsName}.
Castle_material_drop00	<flash>Materiali trovati!</flash><br>
Castle_material_drop01	 ×
Castle_researcher_get	Ho trovato: %@!
Castle_UnlockDataId_1	Grado 600 e Raggio rallentatore completato
Castle_UnlockDataId_2	Grado 900 e Muro di ferro completato
Castle_UnlockDataId_3	Grado 900 e Fulmini e saette completato
Castle_UnlockDataId_4	Liv. 30 tot. per potenza attacco cannone felino<br>Liv. 30 tot. per ricarica cannone felino
Castle_UnlockDataId_5	Grado 900 e Bomba d'acqua completata
Castle_UnlockDataId_6	Grado 900 e Sacro scoppio completato
Castle_UnlockDataId_7	Grado 900 e<br>Sfondabarriere completato
local_notification_custom	Ototo ha finito e sta tornando!
Castle_AutoChange	<flash>Modificate tutte le parti!</flash>
Castle_shoter00	Usare %@?,La durata del progetto verrà ridotta di %d ore.
Castle_shoter01	Durata del progetto ridotta di , ore!
castle_connection_failed	Impossibile confermare durata rimanente del progetto. Verifica la connessione!
castle_fraud	L'orario del dispositivo sembra essere cambiato. Non effettuare ulteriori modifiche all'orologio.
beacon_event_date	開催期間: %d年%d月%d日～%d年%d月%d日まで
beacon_event_before	にゃんこビーコンのイベントは<br>現在、開催してないにゃ
beacon_event_held	にゃんこビーコン電波を<br>検索してるにゃ～
beacon_event_held2	イベント報酬を受け取ると<br>取得済マークがつくにゃ
beacon_bluetooth_off	にゃんこビーコン受信するなら<br>Bluetoothをオンにして<br>ほしいにゃ～
beacon_location_off	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_location_authorization	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_pushinfo_off	にゃんこビーコン受信するなら<br>プッシュ通知設定をオンにするにゃ
beacon_wifi_off	にゃんこビーコン受信するなら<br>Wi-Fiをオンにするにゃ
beacon_reward_before	にゃんこビーコン報酬はまだ取得していません
beacon_reward_received	にゃんこビーコン報酬は受け取り済みです
beacon_event_2017520	京都みやこめっせで記念キャラを取得しよう！<br>5/20～5/21に開催されるBitSummit2017会場の<br>にゃんこブースに訪問すれば<br>記念キャラ「ネコまねき」を取得可能！<br>※にゃんこビーコン受信設定が必要です<br>※詳細はバナーをタップ！
beacon_unsupported_device	この端末/OSバージョンには対応していません
not_enough_space_left_on_device	Download non riuscito per mancanza spazio.
