nekokan_product_id	index	nekokan_n	product_name
jp.co.ponos.battlecats.nekokan1_1	0	0	ネコカン40個
jp.co.ponos.battlecats.nekokan2_1	0	0	ネコカン85個
jp.co.ponos.battlecats.nekokan3_1	0	0	ネコカン220個
jp.co.ponos.battlecats.nekokan4_1	0	0	ネコカン340個
jp.co.ponos.battlecats.nekokan5_1	0	0	ネコカン690個
jp.co.ponos.battlecats.nekokan6_1	0	0	ネコカン1080個
jp.co.ponos.battlecats.nekokan7_1	0	0	ネコカン1860個
jp.co.ponos.battlecats.nekokan8_1	0	0	ネコカン3900個
jp.co.ponos.battlecats.nekokan_pack1_1	0	0	初心者パック1
jp.co.ponos.battlecats.nekokan_pack2_1	0	0	初心者パック2
jp.co.ponos.battlecats.nekokan_pack3_1	0	0	初心者パック3
jp.co.ponos.battlecats.rankup_sale1_1	0	0	ランクアップセール1
jp.co.ponos.battlecats.rankup_sale2_1	0	0	ランクアップセール2
jp.co.ponos.battlecats.rankup_sale3_1	0	0	ランクアップセール3
jp.co.ponos.battlecats.item_pack1_1	0	0	アイテムパック1
jp.co.ponos.battlecats.item_pack2_1	0	0	アイテムパック2
jp.co.ponos.battlecats.item_pack3_1	0	0	アイテムパック3
jp.co.ponos.battlecats.rare_ticket_1	0	0	レアチケット
jp.co.ponos.battlecats.legend_ticket_1	0	0	レジェンドチケット販売
jp.co.ponos.battlecats.kansha_set_1	0	0	感謝パック
jp.co.ponos.battlecats.daikansha_set_1	0	0	大感謝パック
jp.co.ponos.battlecats.super_set1_1	0	0	超限定セール！ネコカンパック超梅
jp.co.ponos.battlecats.super_set2_1	0	0	超限定セール！ネコカンパック超竹
jp.co.ponos.battlecats.super_set3_1	0	0	超限定セール！ネコカンパック超松
jp.co.ponos.battlecats.matatabi_set1_1	0	0	マタタビセット1
jp.co.ponos.battlecats.matatabi_set2_1	0	0	マタタビセット2
jp.co.ponos.battlecats.matatabi_set3_1	0	0	マタタビセット3
jp.co.ponos.battlecats.powerup_sale1_1	0	0	パワーアップセール！ネコカン&アイテムパック梅
jp.co.ponos.battlecats.powerup_sale2_1	0	0	パワーアップセール！ネコカン&アイテムパック竹
jp.co.ponos.battlecats.powerup_sale3_1	0	0	パワーアップセール！ネコカン&アイテムパック松
jp.co.ponos.battlecats.rankup_sale4_1	0	0	お得！ネコカンパック
jp.co.ponos.battlecats.rankup_sale5_1	0	0	超お得！経験値パック
jp.co.ponos.battlecats.rankup_sale6_1	0	0	超お得！キャッツアイ&バトルアイテムパック
jp.co.ponos.battlecats.rare_ticket2_1	0	0	キャッツアイ&レアチケットセット
jp.co.ponos.battlecats.kouryaku_set_1	0	0	攻略応援パック
