id,j,w,s,l,i,d,lr,type,j1,j2,j3,w1,w2,w3,s1,s2,s3,l,d,after,before,type,id,cate,ranking,labyrinth
72,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
73,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
74,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
76,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
77,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
78,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
90,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
88,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,300847,-1,-1,-1,-1,-1,-1
65,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,300847,-1,-1,-1,-1,-1
68,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,300847,-1,-1,-1,-1,-1,-1
67,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,300847,-1,-1,-1,-1,-1,-1
66,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,300847,-1,-1,-1,-1,-1,-1
63,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,300747,300847,-1,-1,-1,-1,-1
64,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,300747,-1,-1,-1,-1,-1,-1
62,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,300747,-1,-1,-1,-1,-1,-1
51,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,300647,300747,-1,-1,-1,-1,-1
50,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,300647,300747,-1,-1,-1,-1,-1
49,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,300647,-1,-1,-1,-1,-1
69,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,300847,-1,-1,-1,-1,-1,-1
93,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,1
94,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,2
95,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,3
96,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
97,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1
98,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
