item_pack_name_0	Packaktion: Katzenbatzenpaket!
slot_copy_select	Einheiten können aus Platz %d kopiert werden.<br>Einheiten kopieren/ersetzen?
slot_copy	Einheiten aus Platz %d kopiert.<br>Öffne den gewünschten Platz und tippe auf „Ersetzen“.<br>
slot_paste	Dieser Platz wird mit Einheiten aus Platz %d ersetzt.<br>Bist du sicher?
instant_koyashi	5 Kapseln, die du nicht mehr brauchst, können<br>gegen ein seltenes Ticket getauscht werden.<br>Kapsel(n) eintauschen?<br>(%d weitere Kapsel(n) nötig)
storage_koyashi	Alle Kapseln, die du nicht mehr brauchst,<br>werden gegen seltene Tickets eingetauscht.<br>Bist du sicher?<br>
have_koyashi	%d Kapseln können eingetauscht werden.
tutorial_favoriteUnit	Tippe auf den „☆“, um entweder nur<br>deine favorisierten Einheiten oder alle<br>gesammelten Einheiten anzuzeigen.
tutorial_favoriteUnit_pictureBook1	<color=255,255,0>Favoriten auswählen ①</color><br>Sobald du ein paar favorisierte Katzen<br>ausgewählt hast, kannst du auf „Bestätigen ☆“<br>tippen, um das Favoriten-Menü zu schließen!
tutorial_favoriteUnit_pictureBook2	<color=255,255,0>Favoriten auswählen ②</color><br>Tippe unter Verbesserungen oder<br>Teamauswahl auf „Filtern“, um NUR Katzen zu sehen,<br>die du als Favoriten markiert hast!
everyplay_not_supported	Dieses Gerät wird nicht unterstützt.
everyplay_no_related_videos	Keine entsprechenden Medien gefunden.
cat_challenge01	<flash>Willkommen im Katzenkrallendojo!</flash><br>Ein Countdown-Kampf mit endlos Feinden.<br>Schlage so viele wie möglich für den Highscore!<br>(Besiegte Feinde gewähren kein Geld.)
data_download_error_catfood_20000	Unautorisierte Datenänderung entdeckt. Diese Speicherdaten können nicht auf ein anderes Gerät übertragen werden. Kontaktiere den PONOS-Support.
cat_challenge_item	Benutze bei Kämpfen Im Katzenkrallendojo<br>so viele Gratis-Beschleuniger und<br>Katzencomputer, wie du willst!<br>*Beschleuniger werden bei Aktivierung aufgebraucht.
zombie_clear00	<flash>Ausbruch in ${stageName} eingedämmt!</flash><br>10 Katzenbatzen erhalten!
zombie_clear01	<flash>Quarantänegebiet gesichert!</flash><br>%@ Chance auf Schätze erhöht!
zombie_clear02	<flash>Alle Quarantänegebiete des Imperiums gesichert!</flash><br>Max. Energie um ${EnergyNum} erhöht!
zombie_clear03	<flash>Chance auf Schätze in bestimmten Leveln erhöht!</flash><br>Mehr erfährst du in der Schatzliste!
zombie_clear04	<flash>Alle Quarantänegebiete der Zukunft gesichert!</flash><br>Max. Energie um ${EnergyNum} erhöht!
zombie_clear05	<flash>Alle Quarantänegebiete des Kosmos gesichert!</flash><br>Max. Energie um ${EnergyNum} erhöht!
zombie_area_00	QG: Ostasien
zombie_area_01	QG: Indischer Ozean
zombie_area_02	QG: Himalayagraben
zombie_area_03	QG: Mittelmeerraum
zombie_area_04	QG: Alpen
zombie_area_05	QG: Westeuropa
zombie_area_06	QG: Nordatlantik
zombie_area_07	QG: Amerikanische Ostküste
zombie_area_08	QG: Pazifik
zombie_area_09	QG: Fairbanks
zombie_area_10	QG: Mauna Kea
receivedBoxText	Gegenstände, die nicht innerhalb von 30 Tage abgeholt werden, verfallen.
receive_version_error	Bevor du Gegenstandsbelohnungen<br>annimmst, aktualisiere die App.
receive_network_error	Verbindungsfehler<br>Gegenstände konnten nicht abgeholt werden.
receive_item_popup	%d %s
receive_item_popup_xp	%d %s
receive_item_popup_chara	Katzeneinheit: %s
receive_item_popup_chara_evolve	Wahre Form: %s
receive_item_popup_last	erhalten!
zombie_treasure	Quarantänegebiet gesichert!<br>%@ Chance auf Schätze erhöht!
zombie_treasure01	Alle Level auf dieser Seite sind vor Zombies sicher!<br>Die Chance auf Schätze ist für diese Level erhöht!
receive_list_network_error	Kann aufgrund von einem Verbindungsfehler<br>nicht angezeigt werden.
receive_item_none_popup	Du kannst derzeit keine<br>Gegenstände abholen.
serial_error_popup	Gegenstände nicht verfügbar.<br>Falls du denkst, dass ein Problem besteht,<br>wende dich an den Support.
ponos_games_url	https://ponos.s3.amazonaws.com/iphone/en/battlecats.html
zombie_comp	Quarantänegebiet gesichert!<br>%@ Chance auf Schätze erhöht!<br>Die Welt wurde vor der Zombieinvasion gerettet!<br>Max. Energie wurde erhöht!
zombie_comp01	Alle Level auf dieser Seite sind vor Zombies sicher!<br>Die Chance auf Schätze ist für diese Level erhöht!<br>Alle Gebiete sind vor Zombies sicher!<br>Katzenenergiemaximum erhöht!
zombie_comp02	Alle Level in dieser Zone gesichert!<br>Beuterate für diese Level erhöht!<br>Alle Kosmos-Quarantänegebiete verteidigt!
Space09_Invasion_stageclear_txt1	<flash>Du hast einen allmächtigen Feind besiegt!</flash><br>Spezialeinheit Filibuster-Katze X hat sich<br>deiner Katzenarmee verschworen!<br>Hol sie dir unter Verbesserungen!
maxcollab_mg	Kollab.-Einheiten sind außerhalb der Kollab.-Events nicht verfügbar.
maxcollab_popup	<flash>Du erhältst eine Sonderkatze: %@!</flash><br>Im Verbesserungenmenü aktivieren!
slot_set_error	<color=255,255,0>Du hast keine Katzeneinheiten für deine Armee ausgewählt!</color>
shop_category1	Kampfgegenstände
shop_category2	XP
shop_category3	GAMATOTO
collabo_send_message	Du kannst eine Belohnung in „%@“ verwenden!<br>„%@“-App starten?
collabo_send_title_0	
collabo_send_scheme_0	
collabo_send_url_0	
collabo_send_url_android_0	
collabo_send_title_1	
collabo_send_scheme_1	
collabo_send_url_1	
collabo_send_url_android_1	
collabo_send_title_2	
collabo_send_scheme_2	
collabo_send_url_2	
collabo_send_url_android_2	
collabo_send_title_3	
collabo_send_scheme_3	
collabo_send_url_3	
collabo_send_url_android_3	
collabo_send_title_4	
collabo_send_scheme_4	
collabo_send_url_4	
collabo_send_url_android_4	
collabo_send_title_5	
collabo_send_scheme_5	
collabo_send_url_5	
collabo_send_url_android_5	
collabo_send_title_14	
collabo_send_scheme_14	
collabo_send_url_14	
collabo_send_url_android_14	
collabo_send_title_17	
collabo_send_scheme_17	
collabo_send_url_17	
collabo_send_url_android_17	
collabo_send_url_android_27	
collabo_send_title_6	
collabo_send_scheme_6	
collabo_send_url_6	
collabo_send_url_android_6	
collabo_send_title_15	
collabo_send_scheme_15	
collabo_send_url_15	
collabo_send_url_android_15	
collabo_send_title_16	
collabo_send_scheme_16	
collabo_send_url_16	
collabo_send_url_android_16	
collabo_send_title_18	
collabo_send_scheme_18	
collabo_send_url_18	
collabo_send_url_android_18	
collabo_send_title_19	
collabo_send_scheme_19	
collabo_send_url_19	
collabo_send_url_android_19	
collabo_send_title_20	
collabo_send_scheme_20	
collabo_send_url_20	
collabo_send_url_android_20	
collabo_send_title_7	
collabo_send_scheme_7	
collabo_send_url_7	
collabo_send_url_android_7	
collabo_send_title_8	
collabo_send_scheme_8	
collabo_send_url_8	
collabo_send_url_android_8	
collabo_send_title_9	
collabo_send_scheme_9	
collabo_send_url_9	
collabo_send_url_android_9	
collabo_send_title_10	
collabo_send_scheme_10	
collabo_send_url_10	
collabo_send_url_android_10	
collabo_send_title_11	
collabo_send_scheme_11	
collabo_send_url_11	
collabo_send_url_android_11	
collabo_send_title_12	Crash Fever
collabo_send_scheme_12	com.wonderplanet.crashfever://Nyanko?code=001
collabo_send_url_12	https://itunes.apple.com/us/app/crash-fever/id1146722894?ls=1&mt=8
collabo_send_url_android_12	https://play.google.com/store/apps/details?id=com.wonderplanet.CrashFever
collabo_send_title_13	Crash Fever
collabo_send_scheme_13	com.wonderplanet.crashfever://Nyanko?code=002
collabo_send_url_13	https://itunes.apple.com/us/app/crash-fever/id1146722894?ls=1&mt=8
collabo_send_url_android_13	https://play.google.com/store/apps/details?id=com.wonderplanet.CrashFever
collabo_send_title_21	
collabo_send_scheme_21	
collabo_send_url_21	
collabo_send_url_android_21	
collabo_send_title_22	
collabo_send_scheme_22	
collabo_send_url_22	
collabo_send_url_android_22	
scheme_item_param_3	
scheme_popup_3	<flash>Du erhältst eine Sonderkatze: %@!</flash>
scheme_popup_3_option	<flash>Du erhältst eine Sonderkatze: %@!</flash><br>Unter Verbesserungen abholen!
scheme_popup_3_option_get	Belohnung erhalten!<br>Ansehen unter Verbesserungen!
scheme_item_param_47	nekohopper_en1
scheme_popup_47	Los, los! Pogo-Katze<br>Kollab.-Missionsbelohnung 1<br><flash>%@%@!</flash>
scheme_item_param_48	nekohopper_en2
scheme_popup_48	Los, los! Pogo-Katze<br>Kollab.-Missionsbelohnung 2<br><flash>%@%@!</flash>
scheme_item_param_49	nekohopper_en3
scheme_popup_49	Los, los! Pogo-Katze<br>Kollab.-Missionsbelohnung 3<br><flash>%@%@!</flash>
scheme_item_param_50	nekohopper_en4
scheme_popup_50	Los, los! Pogo-Katze<br>Kollab.-Missionsbelohnung 4<br><flash>%@%@!</flash>
scheme_item_param_51	nekohopper_en5
scheme_popup_51	Los, los! Pogo-Katze<br>Kollab.-Missionsbelohnung 5<br><flash>%@%@!</flash>
scheme_popup_browser	Viel Spaß mit den Eventbelohnungen!<br>Du erhältst deine Geschenke in der Katzenbasis!
scheme_popup_browser_get	Eventbelohnungen erhalten!
rarity_name_1	Normal
rarity_name_2	Besondere
rarity_name_3	Selten
rarity_name_4	Superselten
rarity_name_5	Megaselten
rarity_name_6	Legendär selten
unlock_popup_message_0	<flash>Das Schatz-Menü wurde freigeschaltet!</flash><br>Hol dir Katzenschätze und aktiviere<br>Katzenschatzboni!<br>Finde Boni im Schatzmenü!
unlock_popup_message_1	<flash>Verbesserungen wurden freigeschaltet!</flash><br>Tippe in der Katzenbasis auf Verbesserungen!<br><br>Schalte Katzeneinheiten vor dem Kampf frei!
unlock_popup_message_2	<flash>Die Feindefibel wurde freigeschaltet!</flash><br>Hier kannst du alles über bislang<br>aufgetauchte Gegner nachlesen.
unlock_popup_message_3	<flash>Der Gegenstände-Shop ist eröffnet!</flash><br>Du kannst hier viele nützliche<br>Gegenstände für den Kampf kaufen!<br>
unlock_popup_message_4	<flash>Du hast das Katzenkompendium freigeschaltet!</flash><br>Inspiziere und sortiere alle<br>deine Katzen!
unlock_popup_message_5	<flash>Gamatoto wurde freigeschaltet!</flash><br>Schick die Katzen auf Expeditionen und<br>sammle verschiedene Belohnungen!
unlock_popup_message_6	<flash>Neue Gegenstände im Shop!</flash><br>Kaufe Katzamin und verkürze<br>die Gamatoto-Expedition!
unlock_popup_message_7	<flash>Erhöhe deine Stufengrenze!</flash><br>Benutze ein Katzenauge, um bei bestimmten<br>Katzen höhere Stufen freizuschalten!<br>Bei Katzen der Stufe 30 einsetzbar!
unlock_popup_message_8	<flash>Ein neues Eventlevel wurde veröffentlicht!</flash><br>Öffne es vom Startbildschirm aus.
unlock_popup_message_9	<flash>Ein neues Kapitel von Katzenimperium ist verfügbar!</flash><br>Wähle Katzenimperium im Startbildschirm,<br>um neue, knifflige Level zu spielen!
unlock_popup_message_10	<flash>Ein neues Kapitel von Katzenimperium ist verfügbar!</flash><br>Wähle Katzenimperium im Startbildschirm,<br>um neue, knifflige Level zu spielen!
unlock_popup_message_11	<flash>Herausforderungskampf freigeschaltet!</flash><br>Öffne ihn vom Hauptmenü aus.<br>Du kannst jetzt mit „Klasse wechseln“<br>die Katzenklasse wechseln!
unlock_popup_message_12	<flash>Katzenkapsel-Maschine freigeschaltet!</flash><br>Du kannst von der Katzenbasis aus darauf zugreifen.
unlock_popup_message_13	<flash>新キャラメッセージ</flash>
unlock_popup_message_14	<flash>Abschlussbonus!</flash><br>Sonderkatze [Bohnenkatzen] freigeschaltet!<br>Im Verbesserungenmenü aktivieren.
unlock_popup_message_15	<flash>Abschlussbonus!</flash><br>Du erhältst „Moneko“!<br>Im Verbesserungenmenü aktivieren!
unlock_popup_message_16	<flash>Legenden wurden freigeschaltet!</flash><br>Unter Legenden können auch normale<br>Eventlevel gespielt werden!
unlock_popup_message_17	<flash>Ein neues Abenteuer ist verfügbar!</flash><br>Wähle Zukunftsreise im Startbildschirm<br>und nimm die Herausforderung an!
unlock_popup_message_18	<flash>Alle Filter aktiviert!</flash><br>Alle Kapseln befinden sich im Lager.<br>Rufe das Verbesserungenmenü auf und sieh es dir an!
unlock_popup_message_19	<flash>Das Teamauswahl-Menü ist freigeschaltet!</flash><br>Jetzt kannst du deine Katzen für den<br>Kampf besser organisieren.
unlock_popup_message_20	<flash>Kampfformationen erhöht!</flash><br>Es sind jetzt bis zu 3 Formationen in<br>der Teamauswahl verfügbar.
unlock_popup_message_21	<flash>Benutzerrang freigeschaltet!</flash><br>Erreiche den Zielrang für Belohnungen!<br>Der Rang ist abhängig von der Verbesserungen-Gesamtpunktzahl.
unlock_popup_message_22	<flash>Katzenkombo freigeschaltet!</flash><br>Arrangiere deine Einheiten zum Freischalten des Kraftbonus!<br>Weitere Informationen findest du in der Komboliste!
unlock_popup_message_23	<flash>Das Katzenkrallendojo ist geöffnet!</flash><br>Öffne das Katzenkrallendojo über den Startbildschirm<br>und zeig, was deine Katzen können!
unlock_popup_message_24	<flash>Abschlussbonus!</flash><br>Eine neue Katzenkombo wurde freigeschaltet!<br>In der Komboliste findest du mehr<br>Informationen zu deiner neuen Fertigkeit.
unlock_popup_message_25	<flash>Ein neues Kapitel der Zukunftssaga ist da!</flash><br>Wähle Zukunftsreise im Startbildschirm<br>und nimm die Herausforderung an!
unlock_popup_message_26	<flash>Ein neues Kapitel der Zukunftssaga ist da!</flash><br>Wähle Zukunftsreise im Startbildschirm<br>und nimm die Herausforderung an!
unlock_popup_message_27	<flash>Abschlussbonus!</flash><br>Sondercharakter:<br>Du hast die wahre Form der Walkürenkatze freigeschaltet!<br>Entwickle sie auf Stufe 20 und setze sie ein!
unlock_popup_message_28	<flash>Abschlussbonus!</flash><br>Eine neue Katzenkombo wurde freigeschaltet!<br>In der Komboliste findest du mehr<br>Informationen zu deiner neuen Fertigkeit.
unlock_popup_message_29	<flash>Abschlussbonus!</flash><br>Sondercharakter:<br>Du hast die wahre Form der Bahamut-Katze freigeschaltet!<br>Entwickle sie auf Stufe 20 und setze sie ein!
unlock_popup_message_30	<flash>Abschlussbonus!</flash><br>Eine neue Katzenkombo wurde freigeschaltet!<br>In der Komboliste findest du mehr<br>Informationen zu deiner neuen Fertigkeit.
unlock_popup_message_31	<flash>Katzenfrucht-Lager freigeschaltet!</flash><br>Schau dir die Katzenfrucht und Kerne<br>an, die du gesammelt hast!
unlock_popup_message_32	<flash>Du kannst nun Kämpfe aufnehmen und teilen!</flash><br>Nutze die Auto-Aufnahme für epische Kämpfe<br>in den Einstellungen durch Antippen von AN.<br>Die Aufnahme endet automatisch am Kampfende.
unlock_popup_message_33	<flash>Du kannst jetzt Videos anderer Spieler ansehen!</flash><br>Nutze Einstellungen im Startbildschirm<br>und suche nach The Battle-Cats-Medien.
unlock_popup_message_34	<flash>Das Stufenlimit wurde erhöht!</flash><br>Deine Katzen können jetzt noch<br>stärker werden!
unlock_popup_message_35	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_36	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_37	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_38	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_39	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_40	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_41	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_42	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_43	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_44	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_45	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_46	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_47	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_48	<flash>Eine neue Katze</flash><br>wartet auf Verbesserung!
unlock_popup_message_49	<flash>Abschlussbonus!</flash><br>Du erhältst „%@“!<br>Im Verbesserungenmenü freischalten!
unlock_popup_message_50	<flash>Abschlussbonus!</flash><br>Du erhältst „%@“!<br>Im Verbesserungenmenü freischalten!
unlock_popup_message_51	<flash>Abschlussbonus!</flash><br>Du erhältst „%@“!<br>Im Verbesserungenmenü freischalten!
unlock_popup_message_52	<flash>Abschlussbonus!</flash><br>Du erhältst „%@“!<br>Im Verbesserungenmenü freischalten!
unlock_popup_message_53	<flash>Abschlussbonus!</flash><br>Spezialeinheit:<br>%@: wahre Form erhalten!<br>Entwickeln auf Stufe 20!
unlock_popup_message_54	<flash>Abschlussbonus!</flash><br>Spezialeinheit:<br>%@: wahre Form erhalten!<br>Entwickeln auf Stufe 20!
unlock_popup_message_55	<flash>Der Ototo-Trupp wurde freigeschaltet!</flash><br>Baue und verbessere deine Katzenbasis<br>und ihre Katzenkanone!<br>Schau im Gamatoto-Menü vorbei!
unlock_popup_message_56	<flash>Miaufgaben sind jetzt verfügbar!</flash><br>Schließe verschiedene Missionen ab<br>und erhalte tolle Belohnungen!
unlock_popup_message_57	<flash>„Kosmische Katzen“ ist jetzt verfügbar!</flash><br>Öffne dieses Kapitel über den Startbildschirm<br>und spiele seltsame neue Abenteuer!
unlock_popup_message_58	<flash>Abschlussbonus!</flash><br>Du wurdest vom Katzengott gesegnet!<br>Tippe auf den Katzengott, um in einem Storymodus-<br>Kampf ein Wunder zu wirken!
unlock_popup_message_59	<flash>Kosmische Katzen ABGESCHLOSSEN!</flash><br>Bald kommt ein neues Kapitel.<br>Sei auf die neuen Updates gespannt!
unlock_popup_message_60	<flash>Abschlussbonus!</flash><br>Wahre Form von „Ururun-Wolf“ freigeschaltet!<br>Verbessern auf Stufe 30 und<br>mit XP/Katzenfrucht aktivieren!
unlock_popup_message_61	<flash>Abschlussbonus!</flash><br>Wahre Form von „Kleiner Nyandam“ freigeschaltet!<br>Verbessern auf Stufe 30 und<br>mit XP/Katzenfrucht aktivieren!
unlock_popup_message_62	<flash>Abschlussbonus!</flash><br>Wahre Form von „Rotkäppchen-Mina“ freigeschaltet!<br>Verbessern auf Stufe 30 und<br>mit XP/Katzenfrucht aktivieren!
unlock_popup_message_63	<flash>Abschlussbonus!</flash><br>Wahre Form von „Miyamoku Musashi“ freigeschaltet!<br>Verbessern auf Stufe 30 und<br>mit XP/Katzenfrucht aktivieren!
unlock_popup_message_64	<flash>Unheimliche Legenden erscheinen jetzt nach den legendären Leveln!</flash><br>Jetzt in den legendären Leveln verfügbar!
unlock_popup_message_65	<flash>Erhöhe die Stufenlimits!</flash><br>Katzen können mit Katzenaugen<br>höhere Maximalstufen erreichen!<br>(Benutzerrang 1600 nötig für Katzenauge-Einsatz)
unlock_popup_message_66	<flash>Abschlussbonus!</flash><br>Wahre Form von „Mecha-Bun“ freigeschaltet!<br>Verbessern auf Stufe 30 und<br>mit XP/Katzenfrucht aktivieren!
unlock_popup_message_67	<flash>Abschlussbonus!</flash><br>Katzamin-Level wurden freigeschaltet!<br>Spiele diese Level mit überschüssigen Katzaminen!
unlock_popup_message_68	<flash>Ein neues Kapitel von Kosmische Katzen ist verfügbar!</flash><br>Wähle Kosmische Katzen im Startbildschirm aus, um die Kampfkatzen-<br>Geschichte fortzuführen!
unlock_popup_message_69	<flash>Kosmische Katzen Kapitel 2 ABGESCHLOSSEN!</flash><br>Bald kommt ein neues Kapitel.<br>Sei auf die neuen Updates gespannt!
unlock_popup_message_70	<flash>Abschlussbonus!</flash><br>Du erhältst die Sonderkatze „%@“!<br>Im Verbesserungenmenü aktivieren!
unlock_popup_message_71	<flash>Talente sind jetzt freigeschaltet!</flash><br>Besuche das Verbesserungenmenü und<br>entdecke/verbessere Fähigkeiten von Wahre-Form-Einheiten(oder höher)!
unlock_popup_message_72	<flash>Der Offiziersklub wurde freigeschaltet!</flash><br>Tippe in der Katzenbasis auf das<br>entsprechende Symbol!
unlock_popup_message_73	<flash>NEUES „Kosmische Katzen“-Kapitel!</flash><br>Tippe im Startbildschirm auf „Kosmische Katzen“,<br>um die neue Herausforderung zu spielen!
unlock_popup_message_74	<flash>Abschlussbonus!</flash><br>Du erhältst<br>%d %@!
unlock_popup_message_75	<flash>Verbesserte Levelauswahl!</flash><br>Du kannst nun nach dem Abschluss eines Levels<br>direkt zur Levelauswahl zurückkehren!
unlock_popup_message_76	<flash> Miaumedaillen wurden freigeschaltet!</flash><br>Sieh sie dir im<br>Katzenbasis-Menü an!
Castle_Tutorial00	<flash>Willkommen beim Ototo-Trupp!</flash><br>Ändere das Design deiner Katzenbasis<br>und steigere ihre Kampfstärke!
Castle_Tutorial01	Tippe den Chefingenieur an, um loszulegen!<br>Wähle eine Blaupause zum Bauen aus!
Castle_Tutorial02	Tippe auf „Ändern“, um einen neuen<br>Stil für deine Katzenbasis auszuwählen!
Castle_part00	Fundament
Castle_part01	Stil
Castle_part02	Effekt
Castle_dev_finish00	<flash>Katzenbasis-Verbesserungen abgeschlossen!</flash><br>Stufe ${level1} → <color=255,255,0>${level2}</color>
Castle_dev_finish01	<flash>${recipeName}: ${partsName} abgeschlossen!</flash>
Castle_dev_finish02	<flash>${recipeName}-${partsName}: Katzenkanonen-Verbesserungen abgeschlossen!</flash><br>Stufe ${level1} → <color=255,255,0>${level2}</color>
Castle_lock00	Um deine Katzenbasis auszubauen,<br>muss Folgendes auf Stufe 10 verbessert werden:<br>Kanonenkraft ・ Kanonenreichweite ・ Kanonenaufladung.
Castle_lock01	Für diese Verbesserung wird vor dem Bau<br>%@<br>benötigt.
Castle_lock02	Für den Bau dieser Verbesserung<br>muss erst „%@“ gebaut werden.
Castle_lock03	Nicht genug Materialien ...<br>*Sammle Materialien aus Legenden.
Castle_lock03a	Nicht genug Ingenieure.<br>*Rekrutiere Ingenieure über Gamatoto-Expeditionen.
Castle_lock04	Maximalstufe erreicht!<br>In der aktuellen Spielversion sind<br>keine Verbesserungen mehr möglich.
Castle_lock05	Du musst <br>%@<br> abschließen, um dieses Teil weiter zu verstärken.
Castle_researcher	Für den Ototo-Ingenieurstrupp rekrutiert.<br>Kann nur für ein Projekt eingesetzt werden.
Castle_dev_suspend	Dieses Projekt abbrechen?<br>Ingenieure/Materialien gehen verloren!
Castle_researcher_name00	Ingenieur Nr. %d
Castle_researcher_name01	Ingenieur
Castle_researcher_counter	Aktuelle Ingenieure: 
Castle_researcher_desc	Assistenten des Chefingenieurs der Katzenbasis.<br>*Reisen nach Projektabschluss für immer ab.
Castle_dev_start00	Die Basisverbesserung beginnt bald.
Castle_dev_start01	Beginn des Baus: ${partsName} von ${recipeName}.
Castle_dev_start02	Beginn der Verbesserung: ${partsName} von ${recipeName}.
Castle_material_drop00	<flash>Material gefunden!</flash><br>
Castle_material_drop01	 ×
Castle_researcher_get	%@ gefunden!
Castle_UnlockDataId_1	Rang 600 und einen fertigen Lähmungsstrahl
Castle_UnlockDataId_2	Rang 900 und einen fertigen Eisenwall
Castle_UnlockDataId_3	Rang 900 und einen fertigen Blitzschlag
Castle_UnlockDataId_4	Gesamtstufe 30 der Katzenkanonenschlagkraft<br>Gesamtstufe 30 der Katzenkanonenaufladung
Castle_UnlockDataId_5	Rang 900 und eine fertige Wasserkanone
Castle_UnlockDataId_6	Rang 900 und ein fertiges Heiliges Kanonenrohr
Castle_UnlockDataId_7	Rang 900 und einen<br>fertigen Brecherschlag
local_notification_custom	Ototo hat die Aufgabe abgeschlossen und ist zurück!
Castle_AutoChange	<flash>Alle Teile geändert!</flash>
Castle_shoter00	%@ einsetzen?,Projektzeit wird um %d Stunden verkürzt.
Castle_shoter01	Projektzeit um , Stunden verkürzt!
castle_connection_failed	Verbleibende Projektzeit konnte nicht bestätigt werden. Netzwerkverbindung überprüfen!
castle_fraud	Gerätezeit hat sich evtl. geändert. Ändere die Uhrzeit nicht noch weiter.
beacon_event_date	開催期間: %d年%d月%d日～%d年%d月%d日まで
beacon_event_before	にゃんこビーコンのイベントは<br>現在、開催してないにゃ
beacon_event_held	にゃんこビーコン電波を<br>検索してるにゃ～
