＠|＠|＠|＠|＠|＠|＠|			//ネコ
第3進化後攻擊力上升！|還能取得必定讓鋼鐵以外的敵人|瞬間動作變慢的新能力！|＠|第3進化後攻擊力上升！|還能取得必定讓鋼鐵以外的敵人|瞬間動作變慢的新能力！|			//オタネコ
第3進化後體力、移動速度、|攻擊力、射程皆會獲得提升！|＠|＠|第3進化後體力、移動速度、|攻擊力、射程皆會獲得提升！|＠|			//ネコスイマー
第3進化後|攻擊力上升！同時生產成本下降|還會轉變為死前可以存活一次。|＠|第3進化後|攻擊力上升！同時生產成本下降|還會轉變為死前可以存活一次。|			//ネコホッピング
第3進化後攻擊力與|射程上升！同時還|加快角色的生產速度！|＠|第3進化後攻擊力與|射程上升！同時還|加快角色的生產速度！|			//ネコ車輪
第3進化後|取得了範圍攻擊！同時|必定能讓紅色敵人動作停止！|＠|第3進化後|取得了範圍攻擊！同時|必定能讓紅色敵人動作停止！|			//ネコリンゴ
第3進化後體力上升！|攻擊速度也會增加！|＠|＠|第3進化後體力上升！|攻擊速度也會增加！|＠|			//ネコバスたぶ
第3進化後|攻擊力上升！還能將敵人的|攻擊力下降效果無效化！|＠|第3進化後|攻擊力上升！還能將敵人的|攻擊力下降效果無效化！|			//ネコエステ
第3進化後攻擊力與|射程上升！同時必定能讓|紅色敵人動作停止！|＠|第3進化後攻擊力與|射程上升！同時必定能讓|紅色敵人動作停止！|			//ネコアイス
第3進化後整體能力強化|同時取得能夠抵消波動|且不受波動傷害的能力！|＠|第3進化後整體能力強化|同時取得能夠抵消波動|且不受波動傷害的能力！|			//ネコマシン
第3進化後體力與攻擊力上升！|會使出猛烈的單體攻擊！|＠|＠|第3進化後體力與攻擊力上升！|會使出猛烈的單體攻擊！|＠|			//鬼にゃんま
＠|＠|＠|＠|＠|＠|＠|			//芸者ねこ
第3進化後|體力、攻擊力與射程上升！|同時也更容易發出會心一擊！|＠|第3進化後|體力、攻擊力與射程上升！|同時也更容易發出會心一擊！|			//ねこジュラ
第3進化後體力大幅上升！|更取得了範圍攻擊！|＠|＠|第3進化後體力大幅上升！|更取得了範圍攻擊！|＠|			//ねこファイター
第3進化後體力大幅上升！|同時射程也會增加，也更容易|打飛紅色敵人！|＠|第3進化後體力大幅上升！|同時射程也會增加，也更容易|打飛紅色敵人！|			//ねこ海賊
第3進化後|攻擊力與射程上升！|更取得了範圍攻擊！|＠|第3進化後|攻擊力與射程上升！|更取得了範圍攻擊！|			//ねこ泥棒
第3進化後|體力、攻擊力與射程上升！|更取得了範圍攻擊！|＠|第3進化後|體力、攻擊力與射程上升！|更取得了範圍攻擊！|			//ねこ僧侶
第3進化後體力大幅上升！|同時也更容易|打飛飄浮敵人！|＠|第3進化後體力大幅上升！|同時也更容易|打飛飄浮敵人！|			//ねこ占い師
第3進化後攻擊力與射程上升！|使飄浮敵人|動作停止的時間也增長|＠|第3進化後攻擊力與射程上升！|使飄浮敵人|動作停止的時間也增長|			//ネコシャーマン
＠|＠|＠|＠|＠|＠|＠|			//エヴァンジェリスト
＠|＠|＠|＠|＠|＠|＠|			//10式戦車
第3進化後體力與射程皆會獲得提升！|同時使紅色敵人動作|變慢的時間增長！|＠|第3進化後體力與射程皆會獲得提升！|同時使紅色敵人動作|變慢的時間增長！|			//ネコ魔女
第3進化後，體力、移動速度|攻擊力、射程皆會獲得提升！|＠|＠|第3進化後，體力、移動速度|攻擊力、射程皆會獲得提升！|＠|			//ネコアーチャー
第3進化後整體能力強化|同時提升會心一擊率！|還能夠將敵人的打飛效果無效化|＠|第3進化後整體能力強化|同時提升會心一擊率！|還能夠將敵人的打飛效果無效化|			//ネコシュバリエ
第3進化後|體力與攻擊力上升！|＠|＠|第3進化後|體力與攻擊力上升！|＠|			//ネコ魔剣士
第3進化後整體能力強化！|還能發射波動攻擊！|＠|＠|第4進化後移動速度上升！|變成了全方位攻擊|且波動攻擊的等級提升！|			//ねこベビー
＠|＠|＠|＠|＠|＠|＠|			//ネコブ・ロンズ
第3進化後體力大幅上升！|＠|＠|＠|第3進化後體力大幅上升！|＠|＠|			//ねこ寿司
＠|＠|＠|＠|＠|＠|＠|			//ネコポン
＠|＠|＠|＠|＠|＠|＠|			//ネコ運動会
＠|＠|＠|＠|＠|＠|＠|			//剣士
＠|＠|＠|＠|＠|＠|＠|			//ウシ姫
第3進化後攻擊速度上升！|同時再生產的所需時間也會縮短！|還會使黑色敵人動作停止的時間變長！|＠|第3進化後攻擊速度上升！|同時再生產的所需時間也會縮短！|還會使黑色敵人動作停止的時間變長！|			//KHM48
第3進化後體力上升！|還能夠將敵人的打飛效果無效化！|＠|＠|第3進化後體力上升！|還能夠將敵人的打飛效果無效化！|＠|
第3進化後|體力與攻擊力上升！|攻擊次數也會增加！|＠|第3進化後|體力與攻擊力上升！|攻擊次數也會增加！|			//執行者
＠|＠|＠|＠|＠|＠|＠|			//眠れるケリの美女
＠|＠|＠|＠|＠|＠|＠|			//ネコリーマン
第3進化後攻擊力上升！|同時移動速度也上升！|比誰都更快速！|＠|第3進化後攻擊力上升！|同時移動速度也上升！|比誰都更快速！|			//真田幸村
第3進化後|整體能力皆會強化！|同時攻擊力也更容易上升！|＠|第3進化後|整體能力皆會強化！|同時攻擊力也更容易上升！|			//前田慶次
第3進化後體力大幅上升！|同時攻擊力也會獲得提升！|還會使黑色敵人動作停止的時間變長！|＠|第4進化後體力上升！|並且取得使惡魔動作停止|以及烈波反擊的能力！|			//織田信長
＠|＠|＠|＠|＠|＠|＠|			//トナカイフィッシュ
第3進化後體力與|移動速度大幅上升！|同時攻擊力與射程也會獲得提升！|＠|第4進化後射程獲得提升！|且移動速度和攻擊速度也上升！|可以給予飄浮敵人極度傷害！|			//風神のウィンディ
第3進化後體力與|移動速度大幅上升！|同時攻擊力與射程也會獲得提升！|＠|第4進化後性能有很大變化！|且攻擊範圍擴大，必定能死前存活|能使敵人的動作變慢與攻擊力下降無效化！|//雷神のサンディア
＠|＠|＠|＠|＠|＠|＠|			//ドロイド
＠|＠|＠|＠|＠|＠|＠|			//ネコと宇宙
＠|＠|＠|＠|＠|＠|＠|			//にゃんこ成人
＠|＠|＠|＠|＠|＠|＠|			//吾輩は鬼である
＠|＠|＠|＠|＠|＠|＠|			//ひなにゃんこ
＠|＠|＠|＠|＠|＠|＠|			//ネコ忍者～青～
第3進化後整體能力強化！|同時必定能打飛|飄浮敵人！|＠|第3進化後整體能力強化！|同時必定能打飛|飄浮敵人！|			//地龍ソドム
第3進化後，體力、移動速度|攻擊力、射程皆會獲得提升！|＠|＠|第3進化後，體力、移動速度|攻擊力、射程皆會獲得提升！|＠|			//聖龍メギドラ
第3進化後體力、攻擊力|射程皆會獲得提升！|＠||第3進化後體力、攻擊力|射程皆會獲得提升！||			//竜騎士バルス
第3進化後體力、射程|攻擊速度皆會獲得提升！|＠|＠|第3進化後體力、射程|攻擊速度皆會獲得提升！|＠|			//神龍かむくら
第3進化後，體力、移動速度|射程皆會獲得提升！|同時更善於攻擊紅色敵人！|＠|第3進化後，體力、移動速度|射程皆會獲得提升！|同時更善於攻擊紅色敵人！|			//竜戦機ライデン
＠|＠|＠|＠|＠|＠|＠|			//ネコなわとび
＠|＠|＠|＠|＠|＠|＠|			//ニムエ
＠|＠|＠|＠|＠|＠|＠|			//猿王
＠|＠|＠|＠|＠|＠|＠|			//狂乱のネコ
＠|＠|＠|＠|＠|＠|＠|			//狂乱のタンクネコ
＠|＠|＠|＠|＠|＠|＠|			//狂乱のバトルネコ
＠|＠|＠|＠|＠|＠|＠|			//狂乱のキモネコ
＠|＠|＠|＠|＠|＠|＠|			//狂乱のウシネコ
＠|＠|＠|＠|＠|＠|＠|			//狂乱のネコノトリ
＠|＠|＠|＠|＠|＠|＠|			//狂乱のネコフィッシュ
＠|＠|＠|＠|＠|＠|＠|			//狂乱のネコトカゲ
＠|＠|＠|＠|＠|＠|＠|			//狂乱の巨神ネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコ乙女
＠|＠|＠|＠|＠|＠|＠|			//弱酸性エル
＠|＠|＠|＠|＠|＠|＠|			//レッドマローン
＠|＠|＠|＠|＠|＠|＠|			//歌謡にゃんこ
＠|＠|＠|＠|＠|＠|＠|			//マジでコイしてる
第3進化後體力、攻擊力|射程、攻擊速度皆會獲得提升！|還能夠將敵人的攻擊力下降無效化！|＠|第3進化後體力、攻擊力|射程、攻擊速度皆會獲得提升！|還能夠將敵人的攻擊力下降無效化！|			//猿帝のクウ
第3進化後攻擊力上升！|同時體力與移動速度大幅上升！|而且還能使敵人的打飛效果無效化！|＠|第3進化後攻擊力上升！|同時體力與移動速度大幅上升！|而且還能使敵人的打飛效果無效化|			//召し豚のカイ
第3進化後體力、攻擊力|射程皆會獲得提升！同時也更容易將|飄浮敵人的動作停止！|＠|第3進化後體力、攻擊力|射程皆會獲得提升！同時也更容易將|飄浮敵人的動作停止！|			//宝杖のカッパーマイン
＠|＠|＠|＠|＠|＠|＠|			//にゃんこ３兄弟
＠|＠|＠|＠|＠|＠|＠|			//マダム・ザ・花嫁
＠|＠|＠|＠|＠|＠|＠|			//セレス
第3進化後移動速度上升|生產成本下降！|而且死前有機會存活一次！|＠|第3進化後移動速度上升|生產成本下降！|而且死前有機會存活一次！|			//ノノ
＠|＠|＠|＠|＠|＠|＠|			//オルガ
＠|＠|＠|＠|＠|＠|＠|			//ノルン
＠|＠|＠|＠|＠|＠|＠|			//よいち
＠|＠|＠|＠|＠|＠|＠|			//セラム
＠|＠|＠|＠|＠|＠|＠|			//フウ
＠|＠|＠|＠|＠|＠|＠|			//アウラ
＠|＠|＠|＠|＠|＠|＠|			//レイ
第3進化後體力大幅上升！|偶爾能降低黑色敵人的攻擊力，並且取得|使動作變慢無效和超生命體特效能力！|＠|第3進化後體力大幅上升！|偶爾能降低黑色敵人的攻擊力，並且取得|使動作變慢無效和超生命體特效能力！|			//ワイバーン
＠|＠|＠|＠|＠|＠|＠|			//癒術士
＠|＠|＠|＠|＠|＠|＠|			//メルク
＠|＠|＠|＠|＠|＠|＠|			//女王様の休日
第3進化後體力大幅上升！|除了對上紅色敵人很耐打|還獲得了超獸特效且能發射波動攻擊！|＠|第3進化後體力大幅上升！|除了對上紅色敵人很耐打|還獲得了超獸特效且能發射波動攻擊！|			//マメマメにゃんこ
第3進化後體力、攻擊力|射程皆會獲得提升！|＠|＠|第3進化後體力、攻擊力|射程皆會獲得提升！|＠|			//伊達政宗
第3進化後體力、攻擊力|射程皆會獲得提升！|＠|＠|第3進化後體力、攻擊力|射程皆會獲得提升！|＠|			//武田信玄
＠|＠|＠|＠|＠|＠|＠|			//カラクリにゃんこ
＠|＠|＠|＠|＠|＠|＠|			//ネコフラワー
＠|＠|＠|＠|＠|＠|＠|			//うらめしにゃん
第3進化後體力上升！|同時也可使波動傷害無效化！|＠|＠|第3進化後體力上升！|同時也可使波動傷害無效化！|＠|			//金ネコ
第3進化後|體力、攻擊力與射程上升！|使封印我方角色特殊效果的古代詛咒無效化！|＠|第3進化後|體力、攻擊力與射程上升！|使封印我方角色特殊效果的古代詛咒無效化！|			//ウルフとウルルン
＠|＠|＠|＠|＠|＠|＠|			//ねねこ
＠|＠|＠|＠|＠|＠|＠|			//カンフーにゃんこG
＠|＠|＠|＠|＠|＠|＠|			//ヒカキン
第3進化後體力、攻擊力、|射程皆會獲得提升！|還能夠將敵人的攻擊力下降無效化！|＠|第3進化後體力、攻擊力、|射程皆會獲得提升！|還能夠將敵人的攻擊力下降無效化！|			//うらしまタロウ
第3進化後攻擊力上升！|同時取得必定能讓天使與|飄浮敵人動作停止的新能力！|＠|第4進化後變成了全方位攻擊|體力上升且生產成本下降|更取得了波動攻擊和超賢者特效！|			//ツルの恩返し
第3進化後整體能力強化！|同時也更容易|讓紅色與天使敵人的動作停止！|＠|第3進化後整體能力強化！|同時也更容易|讓紅色與天使敵人的動作停止！|			//ももたろう
第3進化後體力、射程、|攻擊速度皆會獲得提升！|攻擊次數也會增加！|＠|第3進化後體力、射程、|攻擊速度皆會獲得提升！|攻擊次數也會增加！|			//かさじぞう
第3進化後整體能力強化！|同時必定能讓天使敵人|與鋼鐵敵人動作變慢！|＠|第4進化是變回|原有樣貌的超級進化！|還取得了鋼鐵殺手的能力！|
＠|＠|＠|＠|＠|＠|＠|			//ネコンドー
＠|＠|＠|＠|＠|＠|＠|			//ふにゅふにゅネコ
＠|＠|＠|＠|＠|＠|＠|			//神様
＠|＠|＠|＠|＠|＠|＠|			//ネコチュートリアル
第3進化後|移動速度大幅上升！同時|體力、攻擊力與射程也獲得提升！|＠|第3進化後|移動速度大幅上升！同時|體力、攻擊力與射程也獲得提升！|			//ねこナース
第3進化後射程變長！|同時攻擊力也大幅上升，波動|可以發射至更遠處！|＠|第3進化後射程變長！|同時攻擊力也大幅上升，波動|可以發射至更遠處！|			//にゃんこ城Mini
第3進化後|體力、攻擊力與射程上升！|同時使黑色敵人動作變慢的時間增長！|＠|第3進化後|體力、攻擊力與射程上升！|同時使黑色敵人動作變慢的時間增長！|			//ねこガンマン
第3進化後|體力與攻擊力大幅上升！|同時也更容易打飛天使敵人！|＠|第3進化後|體力與攻擊力大幅上升！|同時也更容易打飛天使敵人！|			//たけうまねこ
第3進化後移動速度減慢|但是體力、攻擊力|射程皆會獲得提升！|＠|第3進化後移動速度減慢|但是體力、攻擊力|射程皆會獲得提升！|			//ブリキネコ
第3進化後，|體力與攻擊力皆會獲得提升！|＠|＠|第3進化後，|體力與攻擊力皆會獲得提升！|＠|			//ねこロッカー
第3進化後，體力、移動速度|射程皆會獲得提升！|更取得了範圍攻擊！|＠|第3進化後，體力、移動速度|射程皆會獲得提升！|更取得了範圍攻擊！|			//ねこ人魚
第3進化後射程變長！|同時再生產時的時間也會縮短|使天使敵人動作停止的時間也會增長|＠|第3進化後射程變長！|同時再生產時的時間也會縮短|使天使敵人動作停止的時間也會增長|			//窓辺の乙女ネコ
第3進化後|體力、攻擊力、射程皆會獲得提升！|＠|＠|第3進化後|體力、攻擊力、射程皆會獲得提升！|＠|			//ネコバーベル
第3進化後體力與攻擊力上升！|使封印我方角色特殊效果的古代詛咒無效化！|善於攻擊古代種！|＠|第3進化後體力與攻擊力上升！|使封印我方角色特殊效果的古代詛咒無效化！|善於攻擊古代種！|			//ネコスケート
第3進化後體力與攻擊力上升！|並能夠破壞護盾，同時|使天使敵人動作變慢的時間增長！|＠|第3進化後體力與攻擊力上升！|並能夠破壞護盾，同時|使天使敵人動作變慢的時間增長！|			//ネコトースター
＠|＠|＠|＠|＠|＠|＠|			//ねこフープ
＠|＠|＠|＠|＠|＠|＠|			//のべにゃん
＠|＠|＠|＠|＠|＠|＠|			//ドラリー剣士
＠|＠|＠|＠|＠|＠|＠|			//ヌボボ
第3進化後體力、移動速度|攻擊速度皆會獲得提升！|＠|＠|第4進化後體力與射程皆會獲得提升，|再生產的時間也會縮短！|且必定能發射小波動！|			//上杉謙信
第3進化後攻擊力與|射程獲得提升！|＠|＠|第3進化後攻擊力與|射程獲得提升！|＠|			//冥界のカリファ
第3進化後體力與射程皆會獲得提升！|同時移動和攻擊速度也上升！|＠|＠|第3進化後體力與射程皆會獲得提升！|同時移動和攻擊速度也上升！|＠|			//ユーリンチー
第3進化後|體力、攻擊速度、射程皆會獲得提升！|同時也更容易打飛鋼鐵敵人！|＠|第3進化後|體力、攻擊速度、射程皆會獲得提升！|同時也更容易打飛鋼鐵敵人！|			//狂乱のケリ姫
＠|＠|＠|＠|＠|＠|＠|			//綾小路 翔
＠|＠|＠|＠|＠|＠|＠|			//早乙女 光
＠|＠|＠|＠|＠|＠|＠|			//西園寺 瞳
＠|＠|＠|＠|＠|＠|＠|			//星グランマニエ
＠|＠|＠|＠|＠|＠|＠|			//白鳥松竹梅
＠|＠|＠|＠|＠|＠|＠|			//ネコヤンキー
第3進化後|射程大幅提升！|＠|＠|第3進化後|射程大幅提升！|＠|			//アシルガ
第3進化後失去打飛敵人的能力|但通常攻擊與發射波動時|必定能會心一擊|＠|第3進化後失去打飛敵人的能力|但通常攻擊與發射波動時|必定能會心一擊|			//クビルガ
第3進化後射程變長！|同時更容易發出會心一擊！|＠|＠|第3進化後射程變長！|同時更容易發出會心一擊！|＠|			//テコルガ
第3進化後取得能夠讓|敵人攻擊力下降的新能力！|還會使敵人動作停止的時間變長！|＠|第3進化後取得能夠讓|敵人攻擊力下降的新能力！|還會使敵人動作停止的時間變長！|			//バララガ
第3進化後整體能力強化！|同時還更容易將敵人的動作變慢|使封印我方角色特殊效果的古代詛咒無效化！|＠|第3進化後整體能力強化！|同時還更容易將敵人的動作變慢|使封印我方角色特殊效果的古代詛咒無效化！|			//コニャンダム
第3進化後|再生產所花的時間將會縮短！|＠|＠|第3進化後|再生產所花的時間將會縮短！|＠|			//厨房マンボウ
第3進化後射程會上升！|＠|＠|＠|第3進化後射程會上升！|＠|＠|			//マンボ王
＠|＠|＠|＠|＠|＠|＠|			//にゃんぼう
＠|＠|＠|＠|＠|＠|＠|			//マシュマロにゃん
第3進化後整體能力強化|能夠破壞護盾，還必定能打飛|天使敵人並使之移動變慢！|＠|體力與攻擊力上升且攻擊範圍也擴大！|必定能打飛異星戰士，|並取得使其動作變慢的能力！|                        //覇龍ディオラムス
＠|＠|＠|＠|＠|＠|＠|			//極道にゃんこ
＠|＠|＠|＠|＠|＠|＠|			//タクヤとユキ
第3進化後|射程與攻擊速度皆會獲得提升！|還能將敵人的攻擊力下降效果無效化！|＠|第3進化後|射程與攻擊速度皆會獲得提升！|還能將敵人的攻擊力下降效果無效化！|			//謎の少女ユキ
＠|＠|＠|＠|＠|＠|＠|			//ゆきにゃん
＠|＠|＠|＠|＠|＠|＠|			//183
＠|＠|＠|＠|＠|＠|＠|			//にゃんこカートR
＠|＠|＠|＠|＠|＠|＠|			//ミスターニンジャ
第3進化後|體力、移動速度與射程上升！|同時提升會心一擊率！|＠|第3進化後|體力、移動速度與射程上升！|同時提升會心一擊率！|			//ハルシュト
＠|＠|＠|＠|＠|＠|＠|			//コーネリア
第3進化後攻擊力降低|但是體力與攻擊速度都會上昇！再追加取得|有時候可使天使敵人的攻擊無效化能力！|＠|第3進化後攻擊力降低|但是體力與攻擊速度都會上昇！再追加取得|有時候可使天使敵人的攻擊無效化能力！|//ユーヴェンス
第3進化後攻擊力上升！|同時必定能讓黑色敵人|與惡魔的動作變慢！|＠|第3進化後攻擊力上升！|同時必定能讓黑色敵人|與惡魔的動作變慢！|			//ミスティカ
＠|＠|＠|＠|＠|＠|＠|			//アロイス
＠|＠|＠|＠|＠|＠|＠|			//シトルイユ
＠|＠|＠|＠|＠|＠|＠|			//ティティ
＠|＠|＠|＠|＠|＠|＠|			//山岡実乃里
＠|＠|＠|＠|＠|＠|＠|			//中村奏絵
第3進化後|善於攻擊異星戰士！|＠|＠|第3進化後|善於攻擊異星戰士！|＠|			//アキラ
第3進化後|可以給予異星戰士超大傷害、|並取得必定能讓他們動作變慢的能力！|＠|第3進化後|可以給予異星戰士超大傷害、|並取得必定能讓他們動作變慢的能力！|			//西園寺メカ子
第3進化後|能給予異星戰士和古代種超大傷害|使封印我方角色特殊效果的古代詛咒無效化！|＠|第3進化後|能給予異星戰士和古代種超大傷害|使封印我方角色特殊效果的古代詛咒無效化！|			//キャットマンダディ
第3進化後|移動速度大幅上升！|體力與攻擊速度也獲得提升！|＠|第3進化後|移動速度大幅上升！|體力與攻擊速度也獲得提升！|			//サイキックネコ
第3進化後體力與攻擊力上升！|攻擊速度減慢但同時必定能|讓敵人攻擊力下降！|＠|第3進化後體力與攻擊力上升！|攻擊速度減慢但同時必定能|讓敵人攻擊力下降！|			//ねこ陰陽師
第3進化後體力上升！|同時更容易使異星戰士瞬間動作停止|而且死前必定可以存活一次！|＠|第3進化後體力上升！|同時更容易使異星戰士瞬間動作停止|而且死前必定可以存活一次！|			//ネコサーファー
＠|＠|＠|＠|＠|＠|＠|			//メタルネコ
＠|＠|＠|＠|＠|＠|＠|			//ドラムメニャー
＠|＠|＠|＠|＠|＠|＠|			//小籠包にゃんこ
第3進化後|移動速度上升！同時變得|善於攻擊天使敵人與異星戰士！|＠|第3進化後|移動速度上升！同時變得|善於攻擊天使敵人與異星戰士！|			//カチカチヤマンズ
＠|＠|＠|＠|＠|＠|＠|			//アイルー
＠|＠|＠|＠|＠|＠|＠|			//シェリア【キリン】
＠|＠|＠|＠|＠|＠|＠|			//リオレウス
＠|＠|＠|＠|＠|＠|＠|			//リオレイア
＠|＠|＠|＠|＠|＠|＠|			//キリンネコ
＠|＠|＠|＠|＠|＠|＠|			//ちびネコ
＠|＠|＠|＠|＠|＠|＠|			//ちびタンクネコ
＠|＠|＠|＠|＠|＠|＠|			//ちびバトルネコ
第3進化後|必定能打飛紅色敵人與異星戰士，|還能降低他們的攻擊力！|＠|第4進化後性能有很大變化！|攻擊範圍擴大，|更獲得了超賢者特效！|//ホワイトラビット
第3進化後射程變長！|＠|＠|＠|第3進化後射程變長！|＠|＠|			//214
＠|＠|＠|＠|＠|＠|＠|			//百太郎
＠|＠|＠|＠|＠|＠|＠|			//マルコ
＠|＠|＠|＠|＠|＠|＠|			//ターマ
＠|＠|＠|＠|＠|＠|＠|			//エリ
＠|＠|＠|＠|＠|＠|＠|			//フィオ
＠|＠|＠|＠|＠|＠|＠|			//SV-001
＠|＠|＠|＠|＠|＠|＠|			//アレン・オニール
＠|＠|＠|＠|＠|＠|＠|			//マーズピープル
第3進化後體力上升！|並且善於攻擊黑色敵人，|同時取得使傳送無效化的能力！|＠|第3進化後體力上升！|並且善於攻擊黑色敵人，|同時取得使傳送無效化的能力！|//ヒュージハーミット
第3進化後體力上升！|同時取得烈波攻擊和破壞護盾能力！|＠|＠|第3進化後體力上升！|同時取得烈波攻擊和破壞護盾能力！|＠|//ジュピターキング
第3進化後|對上無屬性敵人很耐打，|同時取得打飛他們的能力！|＠|第3進化後|對上無屬性敵人很耐打，|同時取得打飛他們的能力！|//モーデン元帥
第3進化後攻擊力和體力上升！|同時生產成本下降！|＠|＠|第3進化後攻擊力和體力上升！|同時生產成本下降！|＠|//ハイドゥ
第3進化後只能攻擊異星戰士|但體力與攻擊力大幅上升|而且部分妨害效果無效！|＠|第3進化後只能攻擊異星戰士|但體力與攻擊力大幅上升|而且部分妨害效果無效！|			//呪術師デスピエロ
第3進化後|善於攻擊黑色敵人！|更獲得了超獸特效！|＠|第3進化後|善於攻擊黑色敵人！|更獲得了超獸特效！|			//にゃんぷきん
第3進化後取得能夠抵消波動|且不受波動傷害的能力！|＠|＠|第3進化後取得能夠抵消波動|且不受波動傷害的能力！|＠|			//ハロウィンねねこ
＠|＠|＠|＠|＠|＠|＠|			//ウィンディスイート
＠|＠|＠|＠|＠|＠|＠|			//デビルサンディア
＠|＠|＠|＠|＠|＠|＠|			//おでん
＠|＠|＠|＠|＠|＠|＠|			//光の神徒ヴァルキリー
＠|＠|＠|＠|＠|＠|＠|			//神徒ブリュンヒルデ
＠|＠|＠|＠|＠|＠|＠|			//神徒スルズ
＠|＠|＠|＠|＠|＠|＠|			//豊穣の女神フレイヤ
＠|＠|＠|＠|＠|＠|＠|			//軍神オーディン
第3進化後移動速度上升！|同時取得烈波攻擊、|還轉為死前必定可以存活一次！|＠|第3進化後移動速度上升！|同時取得烈波攻擊、|還轉為死前必定可以存活一次！|			//おかめはちもくネコ
第3進化後|攻擊力大幅上升！|＠|＠|第3進化後|攻擊力大幅上升！|＠|			//ボンボンネコ
第3進化後射程與|攻擊速度獲得提升！同時取得將鋼鐵以外|的敵人動作變慢的能力！|＠|第3進化後射程與|攻擊速度獲得提升！同時取得將鋼鐵以外|的敵人動作變慢的能力！|			//見習いスニャイパー
第3進化後|攻擊速度上升體力也大幅獲得提升！|同時攻擊力也更容易上升！|＠|第3進化後|攻擊速度上升體力也大幅獲得提升！|同時攻擊力也更容易上升！|			//トゲルガ
第3進化後體力、|移動速度與攻擊力上升！|＠|＠|第3進化後體力、|移動速度與攻擊力上升！|＠|			//雪だるまのスノーカイ
＠|＠|＠|＠|＠|＠|＠|			//サンタのメリークウ
＠|＠|＠|＠|＠|＠|＠|			//聖夜のシスターカッパー
＠|＠|＠|＠|＠|＠|＠|			//ネコのプレゼント
＠|＠|＠|＠|＠|＠|＠|			//ちびキモネコ
＠|＠|＠|＠|＠|＠|＠|			//ちびウシネコ
＠|＠|＠|＠|＠|＠|＠|			//ちびネコノトリ
第3進化後體力上升！|同時取得靈魂攻擊的能力！|＠|＠|第3進化後體力上升！|同時取得靈魂攻擊的能力！|＠|			//死にたてにゃんこ
＠|＠|＠|＠|＠|＠|＠|			//剣士
＠|＠|＠|＠|＠|＠|＠|			//騎馬兵
＠|＠|＠|＠|＠|＠|＠|			//アシュラ
