加速|戰鬥速度可以提高為「2倍」，|成為黃金會員就可提高為「3倍」。|（戰鬥中點選道具可切換ON・OFF）|＠|
黃金|開發貓咪城必要的古舊素材|＠|＠|＠|
宇宙石|開發貓咪城必要的古舊素材|＠|＠|＠|
神秘骨頭|開發貓咪城必要的古舊素材|＠|＠|＠|
助手|幫助開發貓咪城的助手|＠|＠|＠|
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
招福轉蛋|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
首領旗|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
|＠|||
招福轉蛋券|＠|||
招福轉蛋券G|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
回歸禮包|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠
招福轉蛋G券|＠
招福轉蛋G券|＠
招福轉蛋G券|＠
招福轉蛋券|＠
招福轉蛋G券|＠
招福轉蛋券|＠
招福轉蛋G券|＠
招福轉蛋券|＠
聖魔大戰巧克力|＠
招福轉蛋G券|＠
招福轉蛋券|＠
菊石|開發貓咪城必要的古舊素材|＠|＠|＠|
招福轉蛋G券|＠
招福轉蛋G券|＠
招福轉蛋券|＠
招福轉蛋G券|＠
傳說券|＠
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
土豪貓3小時無限使用|＠|||
貓型電腦3小時無限使用|＠|||
狙擊手3小時無限使用|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
白金券碎片|＠|||
傳說的捕蟲網|＠|||
XP 5000|＠|||
惡貓薄荷種子|極為罕見的貓薄荷種子|可以讓貓咪進化到更高的境界|＠|
惡貓薄荷|極為罕見的貓薄荷|可以讓貓咪進化到更高的境界|＠|
|＠|||
神祕箱子|＠|||
黃金貓薄荷種子|極為罕見的貓薄荷種子|可以讓貓咪進化到更高的境界|＠|
|＠|||
傳說的情書|＠|||
紫獸石|可以讓貓咪進化到|更高次元的獸石|＠|
紅獸石|可以讓貓咪進化到|更高次元的獸石|＠|
蒼獸石|可以讓貓咪進化到|更高次元的獸石|＠|
翠獸石|可以讓貓咪進化到|更高次元的獸石|＠|
黃獸石|可以讓貓咪進化到|更高次元的獸石|＠|
傳說的聖水|＠|||
傳說的捕蟲網|＠|||
青銅勳章|＠|||
白銀勳章|＠|||
黃金勳章|＠|||
白金勳章|＠|||
傳說的入場券|＠|||
紫獸結晶|可以讓貓咪進化到|更高次元的獸結晶|＠|
紅獸結晶|可以讓貓咪進化到|更高次元的獸結晶|＠|
蒼獸結晶|可以讓貓咪進化到|更高次元的獸結晶|＠|
翠獸結晶|可以讓貓咪進化到|更高次元的獸結晶|＠|
黃獸結晶|可以讓貓咪進化到|更高次元的獸結晶|＠|
彩虹獸石|可以讓貓咪進化到|更高次元的獸石|＠|
傳說金元寶|＠|||
傳說的情書|＠|||
紅磚Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
羽毛Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
備長炭Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
鋼製齒輪Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
黃金Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
宇宙石Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
神秘骨頭Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
菊石Z|改造、強化貓咪城的基座、裝飾時|必要的異次元素材|＠|
傳說的聖水|＠|||
傳說的捕蟲網|＠|||
XP 1000000|＠|||
|＠|||
傳說金元寶|＠|||
傳說的情書|＠|||
經驗值|可以透過觀看影片來獲得經驗值|＠|＠|
傳說的聖水|＠|||
傳說的捕蟲網|＠|||
傳說的陷阱|＠|||
|＠|||
傳說的靈魂|＠|||
|＠|||
|＠|||
神秘寶箱【銅】|＠|||
神秘寶箱【銀】|＠|||
神秘寶箱【金】|＠|||
1億下載紀念轉蛋券|＠|||
傳說的情書|＠|||
傳說的購物籃|＠|||
傳說的啞鈴|＠|||
傳說的陷阱|＠|||
神秘寶箱【銅】|＠|||
神秘寶箱【銀】|＠|||
神秘寶箱【金】|＠|||
