【日本編1章】	日本編1章の最高のお宝を全てゲット
【運動会】	秋だよ運動会！をクリア
【勤労】	勤労感謝スペシャル！をクリア
【聖夜】	なんとクリスマスが来た！をクリア
【塔30階】	風雲にゃんこ塔の30階をクリア
【塔40階】	風雲にゃんこ塔の40階をクリア
【LEVEL FINAL】	レジェンドクエストのLEVEL FINALをクリア
【富豪Ⅰ】	キャラクター総生産額が100万円を突破
【富豪Ⅱ】	キャラクター総生産額が500万円を突破
【大富豪Ⅰ】	キャラクター総生産額が1000万円を突破
【大富豪Ⅱ】	キャラクター総生産額が5000万円を突破
【超富豪Ⅰ】	キャラクター総生産額が1億円を突破
【超富豪Ⅱ】	キャラクター総生産額が2億円を突破
【冒険家Ⅰ】	ガマトトの探検時間が1000時間を突破
【発明家Ⅰ】	にゃんこ砲の主砲を5つ開発
【ランクアップⅠ】	ユーザーランクが1000に到達
【カリスマⅠ】	カリスマ隊員を1人発見
【ウルルン】	ウルフとウルルンを獲得
【コニャンダム】	コニャンダムを獲得
【ミーニャ】	ネコずきんミーニャを獲得
【宮木武蔵】	宮木武蔵を獲得
【ネコライダー】	ぶんぶんネコライダーを獲得
【ドグ丸】	土偶戦士ドグ丸を獲得
【奈落門】	奈落門をクリア
【古王妃飛来】	古王妃飛来をクリア
【聖者降臨】	聖者ポプウ降臨をクリア
【沼の底から】	ほの暗い沼の底からをクリア
【ウルス】	フェンリルとウルスを獲得
【狂乱家族】	大乱闘狂乱ファミリーズをクリア
【綺羅星ペロ】	綺羅星ペロ降臨をクリア
【未来奪還Ⅲ】	未来編3章のゾンビステージを全クリア
【死霊降臨】	死霊妖精クオリネム降臨をクリア
【はじめてのお遣い】	はじめてのお遣いをクリア
【塔50階】	風雲にゃんこ塔の50階をクリア
【春大集合】	大乱闘　春イベスペシャルをクリア
【夏大集合】	大乱闘　夏イベスペシャルをクリア
【秋大集合】	大乱闘　秋イベスペシャルをクリア
【冬大集合】	大乱闘　冬イベスペシャルをクリア
【春夏秋冬】	季節大集合イベントを全てクリア
【伝説のネコⅣ】	レジェンドストーリー<br>ステージレベル4を全クリア
【古代生命体撃破】	イディステージをクリア
【破滅への序曲】	破滅への序曲をクリア
【ドロン】	古神面ドロンを獲得
【悪魔サイクロン】	メガサターンをクリア
【魔界】	魔界編をクリア
【誘惑のシンフォニー】	誘惑のシンフォニーをクリア
【羅生門】	羅生門をクリア
【異界塔30階】	異界にゃんこ塔の30階をクリア
【宇宙奪還Ⅰ】	宇宙編1章のゾンビステージを全クリア
【ナーラ】	古獣ナーラを獲得
【超生命体 ヒュージゴマ】	ヒュージゴマ強襲をクリア
【超生命体 ジャイアント黒蔵】	ジャイアント黒蔵強襲をクリア
【超生命体 ギガガガ】	ギガガガ強襲をクリア
【超生命体 デッカーバチャン】	デッカーバチャン強襲をクリア
【超生命体 ビッグペンZ】	ビッグペンZ強襲をクリア
【超生命体 エクスエル】	大天使エクスエル強襲をクリア
【異界塔40階】	異界にゃんこ塔の40階をクリア
【真・伝説のネコⅠ】	真レジェンドストーリー<br>ステージレベル1を全クリア
【ネコルーザ】	猿人ネコルーザを獲得
【大魔王ニャンダム】	大魔王ニャンダム大降臨をクリア
【真・伝説のネコⅡ】	真レジェンドストーリー<br>ステージレベル2を全クリア
【超生命体 オーメンズ】	オーメンズ強襲をクリア
【三途の沼のヌシ】	三途の沼のヌシ大降臨をクリア
【宇宙奪還Ⅱ】	宇宙編2章のゾンビステージを全クリア
【真・伝説のネコⅢ】	真レジェンドストーリー<br>ステージレベル3を全クリア
【超獣討伐】	ガープラ密林、アシビニ砂漠<br>ジャンフォレ火山を全クリア
【極悪ネコ討伐】	極悪ステージを全クリア
【異界塔50階】	異界にゃんこ塔の50階をクリア
【ソラクティス】	論の賢者ソラクティスを獲得
【超生命体 大型土器ダイハニワン】	大型土器ダイハニワン強襲をクリア
【極悪家族】	大乱闘極悪ファミリーズをクリア
【真・伝説のネコⅣ】	真レジェンドストーリー<br>ステージレベル4を全クリア
【生命の神秘撃破】	ノーヴァステージをクリア
【超拳獣ブンナグリオス】	超拳獣ブンナグリオス大降臨をクリア
【最深部 100層】	地底迷宮の100層をクリア
【ニュトーン】	理の賢者ニュトーンを獲得
【ジャンボーグ鈴木】	ジャンボーグ鈴木大降臨をクリア
