Rarity,reflectORstorage,Price,stageDropItemID,quantity,SeverID,category,index,srcItemID,mainMenuType,gatyaTicketID,comment
3,0,1000,20,1,204,0,0,-1,0,-1,プラチナチケット
1,0,5000,30,1,500,4,0,-1,0,-1,紫マタタビの種
1,0,5000,31,1,501,4,1,-1,0,-1,赤マタタビの種
1,0,5000,32,1,502,4,2,-1,0,-1,青マタタビの種
1,0,5000,33,1,503,4,3,-1,0,-1,緑マタタビの種
1,0,5000,34,1,504,4,4,-1,0,-1,黄マタタビの種
2,0,50000,35,1,505,4,5,-1,0,-1,紫マタタビの実
2,0,50000,36,1,506,4,6,-1,0,-1,赤マタタビの実
2,0,50000,37,1,507,4,7,-1,0,-1,青マタタビの実
2,0,50000,38,1,508,4,8,-1,0,-1,緑マタタビの実
2,0,50000,39,1,509,4,9,-1,0,-1,黄マタタビの実
3,0,500000,40,1,510,4,10,-1,0,-1,虹マタタビの実
1,0,5000,41,1,511,4,11,-1,0,-1,古代マタタビの種
3,0,500000,42,1,512,4,12,-1,0,-1,古代マタタビの実
1,0,100000,43,1,513,4,13,-1,0,-1,虹マタタビの種
3,0,1000000,44,1,514,4,14,-1,0,-1,金マタタビ
1,0,1000,21,1,406,1,6,-1,5,97,にゃんこ福引2017梅雨
1,0,1000,22,1,407,1,7,-1,5,97,にゃんこ福引2017夏
1,0,1000,23,1,408,1,8,-1,5,97,にゃんこ福引2017銀週間
1,0,1000,24,1,409,1,9,-1,5,97,にゃんこ福引2018正月
1,0,1000,25,1,410,1,10,-1,5,97,にゃんこ福引2018受験
1,0,1000,50,1,600,5,0,-1,0,-1,キャッツアイ【EX】
1,0,1000,51,1,601,5,1,-1,0,-1,キャッツアイ【レア】
2,0,5000,52,1,602,5,2,-1,0,-1,キャッツアイ【激レア】
3,0,10000,53,1,603,5,3,-1,0,-1,キャッツアイ【超激レア】
4,0,1000,54,1,604,5,4,-1,0,-1,キャッツアイ【伝説】
1,0,1000,55,1,700,6,0,-1,0,-1,ネコビタンA
2,0,5000,56,1,701,6,1,-1,0,-1,ネコビタンB
3,0,10000,57,1,702,6,2,-1,0,-1,ネコビタンC
4,0,1000,58,1,605,5,5,-1,0,-1,キャッツアイ【闇】
0,0,1000,59,1,-1,0,0,-1,0,-1,ダミー
0,1,5000,60,1,-1,2,0,-1,0,-1,にゃんこ砲攻撃力
0,1,5000,61,1,-1,2,1,-1,0,-1,ダミー
0,1,5000,62,1,-1,2,2,-1,0,-1,にゃんこ砲チャージ
0,1,5000,63,1,-1,2,3,-1,0,-1,働きネコ仕事効率
0,1,5000,64,1,-1,2,4,-1,0,-1,働きネコお財布
0,1,5000,65,1,-1,2,5,-1,0,-1,お城体力
0,1,5000,66,1,-1,2,6,-1,0,-1,研究力
0,1,5000,67,1,-1,2,7,-1,0,-1,会計力
0,1,5000,68,1,-1,2,8,-1,0,-1,勉強力
0,1,5000,69,1,-1,2,9,-1,0,-1,統率力
0,0,1000,70,1,-1,0,0,-1,0,-1,受取BOX用：キャラ
0,0,1000,71,1,-1,0,0,-1,0,-1,受取BOX用：アイテムパック
0,0,1000,72,1,-1,0,0,-1,0,-1,受取BOX用：その他
0,0,1000,73,1,-1,0,0,-1,0,-1,受取BOX用：マップ
0,0,0,74,1,-1,0,0,-1,0,-1,受取BOX用：ダミー2
0,0,1000,26,1,411,1,11,-1,5,97,にゃんこ福引2018GW
0,0,1000,76,1,205,8,0,-1,0,95,にゃんこ福引2018梅雨
0,0,1000,77,1,206,8,1,-1,0,96,にゃんこ福引Ｇ2018梅雨
1,0,1,-1,100000,-1,0,0,6,0,-1,ガチャ排出用：100000(XP)
0,0,0,79,1,-1,0,0,-1,0,-1
0,0,1,80,50000,6,0,0,6,1,-1,アイテムショップ：経験値A
1,0,1,81,120000,7,0,0,6,1,-1,アイテムショップ：経験値B
2,0,1,82,400000,8,0,0,6,1,-1,アイテムショップ：経験値C
3,0,1,83,1000000,9,0,0,6,1,-1,アイテムショップ：経験値D
4,0,1,84,2000000,10,0,0,6,1,-1,アイテムショップ：経験値E
0,0,1,85,1,610,7,0,-1,0,-1,素材（赤）
0,0,1,86,1,611,7,1,-1,0,-1,素材（飛行）
0,0,1,87,1,612,7,2,-1,0,-1,素材（黒）
0,0,1,88,1,613,7,3,-1,0,-1,素材（硬）
0,0,1,89,1,614,7,4,-1,0,-1,素材（天）
0,0,1,90,1,615,7,5,-1,0,-1,素材（未来）
0,0,1,91,1,616,7,6,-1,0,-1,素材（紫）
0,0,1,92,1,-1,0,0,-1,0,-1,研究員
0,0,1000,93,1,207,8,2,-1,0,95,にゃんこ福引2018年サマーレッスン用
0,0,1000,94,1,208,8,3,-1,0,96,にゃんこ福引Ｇ2018年7月
0,0,1000,95,1,209,8,4,-1,0,96,にゃんこ福引Ｇ2018年8月
0,0,1000,96,1,210,8,5,-1,0,96,にゃんこ福引Ｇ2018年9月
0,0,1000,97,1,211,8,6,-1,0,96,にゃんこ福引Ｇ2018年10月
0,0,1000,98,1,212,8,7,-1,0,96,にゃんこ福引Ｇ2018年11月
0,0,1000,99,1,213,8,8,-1,0,95,にゃんこ福引2018年銀週間
0,0,1000,100,1,214,8,9,-1,0,96,にゃんこ福引Ｇ2018年12月
0,0,1000,101,1,215,8,10,-1,0,95,にゃんこ福引2018年文化祭
0,0,1000,102,1,216,8,11,-1,0,96,にゃんこ福引Ｇ2019年1月
0,0,1000,103,1,218,8,12,-1,0,96,にゃんこ福引Ｇ2019年2月
0,0,1000,104,1,219,8,13,-1,0,95,にゃんこ福引2019年雪まつり
3,0,1,105,1,220,0,0,-1,0,-1,統率力回復アイテム
0,0,1000,106,1,221,8,14,-1,0,96,にゃんこ福引Ｇ2019年3月
0,0,1000,107,1,222,8,15,-1,0,95,にゃんこ福引2019年受験大戦争
0,0,1000,108,1,223,8,16,-1,0,96,にゃんこ福引Ｇ2019年4月
0,0,1000,109,1,224,8,17,-1,0,96,にゃんこ福引Ｇ2019年5月
0,0,1000,110,1,225,8,18,-1,0,95,にゃんこ福引2019年黄金週間
0,0,1000,111,1,412,1,12,-1,5,97,ビックリマンチョコ
0,0,1000,112,1,226,8,19,-1,0,95,にゃんこ福引2019年梅雨
0,0,1000,113,1,227,8,20,-1,0,96,にゃんこ福引Ｇ2019年6月
0,0,1000,114,1,228,8,21,-1,0,96,にゃんこ福引Ｇ2019年7月
0,0,1000,115,1,229,8,22,-1,0,96,にゃんこ福引Ｇ2019年8月
0,0,1000,116,1,230,8,23,-1,0,95,にゃんこ福引2019年サーマーレッスン
0,0,1000,117,1,231,8,24,-1,0,95,にゃんこ福引2019年銀週間
0,0,1000,118,1,232,8,25,-1,0,96,にゃんこ福引Ｇ2019年9月
0,0,1000,119,1,233,8,26,-1,0,96,にゃんこ福引Ｇ2019年10月
0,0,1000,120,1,234,8,27,-1,0,96,にゃんこ福引Ｇ2019年11月
0,0,1000,121,1,235,8,28,-1,0,96,にゃんこ福引Ｇ2019年12月
0,0,1000,122,1,236,8,29,-1,0,95,にゃんこ福引2019年文化祭
0,0,1,123,1,-1,0,0,-1,0,-1,リスタートパック
0,0,1000,124,1,237,8,30,-1,0,96,にゃんこ福引Ｇ2020年1月
0,0,1000,125,1,238,8,31,-1,0,96,にゃんこ福引Ｇ2020年2月
0,0,1000,126,1,239,8,32,-1,0,95,にゃんこ福引2020年雪まつり
0,0,1000,127,1,240,8,33,-1,0,95,にゃんこ福引2020年受験大戦争
0,0,1000,128,1,241,8,34,-1,0,96,にゃんこ福引Ｇ2020年3月
0,0,1000,129,1,242,8,35,-1,0,96,にゃんこ福引Ｇ2020年4月
0,0,1000,130,1,243,8,36,-1,0,96,にゃんこ福引Ｇ2020年5月
0,0,1000,131,1,244,8,37,-1,0,96,にゃんこ福引Ｇ2020年6月
0,0,1000,132,1,245,8,38,-1,0,95,にゃんこ福引2020年黄金週間
0,0,1000,133,1,246,8,39,-1,0,96,にゃんこ福引Ｇ2020年7月
0,0,1000,134,1,247,8,40,-1,0,95,にゃんこ福引2020年梅雨
0,0,1000,135,1,248,8,41,-1,0,96,にゃんこ福引Ｇ2020年8月
0,0,1000,136,1,249,8,42,-1,0,95,にゃんこ福引2020年サマーレッスン
0,0,1000,137,1,413,1,13,-1,5,97,ビックリマンチョコ
0,0,1000,138,1,250,8,43,-1,0,96,にゃんこ福引Ｇ2020年9月
0,0,1000,139,1,251,8,44,-1,0,95,にゃんこ福引2020年秋色シルバーウィーク
0,0,1,140,1,617,7,7,-1,0,-1,素材（古代）
0,0,1000,141,1,252,8,45,-1,0,96,にゃんこ福引Ｇ2020年10月
0,0,1000,142,1,253,8,46,-1,0,96,にゃんこ福引Ｇ2020年11月
0,0,1000,143,1,254,8,47,-1,0,95,にゃんこ福引2020年文化祭
0,0,1000,144,1,255,8,48,-1,0,96,にゃんこ福引Ｇ2020年12月
4,0,1000,145,1,256,0,0,-1,0,-1,レジェンドチケット
0,0,1000,146,1,257,8,49,-1,0,96,にゃんこ福引Ｇ2021年1月
0,0,1000,147,1,258,8,50,-1,0,95,にゃんこ福引2020年雪まつり
0,0,1000,148,1,259,8,51,-1,0,95,にゃんこ福引2021年受験大戦争
0,0,1000,149,1,260,8,52,-1,0,96,にゃんこ福引Ｇ2021年2月
0,0,1000,150,1,261,8,53,-1,0,96,にゃんこ福引Ｇ2021年3月
2,0,1,151,1,-1,9,2,-1,0,-1,お助けセール！パック内ネコボン
1,0,1,152,1,-1,9,3,-1,0,-1,お助けセール！パック内ニャンピュータ
2,0,1,153,1,-1,9,5,-1,0,-1,お助けセール！パック内スニャイパー
0,0,1000,154,1,262,8,54,-1,0,96,にゃんこ福引Ｇ2021年4月
0,0,1000,155,1,263,10,0,-1,0,95,にゃんこ福引 ID統一用
0,0,1000,156,1,264,10,1,-1,0,96,にゃんこ福引Ｇ ID統一用
3,0,1,157,1,270,0,0,-1,0,-1,プラチナチケットの欠片
0,0,1000,158,1,414,1,14,-1,5,97,伝説の虫取り網
4,0,1,-1,5000,-1,0,0,6,0,-1,ガチャ排出用：【伝説】5000(XP)
1,0,5000,160,1,515,4,15,-1,0,-1,悪マタタビの種
3,0,500000,161,1,516,4,16,-1,0,-1,悪マタタビの実
0,0,1000,162,1,415,1,15,-1,5,97,伝説のにんじん
0,0,1000,163,1,416,1,16,-1,5,97,はてなボックス
1,0,3000000,164,1,517,4,17,-1,0,-1,金マタタビの種
0,0,1000,165,1,417,1,17,-1,5,97,伝説の縁起物
0,0,1000,166,1,418,1,18,-1,5,97,伝説のラブレター
1,0,5000,167,1,518,4,18,-1,0,-1,紫獣石
1,0,5000,168,1,519,4,19,-1,0,-1,紅獣石
1,0,5000,169,1,520,4,20,-1,0,-1,蒼獣石
1,0,5000,170,1,521,4,21,-1,0,-1,翠獣石
1,0,5000,171,1,522,4,22,-1,0,-1,黄獣石
0,0,1000,172,1,419,1,19,-1,5,97,伝説の聖水
0,0,1000,173,1,420,1,20,-1,5,97,伝説の虫取り網
4,0,1,174,1,710,11,0,-1,0,-1,ブロンズ勲章
4,0,1,175,1,711,11,1,-1,0,-1,シルバー勲章
4,0,1,176,1,712,11,2,-1,0,-1,ゴールド勲章
4,0,1,177,1,713,11,3,-1,0,-1,プラチナ勲章
0,0,1000,178,1,421,1,21,-1,5,97,伝説のフリーパス
2,0,50000,179,1,523,4,23,-1,0,-1,紫獣結晶
2,0,50000,180,1,524,4,24,-1,0,-1,紅獣結晶
2,0,50000,181,1,525,4,25,-1,0,-1,蒼獣結晶
2,0,50000,182,1,526,4,26,-1,0,-1,翠獣結晶
2,0,50000,183,1,527,4,27,-1,0,-1,黄獣結晶
1,0,100000,184,1,528,4,28,-1,0,-1,虹獣石
0,0,1000,185,1,422,1,22,-1,5,97,伝説の縁起物
0,0,1000,186,1,423,1,23,-1,5,97,伝説のラブレター
0,0,1,187,1,618,7,8,-1,0,-1,素材（赤Z）
0,0,1,188,1,619,7,9,-1,0,-1,素材（飛行Z）
0,0,1,189,1,620,7,10,-1,0,-1,素材（黒Z）
0,0,1,190,1,621,7,11,-1,0,-1,素材（硬Z）
0,0,1,191,1,622,7,12,-1,0,-1,素材（天Z）
0,0,1,192,1,623,7,13,-1,0,-1,素材（未来Z）
0,0,1,193,1,624,7,14,-1,0,-1,素材（紫Z）
0,0,1,194,1,625,7,15,-1,0,-1,素材（古代Z）
0,0,1000,195,1,424,1,24,-1,5,97,伝説の聖水
0,0,1000,196,1,425,1,25,-1,5,97,伝説の虫取り網
4,0,1,-1,1000000,-1,0,0,6,0,-1,ねこなつガチャ用XP100万
0,0,1000,198,1,426,1,26,-1,5,97,伝説のちいさいメダル
0,0,1000,199,1,427,1,27,-1,5,97,伝説の縁起物
0,0,1000,200,1,428,1,28,-1,5,97,伝説のラブレター
0,0,1,201,10000,11,0,0,6,1,-1,アイテムショップ内XP10000
0,0,1000,202,1,429,1,29,-1,5,97,伝説の聖水
0,0,1000,203,1,430,1,30,-1,5,97,伝説の虫取り網
0,0,1000,204,1,431,1,31,-1,5,97,伝説の罠
0,0,1000,205,1,432,1,32,-1,5,97,ビックリマンチョコ
0,0,1000,206,1,433,1,33,-1,5,97,伝説の魂
0,0,1,207,1,720,0,0,-1,1,-1,初期金額増加(戦国イベント)。最大数999999
0,0,1000,208,1,434,1,34,-1,5,97,伝説の縁起物
0,0,1000,-1,1,435,12,0,-1,0,-1,ふしぎな宝箱【銅】：本能玉
0,0,1000,-1,1,436,12,1,-1,0,-1,ふしぎな宝箱【銀】：本能玉
0,0,1000,-1,1,437,12,2,-1,0,-1,ふしぎな宝箱【金】：本能玉
4,0,1000,-1,1,265,0,0,-1,0,-1,1億DL記念チケット
0,0,1000,213,1,438,1,35,-1,5,97,伝説のラブレター
0,0,1000,214,1,439,1,36,-1,5,97,伝説の買い物かご
0,0,1000,215,1,440,1,37,-1,5,97,伝説のダンベル
0,0,1000,216,1,441,1,38,-1,5,97,伝説の罠
0,0,1000,-1,1,442,12,3,-1,0,-1,ふしぎな宝箱【銅】：本能玉
0,0,1000,-1,1,443,12,4,-1,0,-1,ふしぎな宝箱【銀】：本能玉
0,0,1000,-1,1,444,12,5,-1,0,-1,ふしぎな宝箱【金】：本能玉
0,0,1000,220,1,445,1,39,-1,5,97,伝説の札束
0,0,1000,221,1,446,1,40,-1,5,97,伝説のきらめき
0,0,1,-1,2000,-1,0,0,6,0,-1,ガチャ排出用：2000(XP)
1,0,1,-1,25000,-1,0,0,6,0,-1,ガチャ排出用：25000(XP)
0,0,1000,-1,1,447,12,6,-1,0,-1,ふしぎな宝箱【銅】：本能玉
0,0,1000,-1,1,448,12,7,-1,0,-1,ふしぎな宝箱【銀】：本能玉
0,0,1000,-1,1,449,12,8,-1,0,-1,ふしぎな宝箱【金】：本能玉
