23	0	だんだんわからなくなってきたにゃ<br>誰かにヒントを聞いてくるから<br>１日おいてまた来てほしいにゃ	24
24	18	今度はちゃんと聞いてくるから<br>またあしたにゃ	100				
30	0	いじわるにゃ	6
31	0	２回目なのが<br>バレたにゃ‥	32
32	0	２回目だけど<br>聞いてほしいにゃ	7	33
33	0	意地でも聞いてもらうにゃ	7
40	0	絶対ニャンピュータにゃ<br>そうに違いないにゃ	11	41
41	0	大人なら空気を読むにゃ<br>ニャンピュータってことに<br>しておくにゃ	11
50	0	いーやニャンピュータに<br>違いないにゃ！	19
100	0	おまたせにゃ！<br>プレゼントの中身のヒントを<br>今日はバトルネコ<br>から聞いてきたにゃ	101	
101	0	タンクネコより詳しいって<br>言ってたから期待できる情報にゃ<br>がんばってプレゼントの<br>中身を当てるにゃ！	102
102	0	なんでもバトルネコが言うには<br>戦闘スピードを速くできる<br>アイテムらしいのにゃ～	103
103	0	あー分かったにゃ！<br>それはスピードアップにゃ<br>「スピードアップ」しか<br>考えられないにゃ！	104
104	0	でもタンクネコが前に<br>言ってたことと<br>全然違う気もするけど・・<br><br>そう思うにゃ？	105	105
105	0	ただ、バトルネコが言うには<br>使うとにゃんこたちが強く<br>なれるらしいのにゃ	106
106	0	んんーーじゃ<br>スピードアップじゃないにゃ！<br>戦闘のスピードがあがるだけで<br>にゃんこたちは何にも<br>強くならないにゃ	107
107	0	むしろ、タップが追いつかなくて<br>普段負けないところで<br>敗北しちゃったりするにゃ	108
108	0	プレイヤーのスピードが<br>試される修練の<br>アイテムなのにゃ	109
109	0	でも、そういえば<br>バトルネコが言うには<br>にゃんこクラブに入会すると<br>使い放題らしいにゃ	110
110	0	てことは確実にスピードアップにゃ！<br>にゃんこクラブのカードにも<br>書いてあるにゃ、絶対そうにゃ！	111
111	0	そう思うにゃ？	118	140
118	0	あ、でも<br>バトルネコが言ってたのを<br>思い出したにゃ	119
119	0	スピードアップじゃない<br>って言ってたにゃ	120
120	0	最初から違ってたにゃ<br>スピードアップじゃないにゃ<br>ごめんにゃ	121
121	0	だんだん<br>わからなくなってきたにゃ	122
122	0	うーん<br><br>じゃー<br>そろそろ	112
112	0	プレゼント箱を開けて<br>答え合わせするかにゃ！	123
123	0	プレゼントの中身は・・<br>果たして何にゃのか～	124
124	0	ん・・	125
125	0	あれ・・	126
126	0	プレゼントどこにゃ	127
127	0	・・は！	128
128	0	大事に保管しておくために<br>昨日、家に持って帰ったら<br>持ってくるの忘れたにゃ・・	129
129	0	昨日の夜に絶対に忘れないように<br>ドアノブにかけておいたのににゃ	130
130	0	うっかり忘れて<br>駅まで行って気づいて<br>思い出して取りに戻ったにゃ	131
131	0	走って戻ってたら<br>タンクネコにぶつかって	132
132	0	それから・・<br>ネコ基地に着くまでの<br>記憶がないにゃ	133
133	0	ようするに<br>ごめんにゃ・・	134
134	0	あしたは必ず持ってくるから<br>またあした来てほしいにゃ	135
135	0	今日は枕元にプレゼント<br>置いて寝るにゃ！<br>絶対、忘れないにゃ	136
136	0	絶対にゃ	137
137	18	じゃ、またあしたにゃ	200
140	0	えーー<br>絶対スピードアップにゃ～！	118
200	0	今日も来てくれて<br>ありがとうにゃ！	201
201	0	じゃ、今日は<br>プレゼントの中身<br>答え合わせするにゃ！	202
202	0	！？	203
203	0	あれ・・	204
204	0	プレゼント箱がないにゃ	205
205	0	さっきまで横に置いてたのに<br>消えてるにゃ・・	206
206	0	どこいったにゃ！？	207
207	0	・・	208
208	0	！！	209
209	0	メンゴメンゴ<br>頭の上に<br>のってたにゃ	210
210	0	トイレにいったときに<br>じゃまだったから<br>のせてそのまま忘れてたにゃ	211
211	0	びっくりしたにゃ？	212	212
212	0	にゃ、冗談はさておき・・<br>それでは答え合わせにゃ！	213
213	0	じゃじゃーん	214
214	0	「<flash>にゃんこチケット</flash>」だったにゃ！<br>結局、全然違ったにゃ！<br>ごめんにゃ！	215
215	0	当てられなかったから<br>プレゼントはお預けにゃ	216
216	0	・・と思ったけど<br>プレゼントは<br>もらえるらしいにゃ！<br>えらい人から許しをもらったにゃ！	217
217	0	にゃんこ大戦争<br>世界累計5000万ダウンロード<br>を記念して	218
218	0	にゃんこチケット<br>5枚プレゼント！！！！	219
219	0	やったにゃ！！	220
220	0	もしかして<br>ケチ<br>・・・って思ったにゃ？	221	250
221	0	ちょっと体育館の裏にくるにゃ	222
222	0	・・・	223
223	0	うそにゃ冗談にゃ	224
224	0	なんかデジャヴを感じるにゃ？	225	225
225	0	気のせいにゃ	226
226	0	これからも<br>にゃんこ大戦争を<br>楽しんでにゃ！	227
227	0	ついでにお友達にも<br>にゃんこ大戦争を<br>オススメしてくれたら<br>うれしいにゃ！	228
228	0	それじゃ<br>にゃんこチケット５枚<br>プレゼントにゃ！	-2
250	0	・・・本当にゃ？	251	221
251	0	なんか嘘くさいにゃ	221
