%s|Un adorable shiba, ennemi des Battle Cats.|Essaie d’entrer à l’université cette année.|Très attentionné, il envoie tous les ans|des cartes d’anniversaire aux Chats.|
%s|Se peint le corps à l’aquarelle.|Par conséquent, il est sensible à l’eau...|Cette information n’a rien à voir|avec le contenu du jeu.|
%s|Des petits bonhommes qui aiment la bagarre.|Ils se sont rencontrés sur Internet.|Étonnamment,|ils sont tous pleins aux as.|
%s|Ce dangereux hippo a foi en|sa résistance et en sa puissance.|Il (elle ?) possède une compétence d’attaque multiple.|On ignore si c’est un mâle ou une femelle.|
%s (Rouge)|Adore aller faire des UV,|ce qui explique son teint.|Elle est née dans une ferme biologique en plein air.|Le savais-tu ? Les porcs aiment la propreté !|
%s|Adore les films de kung-fu|et aimerait percer à Hollywood.|A appris le kung-fu en autodidacte.||
%s|Sa mine patibulaire lui a valu|d’être renvoyé du zoo.|N’ayant ni diplômes ni travail,|il s’est tourné vers l’alcool et les jeux d’argent.|
%s|Un nom bébête. Un style bébête...|A un complexe d’infériorité dont il essaie|de se débarrasser en suivant|des cours de théâtre.|
%s (Rouge)|A quitté la tranquillité du littoral|pour l’effervescence de la ville.|Pour attirer l’attention, il s’est|peint en rouge.|
%s|A une portée ridiculement élevée.|Il aime les femmes aux formes (très) voluptueuses.|Il collectionne les magazines...|d’un certain genre.|
%s|A toujours rêvé d’être un boxeur.|Il n’y est jamais parvenu étant donné qu’il est...|un kangourou, tout simplement.|C’est la vie !|
%s (Rouge)|Il aime aider les autres.|Il travaille à mi-temps dans une caserne de pompiers.|Mais comme il est lent,|il n’arrive jamais sur les lieux d’un incendie à temps.|
%s|Un enseignant de maternelle. Il ADORE les enfants.|Ses griffes ne font pas bon ménage avec sa profession.|N’est pas de la famille de l’autre ours.|Personne ne connaît son vrai nom.|
%s|Sauvé par Dundee !|Amateur de cours par correspondance.|Il a obtenu plusieurs qualifications, notamment|une certification en Traitement de texte niveau 2.|
%s (Rouge)|A quitté une grande entreprise.|Maintenant, il en gère pas moins de 4 !|Aspire à devenir maire, un de ces jours.||
%s|Parle un dialecte francophone ancien (?).|Ça ressemble au français, mais ce qu’il raconte|est quasi incompréhensible.|Il travaille à l’école française près de la gare.|
%s (Noir)|Permis de tuer.|La crise économique mondiale ne joue pas en sa faveur,|cela dit. Cf sa carte de visite.|Il demande un million par tête, maintenant !|
%s (Rouge/Flottant)|Timide maladif.|Chante à ses heures perdues, mais toujours|en cachette.|Ça compte, le miroir ? Adepte du karaoké en solitaire.|
%s (Flottant)|À force de faire des régimes, son corps a disparu.|Personne ne sait pourquoi il flotte.|Personne, vraiment ?|(N’essaie pas ça chez toi !)|
|||||
|||||
%s (Zombie)|N’a pas survécu à l’opération chirurgicale ratée sur sa bosse|disgracieuse. Même morte, elle reste belle. Elle est la|première morte-vivante à poser en couverture de magazine !|Ne lui parle pas de son teint violacé...|
|||||
|||||
|||||
|||||
|||||
%s (Zombie)|L’esprit d’un guerrier Toutou a pris possession de ce jeune|acteur prometteur qui a pris très à cœur le rôle épique|qu’il tenait sur les planches. Ne t’approche pas trop près|de lui, son château maudit pourrait mal réagir...|
%s (Zombie)|Papa disait toujours, un bon zombie est un zombie éduqué.|Mais ce sinistre ouvrage ne contient que|des vieilles BD d’horreur ringardes, on dirait.|Immunisé contre tous les effets négatifs.|
%s|On la voit souvent prendre le dernier métro après|avoir fait la fête toute la nuit. Maintenant, elle repense|à son insouciance et veut changer.|Elle n’a eu que 3 pannes de réveil, cette semaine.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Ange)|Un avant-goût divin à l’eau de mer, envoyé en tant que|vision céleste par le Dieu des Chats pour les cœurs purs.|Un paradis culinaire attend ceux qui réussiront|leur profession de foi.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s|Au sommet de la Tour céleste, cette légende vivante|des arts martiaux accueille les plus dignes. Il adore|rabattre le caquet aux gosses de riches qui pensent que|la spiritualité s’achète. Fan de limonade rosée.|
%s|Joueur professionnel d’eSport célèbre pour abandonner|les tournois de rage en appuyant sur le bouton|Réinitialiser avec sa langue. Une manière pas très|fair-play d’équilibrer le nombre de victoires/défaites...|
|||||
|||||
|||||
|||||
%s (Alien)|Toutou officier de la Marine extraterrestre.|A reçu la plus haute distinction de l’académie|pour ses attaques de téléportation.|Mais le marché du travail est rude, en ce moment.|
%s (Alien)|Créateur des tactiques de zone de téléportation.|Les Pengs sont une race de fiers guerriers aux connaissances|scientifiques avancées grâce à leur pratique|intensive des sudokus.|
%s (Alien)|Un puissant tacticien célibataire en raison de sa mine|patibulaire. Il sait très bien cuisiner et sa|tessiture vocale atteint 6 octaves, mais il est trop timide|pour révéler ses talents à qui que ce soit.|
%s (Alien)|Mère de tous les Élèfes, elle protège sa progéniture|avec sa peau dure comme le fer.|Elle envahit au moins 3 nouvelles planètes par semaine|pour préserver ses formes voluptueuses.|
%s (Alien)|Il peut entendre toutes tes pensées salaces.|N’aie que des pensées pures en sa présence :|les énergies lubriques le rendent plus fort !|À noter qu’il n’a aucune expérience...|
%s (Alien)|Un fier soldat de la grande armée des Taupes,|gardien de la paix et de l’amour dans tout l’univers.|Son uppercut d’antimatière|catapulte les Chats dans une autre dimension.|
%s (Alien/Flottant)|Une arme biologique conçue par les Toutous de l’espace|pour attaquer les avant-postes des Chats par surprise.|Invisible de face, mais ce jeu étant en vue Paysage,|il n’est pas très discret...|
%s (Flottant)|Salut ! C’est moi, le Dieu des Chats.|Je sais que tu apprécies lire|ma description.|Mais c’est l’heure de mon bain, alors...|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Ange/Alien)|Un oiseau très sûr de lui. Ses parents ont tout fait|pour qu’il croie toujours en lui. Mais son arrogance|est telle qu’elle a consumé sa dimension|et qu’il a atterri dans la nôtre.|
|||||
%s (Alien)|Une faille spatiale s’est ouverte dans une nébuleuse.|Il manipule l’espace-temps pour téléporter les Chats.|Tu peux le vaincre si tu l’attaques|à distance...|
|||||
%s (Ange)|Une adorable truie au museau en forme de cœur.|Elle ne peut pas s’empêcher de sautiller gaiement,|mais ça te coupera l’envie de te battre.|Elle veut seulement rentrer au paradis pour voir sa famille.|
%s|Gardien sacré de la Tour céleste. Seuls ceux qui réussissent|son épreuve sont jugés dignes.|Ayant peu de visiteurs ces derniers temps, il a commencé|à enseigner la danse moderne aux enfants de maternelle.|
|||||
|||||
|||||
|||||
|||||
|||||
%s (Rouge)|Un apprenti lanceur dont la passion dévorante|le laisse généralement sur le banc de touche.|Espère que ses attaques rapides|à la balle longue portée vont finir par payer !|
%s (Alien)|Un mouton stellaire à la puissante barrière de défense.|Ce ne sont pas des pointes sur son dos, elle n’est simplement|pas coiffée ! Étant donné que personne ne s’approche d’elle,|elle se pose des questions sur son haleine...|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Flottant)|Artéfact d’un empire ancien qui régnait autrefois|sur la Terre. Des Toutous de l’ombre se sont alliés pour|raviver cette terrible force, mais heureusement, il n’y a|qu’un seul exemplaire du manuel de pilotage !|
%s (Relique)|Un artéfact invincible qui anéantit sans pitié tout intrus|dans le royaume des anciens. Une prophétie fait état|de combattants capables de résister aux sombres malédictions|que ce gardien lance sur ses adversaires.|
%s (Relique)|Ennemi juré ancestral de l’Empire des Chats.|Sérieux et travailleur comme tous les autres Toutous,|il lance parfois une malédiction sans le vouloir|quand il est trop concentré. Oups, désolé !|
|||||
|||||
|||||
|||||
%s (Relique)|Ne parle que le vieil anglais, ce qui signifie|que c’est une très jeune relique.|Si les Chats étudiaient sérieusement,|ils apprendraient beaucoup de choses sur lui.|
%s (Relique)|Un prophète ancien capable d’empêcher les morts|imminentes grâce à ses voyages temporels. Mais ils|ne sont pas encore au point, et quand il arrive|sur les lieux, il est déjà trop tard...|
%s (Rel./Flottant)|Maire de l’ancien duché des lépidoptères.|Les habitants l’ont toujours détesté. Il déblatère|toujours de vieilles histoires qui font durer|les réunions à la mairie jusque tard le soir.|
|||||
|||||
%s (Alien)|Livraison express dans toute la galaxie !|Sa copine pense qu’il devrait se trouver|un vrai travail, alors il a rejoint|les troupes de choc de l’élite extraterrestre.|
%s (Alien)|Un génie sous-estimé, chef d’un restaurant étoilé.|Il renvoie tous les plats qui ne lui semblent pas|appétissants en cuisine, en les téléportant.|Quel vin se marie aux Chats ?|
%s|Salut ! C’est moi le Dieu des chats, tout le monde m’adore !|J’espère que Cosmos ch. 2 t’a plu. La vraie vie,|c’est parfois dur... Moi par exemple, depuis la semaine|dernière, je suis revenu habiter chez ma mère...|
%s (Relique)|Une star en vogue l’an passé, célèbre pour ses goûts osés|en matière de lunettes. En fait, ce sont vraiment|ses yeux... Cette façon qu’il a de les lancer, c’est bizarre,|hein ? Ah, ces reliques...|
|||||
|||||
%s (Rel./Flottant)|Un être ayant pour but d’exterminer la race féline.|On le croyait détruit depuis des millénaires|lors d’une grande bataille contre l’armée des Chats|originelle. La plus petite et la plus jolie des Têtes (?)|
%s (Relique)|Une autruche autrefois comique de stand-up.|Une référence pour les jeunes comédiens.|Il prend conscience|de l’écart de générations sur scène.|
|||||
|||||
%s (Zombie)|Se compose des parties les plus robustes d’anciens|Professeurs Ours disparus. La tête ne tenait pas bien,|alors elle a dû être fixée par un boulon.|Ses pulsions destructrices sont de plus en plus vives...|
%s (Zombie)|À la suite d’un malheureux accident avec un fer à friser,|ce cochon a hérité de dreadlocks sophistiquées...|et n’est plus un Sangrillé.|Ça, c’est une métamorphose !|
|||||
|||||
%s (Noir)|Une créature qui se nourrit des rêves dans un état|de demi-sommeil. Elle porte encore une couche à 14 ans !|Ne jamais réveiller cette somnambule,|même si elle ronfle très fort !|
|||||
|||||
|||||
|||||
|||||
|||||
%s (Relique)|Le plus ancien des cyclones, issu du Big Bang.|Il n’a pas faibli, même après avoir englouti|tous les dinosaures. Il inflige des malédictions|et se renforce après avoir subi des dégâts.|
|||||
|||||
|||||
|||||
%s (Alien)|Il se murmure qu’il serait l’enfant illégitime|d’une célèbre tempête. On ignore laquelle !|Téléporte quiconque s’approche de lui.|Faible endurance, alors donne tout !|
%s (Alien)|Ces méchantes anguilles pas nettes|s’en prennent au territoire des Chats.|Elles sortent de terre pour se bagarrer ! Ne les confond pas|avec des serpents, elles ont horreur de ça.|
%s (Alien)|Une salamandre de l’espace allergique aux Chats.|Le vent puissant produit par ses éternuements|doit être évité par les petits Chats qui pourraient|être expulsés dans une autre dimension !|
%s|Hé ! Comme on se retrouve ! On ne vient pas|à bout du Dieu des Chats aussi facilement ! Mouais,|tu t’es plutôt bien débrouillé dans le chapitre|du Cosmos. Je t’autorise à enfin devenir mon acolyte.|
%s (Alien/Flottant)|Après avoir erré dans le cosmos pendant des millénaires,|une étrange force fait à nouveau des ravages dans|l’Empire galactique des Chats. Le chaos engendré pourrait|même changer le cours de la réalité.|
|||||
|||||
%s (Relique)|Un combattant ancien découvert par les Toutous.|Son corps d’argile semble fragile mais est renforcé|par son pouvoir de relique. Sa tête a été accrochée|à un corps de cheval par mégarde, mais il fait l’affaire (?).|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Zombie)|Un savant fou qui a mis le feu à sa queue pour|tester les limites de sa puissance de volatile.|Dans la panique, une montée d’adrénaline|lui a permis de s’envoler vers le paradis.|
%s (Zombie)|Ces gars-là sont toujours ensemble. À la vie, à la mort !|Heureusement, un bus faisait la navette|entre le cimetière et le champ de bataille.|Morts-vivants et encore co-dépendants...|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Relique)|Cadre dans une société d’import-export sous-marine.|Autrefois considéré comme ayant une personnalité toxique,|le mariage l’a rendu plus sociable|sous ses dehors épineux.|
|||||
%s (Alien)|Il veut devenir une star planétaire. Il apparaît seulement|tous les 100 ans, et on l’a longtemps confondu avec|un astéroïde. Ses fans inconditionnels forment une ligne|lumineuse derrière lui, visible à des années-lumière !|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Rouge/Noir)|La malveillance se cache derrière|cette image traditionnelle de l’innocence.|Il cherche à se venger de quiconque|profite de la naïveté des plus jeunes.|
%s (Ange)|Ses examens pour devenir archange approchant,|elle a toujours ses manuels scolaires sur elle.|Les Chats qui l’empêcheront d’étudier|seront victimes de sa magie toxique. Silence !|
%s (Rel./Flottant)|Une reine de la scène qui a commencé en tant que|danseuse remplaçante il y a 888 ans. Toute la ruche|l’admire en dépit de son grand âge. Certains drones|disent même qu’elle est leur souveraine !|
|||||
%s|Ce petit monstre semble toujours tranquille|quand il mâchouille ses concombres à l’étang.|Jusqu’au moment où il craque et t’envoie valdinguer|avec une réplique offensive...|
%s (Relique)|Gardiens de la forêt vierge.|Jamais aucun intrus n’en est ressorti vivant.|Seuls ceux qui parviennent à les vaincre|peuvent voir derrière le masque.|
%s (Métal)|Croco s’est porté volontaire pour être transformé en cyborg|et devenir le membre le plus puissant de son clan.|Il y a eu un manque de budget à mi-chemin,|mais il a quand même de l’allure !|
%s (Flottant)|Un dindon qui est aussi un commercial hors pair.|Il est allé voir une voyante en octobre, qui lui a prédit|un avenir pas joli joli...|Il veut y échapper en apprenant à voler.|
%s (Rouge) (Colossal)|Un labo secret d'expériences génétiques douteuses|a créé un Phoque supérieur. Prudence maximale face à |ses attaques qui affaiblissent et immobilisent.|Sa létalité augmente à chaque combat.|
|||||
|||||
|||||
|||||
|||||
|||||
%s (Alien)|Un play-boy qui fait craquer les cœurs à prendre|dans toute la galaxie.|Dès qu’il ouvre la bouche,|ses interlocuteurs ont des étoiles dans les yeux.|
|||||
|||||
|||||
%s (Noir) (Colossal)|Un labo secret d'expériences génétiques douteuses|a créé un Éléfombre supérieur. Inégalé en taille comme|en agressivité, attaques qui ralentissent.|Sa létalité augmente à chaque combat.|
%s (Zombie)|Un être de type Clionel qui a réussi à survivre|à l’extinction de masse dans les océans pollués|de son monde. Ne vous approchez plus de lui ni de|ses fils. On dit qu’il paralyse les Chats de peur.|
%s (Zombie)|Neveu adoré de Zyclone, qui n’a pas d’enfants.|Il est dur comme sa mère et timide comme son père.|Cette association en fait une petite tornade affamée|qui se cache au moindre signe de danger.|
%s (Ange)|Fidèle jusqu’au bout, il attend patiemment près des|portes du paradis que son maître arrive.|Une célèbre statue de lui en pleine réplique offensive|est le lieu de rencontre préféré des ados.|
%s|Un bébé vétéran qui a plus de 7 ans d’expérience|de l’enfance. Joue tellement bien les faux pleurs qu’il|fait tomber les inconnus dans les pommes. Rejeté de|2 crèches réputées à cause de son « talent »...|
%s (Flottant) (Colossal)|Un labo secret d'expériences génétiques douteuses|a créé un Fa Lèn supérieur. Les tirs de ses ailes colossales|repoussent sa proie pour mieux la soumettre.|Sa létalité augmente à chaque combat.|
%s|Chef à la retraite d’un clan puissant, il continue à tirer|les ficelles. Il a construit une cachette secrète dans une|haute tour pour passer du bon temps avec sa petite|amie (avant que des chats mal élevés ne le dérangent !).|
%s (Métal)|Mascotte et entraîneur des Koala Krushers, champions|de la NLB. À cause de ses interruptions quand son équipe|perdait, plusieurs matchs ont dû être rejoués.|Sa rigueur à l’entraînement est redoutée de tous.|
|||||
|||||
|||||
%s (Rouge/Alien/Zombie)|Un musicien de métro qui change d’apparence|en se concentrant sur une image différente. Anciennement|membre d’un groupe à succès, il l’a quitté pour une|carrière solo... juste avant qu’ils ne se séparent.|
|||||
|||||
|||||
%s (Alien) (Colossal)|Un labo secret d'expériences génétiques douteuses|a créé un Hyppalien supérieur de taille gigantesque.|Il a la capacité de ralentir ceux qui lui résistent.|Sa létalité augmente à chaque combat.|
%s (Relique)|Sujet 002 (forme de vie paléobactérienne)|Potentiel de combat : incommensurable.|N’est pas un flottant malgré son apparence.|Sa puissance correspond à une capacité affaiblie.|
%s (Zombies/flott.)|Un oiseau si décharné qu’il peut traverser|le Styx à la nage quand il le souhaite.|Ça l’énerve de ne pas pouvoir empêcher sa|belle masse musculaire de pourrir.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Relique)|Le seigneur promis aux Chats, abusivement fier de|maîtriser la sorcellerie des forêts anciennes.|Désormais roi de la déchéance, il inflige de furieuses|répliques et malédictions à ce monde décadent.|
|||||
|||||
%s|« Personne me fera changer de couleur », dit ce jeune|rebelle avant de filer vers l'horizon sur sa moto.|Le jugement que les adultes portent sur lui l'indiffère.|Tracer la route est tout ce qui importe à ses yeux.|
|||||
|||||
%s (Rouge)|Après avoir appris la réplique offensive en ligne,|ce renard a touché Porca par hasard alors qu'il s'entraînait|illégalement dans le parc. Désormais, il est déguisé|pour ne pas se faire repérer par la police...|
|||||
|||||
|||||
|||||
|||||
%s|Il a laissé tomber le « lion » de « Merlion ».|Des chercheurs ont voulu savoir pourquoi,|mais quand ils lui ont demandé, il s'est|fâché et a répliqué avec une mini-vague.|
|||||
%s (Noir/Béhémoth)|Combattant capitaliste qui travaille pour une redoutable|multinationale. Ses yeux sont injectés de sang à cause des|heures supplémentaires, et voir la nouvelle recrue|partir à 17 h pile l'a rendu dingue.|
|||||
%s (Relique)|Loin dans la forêt ancienne, la tribu des|Dorons vit cachée derrière des masques|bénis par les dieux. Briser le masque libère|une attaque mortelle de puissance divine.|
%s (Aku)|Fatigué du lycée, le frère de Toutou|a rejoint les rangs des ennemis Akus.|Son clan le considère comme un traître,|mais il paie les frais scolaires de Toutou.|
%s (Aku)|Serpan marqué de la flamme bleue du pouvoir Aku.|Inflige une réplique au moment de mourir.|Sans doute faible contre l’eau, mais cette information|n’a vraiment aucune utilité dans ce jeu.|
%s (Aku)|Accros du Web qui ont vendu leurs âmes|via un spam de recrutement des ennemis Akus.|Jadis rouges de bas niveau, ils sont désormais des|entrepreneurs à succès investissant dans le mal.|
%s (Aku)|Célèbre pour son rôle dans « Peng l’insomniaque ».|Pour garder sa place dans la suite, il a négocié un corps|infatigable auprès des Akus. Ils ont même ajouté un|rayon qu’il peut tirer depuis son front.|
%s (Aku)|Viré du paradis pour avoir trop gaffé,|il a vite été recruté par les ennemis Akus grâce|à sa gueule effrayante. Diffuse en continu|son quotidien dans le vortex des ennemis Akus.|
%s (Aku)|A passé un marché avec les Akus : son âme contre|des photos très dures à trouver... pas d’autres|questions, merci. A développé un bouclier pour mieux|protéger son inestimable collection de photos.|
%s (Aku)|Un ambassadeur d’élite du Royaume Aku.|Poignée de main ferme et large sourire,|son physique est absolument irréprochable.|Si ça tourne mal... sait aussi se la jouer atomique.|
%s (Aku)|Personne n’ose approcher ce tout-puissant Aku !|En effet, il a non seulement un caractère détestable|mais il est aussi porteur de tout un tas de|bactéries malsaines. (Source : Chercheur en Akus)|
%s (Aku)|Tempête démoniaque qui dévore tout. Les|âmes attirées partent chez les ennemis Akus et|rejoignent leur armée. Perce son bouclier|et tu auras peut-être une chance.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Aku)|Prête maléfique au rêve insensé : régner sur|le Royaume Aku. A construit des Autels pour sceller|le pouvoir de ses ennemis et les vider de leurs forces|afin d’accomplir tous ses sombres projets.|
%s (Aku)|Un mage puissant qui vole l’énergie vitale pour l’utiliser|dans le rituel de résurrection du Seigneur Ruine.|Le monde parfait dont il rêve adviendra-t-il,|ou bien y aura-t-il des coûts imprévus ?|
%s (Aku)|Dieu maléfique de la destruction, jadis scellé par|de grands héros, désormais ressuscité par les rituels|d’un prêtre sombre. Un âge de dévastation oublié|depuis longtemps est sur le point de revenir...|
%s (Aku)|Dans ses recherches obsessionnelles, l’Impératrice a ouvert|un grimoire maudit et s’est retrouvée possédée par un mal|suprême. Son âme est souillée et elle guide l’Empire|sur le chemin de la pire des calamités.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Aku)|Aku souffrant d'une crise d'identité. « Suis-je serpent,|lion ou poisson ? » demande-t-elle aux voyageurs...|avant de les changer en pierre s'ils se trompent.|Extrêmement dangereuse, avec répliques offensives.|
%s (Aku)|« Experte » sentimentale qui ne rate pas une|occasion de donner de mauvais conseils et de|provoquer des chagrins d'amour. Aime aussi|gâcher tous les premiers rendez-vous.|
%s (Aku)|Un Aku créé par un masque maudit pour accélérer|la résurrection du Grand Aku.|Un miasme maléfique envoyé par le masque draine|toute vie de quiconque ose s'en approcher.|
%s (Aku)|Un cousin de Rennato aux bois noir de jais.|Tout le monde se moquait de ses cornes, alors il|continuera de se venger jusqu'à ce que son nez|soit devenu tout rouge.|
%s (Aku)|Un lycéen crack de baseball au cœur froid qui a vendu|l'âme de son frère jumeau aux Akus contre une victoire|en tournoi. Joueur polyvalent qui a déjà été repéré|par la ligue majeure.|
%s (Aku)|Un Koko chaotique qui chante pour un groupe|de métal deathcore. Il n'a jamais peur de se jeter dans|la fosse et a été banni de pas mal de salles pour avoir|lancé des vagues offensives sur un public peu méfiant.|
|||||
|||||
|||||
%s (Rouge)|Hi Yen s'est fait avoir avec de la fausse vichamine C|et a perdu tout sens des réalités, prétendant|être un berserker né pour combattre.|Ses séries offensives gardent ses ennemis à distance.|
%s (Ange) (Colossal)|Un labo secret d'expériences génétiques douteuses|a créé un Mr. Ange supérieur, qui guide les pauvres|pécheurs par l'affaiblissement et la téléportation vers|le salut. Sa létalité augmente à chaque combat.|
%s (Zombie) (Colossal)|Un labo secret d'expériences génétiques douteuses|a créé un Peng supérieur et gigantesque qui répand|des toxines dans toutes les directions.|Sa létalité augmente à chaque combat.|
|||||
|||||
|||||
|||||
%s (Relique/Béhémoth)|Un être primordial sacré, connu comme étant la plus|ancienne de toutes les créatures de la forêt.|Invoque des éclairs pour mettre les intrus à l'épreuve.|Les survivants sont jugés dignes de vivre.|
%s (Zombie)|Caby se régalait de ses vacances de printemps...|Jusqu'à ce que la mort la surprenne.|Elle protège très bêtement son coin de la baignoire|en téléportant très loin les autres visiteurs.|
|||||
|||||
%s (Béhémoth)|En se baladant sous les tropiques, ce Toutou|a entendu l'appel de la nature. Il a quitté son travail,|abandonnant son frère jumeau derrière lui pour|passer sa vie à la recherche de la vague parfaite.|
%s (Rouge/Béhémoth)|Un canard qui a repris une vie sauvage pour éviter, de peu,|de finir en foie gras. Fait violemment bruire ses plumes|et peut éviscérer ses ennemis avec son bec géant.|Sa férocité n'a d'égal que sa sauvagerie.|
%s (Flottant/Béhémoth)|Un Hibougre qui a rencontré sa vraie personnalité sauvage|à 79 ans. Senior qui descend sur un volcan pour lancer|une boule de lumière contenant des années de colère|refoulée. Peut déclencher une réplique offensive.|
%s (Alien/Béhémoth)|Un Bernard-l’alien doté du pouvoir irrationnel de|l'amour, ainsi que d'un fort joli logis. Ses griffes|géantes peuvent ralentir les ennemis pendant que|son att. longue portée les fait souffrir.|
%s (Rouge/Colosse)|Ce lapin a fui un labo secret pratiquant des expériences|génétiques douteuses. Gérant d'un magasin qui a fait|faillite pendant son absence, mais le bijou qu'il|porte derrière lui prédit un avenir radieux.|
%s|Descendant de Toutou. Venu du futur pour altérer le|moment du passé où son grand-père a raté un examen.|Hélas, il n'a pas été en mesure de répondre|aux questions du concours d'entrée.|
%s (Relique/Flottant)|Une arme destructrice issue d'un peuple ancien.|Son rayon est censé ne rien laisser debout.|Elle a été scellée au fond d'un océan par un sage.|La rumeur prétend qu'elle flotte maintenant à la surface.|
%s (Aku/Béhémoth)|Un puissant Béhémoth devenu démoniaque après avoir|perdu sa maison. Il n'aime pas trop les arbres de la jungle |qui l'entoure. Peut tirer des piques avec sa queue|pour immobiliser tout mouvement.|
%s (Noir/Béhémoth)|Un des trois Frères Oiseaux. Se sent bien dans l'obscurité|et aime cultiver ses plantes dangereuses. Selon la rumeur,|en tout cas. Peut éliminer les ennemis avec ses coups|de bec répétés et leur infliger des dégâts toxiques.|
%s (Relique)|Un chien créé à partir d'argile pour garder les maisons.|Il dispose de fonctions d'interférence et de brouillage|pour empêcher quiconque d'atteindre la maison.|Meilleur pouvoir: ressembler à son maître.|
%s (ange/Béhémoth)|Il règne sur la nature avec un visage effrayant,|lequel cache son bon cœur et son désir de protéger|l'environnement. Il élimine les vilains braconniers avec des|vagues, des répliques et ses poings sacrés.|
%s (zombie/Béhémoth)|Cette fourmi a trimé afin de récolter des vivres|pour l'hiver, et a fini par tant manger qu'elle|se retrouve à deux doigts de la mort.|Son estomac explose à la moindre contrariété.|
%s (ange/colosse)|Le fils d'un entrepreneur qui s'est fait pistonner pour|décrocher un boulot. Il a subi des manipulations génétiques|pour éviter qu'on le compare à son winner de père.|Il compte bientôt être candidat aux élections.|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
%s (Béhémoth)|Oiseau ancestral nimbé de foudre qui vit dans|une tour céleste. Selon la légende, cette créature|majestueuse dissimule néanmoins un naturel violent,|en particulier quand il est acculé.|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】 (Relique/Béhémoth)|Canard vieux jeu qui traîne trois petits.|Tendance à se mettre en boule. Un parent|sévère qui élève ses canetons pour qu’un jour ils quittent|le nid. Envoie de l’argent à son plus jeune caneton.|
【%s】 (Relique/Béhémoth)|Un grand gorille qui garde le bois Sacré|depuis les temps anciens. Considéré comme l’origine de|l’homme. Peut résister aux Béhémoths qui|savent manier le « Mal ancien ».|
【%s】 (Relique/Colosse)|Emmagasine le Charburant et fabrique toutes choses.|Grâce à sa puissance ultime totalement éveillée, accule|ses ennemis sans pitié avec ses énormes pattes et achève|ses proies en faisant montre d’une puissance implacable.|
【%s】 (Flottant)|Erre dans des mondes infinis en laissant une traînée de |destruction et de création dans son sillage. Sa|création reste un mystère, tout comme son pouvoir. Tous|les effets négatifs sont inefficaces contre cette créature.|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】(Akus) (Béhémoth)|Un sculpteur à succès qui vit en pleine nature. |A passé un contrat Aku pour gagner la vision rayons X|et mieux sculpter les nus. Mais ne peut désormais que|voir les os à travers les habits et la peau...|
【%s】|仮1|仮2|仮3|仮4|
【%s】(Aku)|Influenceuse qui attire l'attention de tous|par sa plastique et son influence. Elle vit dans le luxe.|Célèbre créatrice de tendances vestimentaires.|Elle donne tout son argent aux plus démunis.|
【%s】(Aku) (Colosse)|Un labo secret d'expériences génétiques douteuses|a amélioré et rendu gigantesques les enfants de Cerbère,|qui disposent de séries offensives et d'immobilisations.|Leur létalité augmente à chaque combat.|
【%s】(Flottant)|Petit frère du Cyclone blanc. Étudie l'aspiration et|la durabilité en dernière année de fac. Après|l'explosion du marché des robots aspirateurs, il a|du mal à trouver un lieu de travail.|
【%s】(Rouge) (Béhém.)|Un pégase géant capable d'enflammer les cieux|et de réduire la terre en cendres. Quiconque le contemple|est submergé de mini-vagues et immobilisé|jusqu'à finir brûlé vif.|
%s (Alien/Béhémoth)|Cochon serviteur de la 56e reine du Royaume des gorets.|A fui après une dépression nerveuse suite à trop de |promenades habillées. Mais en profitant de sa vie de cochon|sauvage, a réalisé que ces habits étaient ses propres poils.|
%s (Béhémoth)|Élevé dans un monde sans merci, manque totalement de tact |avec les dames. Après avoir léché ses plaies |suite à de constants rejets, a gagné une force mentale|suffisante pour surmonter tous les effets négatifs.|
