【超生命体特効】,超生命体に対して与えるダメージが上がり,受けるダメージが軽減されます,＠
【魂攻撃】,仮死状態のゾンビ属性の敵に,攻撃することができます,＠
【超獣特効】,超獣に対して与えるダメージが大きく上がり,受けるダメージが軽減され、たまに攻撃を回避します,＠
【攻撃間隔短縮】,攻撃間隔が短くなります,＠
【小烈波】,攻撃成功時、ランダムな場所に,追加ダメージを与える小さい烈波を放つ事ができます,＠
【烈波カウンター】,敵からの烈波攻撃でダメージを受けた時,敵に烈波攻撃を放ち返します,＠
【召喚】,出撃中にアイコンをタップで敵を攻撃する精霊を召喚します,能力の代償としてステージに同時出撃できない特性を持ちます,＠
【超賢者特効】,超賢者に対して与えるダメージが少し上がり,受けるダメージと、妨害の効果を軽減します,さらに超賢者の持つ妨害耐性を無効にします,＠
【メタルキラー】,メタルな敵に対する攻撃成功時、,敵の現在体力に応じた割合ダメージを与えることができます,＠
＠
＠
＠
＠
＠
【爆波攻撃】,攻撃成功時、左右に広がりながら,追加ダメージを与える爆波を放つ事ができます,＠
【爆波ダメージ無効】,敵からの爆波攻撃でダメージを受けません,＠
