스피드 업|전투 스피드가 2배속이 됩니다|골드 회원의 경우 3배속이 해방됩니다|(전투 중, 아이템 아이콘을 누르면 ON·OFF 가능)|＠|
캣츠아이【EX】|특정 EX캐릭터의 레벨 상한을 해방시킬 수 있습니다.|※레벨30 달성 후 사용할 수 있습니다|＠||
캣츠아이【레어】|레어 캐릭터의 레벨 상한을 해방시킬 수 있습니다.|※레벨30 달성 후 사용할 수 있습니다|＠||
캣츠아이【슈퍼 레어】|슈퍼 레어 캐릭터의 레벨 상한을 해방시킬 수 있습니다.|※레벨30 달성 후 사용할 수 있습니다|＠||
캣츠아이【울트라 슈퍼 레어】|울트라 슈퍼 레어 캐릭터의 레벨 상한을 해방시킬 수 있습니다.|※레벨30 달성 후 사용할 수 있습니다|＠||
캣츠아이【레전드】|기본 캐릭터 이외의 캐릭터의 레벨 상한을 해방시킬 수 있습니다.|※레벨30 달성 후 사용할 수 있습니다|＠||
고양이 드링크A|가마토토의 탐험 시간, 오토토의 개발 시간 또는|강습 이벤트의 대기 시간을 단축할 수 있습니다.|또한 고양이 드링크A 전용 스테이지에 도전할 수 있습니다||
고양이 드링크B|가마토토의 탐험 시간, 오토토의 개발 시간 또는|강습 이벤트의 대기 시간을 단축할 수 있습니다.|또한 고양이 드링크B 전용 스테이지에 도전할 수 있습니다||
고양이 드링크C|가마토토의 탐험 시간, 오토토의 개발 시간 또는|강습 이벤트의 대기 시간을 단축할 수 있습니다.|또한 고양이 드링크C 전용 스테이지에 도전할 수 있습니다||
캣츠아이【다크】|울트라 슈퍼 레어의 레벨 상한을 Lv51 이상 해방시킬 수 있습니다.|※레벨30 달성한 기본 캐릭터 이외의 캐릭터에도 사용 가능|||
|＠||||
냥코 대포 공격력|공격력이 상승합니다|단, 충전 시간이 약간 늘어납니다||＠|
냥코 대포 사정거리|사정거리가 늘어납니다|||＠|
냥코 대포 충전|레이저 발사까지|충전 시간이 빨라집니다||＠|
일 고양이의 일 효율|일 고양이의 일 효율을 올리면|머니의 증가 스피드가 빨라집니다||＠|
일 고양이의 지갑|일 고양이의 지갑 사이즈를 늘립니다|전투 중에 모을 수 있는 머니가 증가합니다||＠|
성 체력|냥코성의 체력이 상승합니다|||＠|
연구력|캐릭터의 생산 스피드를|올릴 수 있습니다||＠|
회계력|적을 물리칠 때마다 받는 머니를|늘릴 수 있습니다||＠|
공부력|스테이지 클리어 시에 받을 수 있는|경험치를 상승시킬 수 있습니다||＠|
통솔력|스테이지 진행시 필요한|통솔력을 상승시킬 수 있습니다||＠|
냥코 대원:더미1|＠||||
냥코 대원:더미2|＠||||
냥코 대원:더미3|＠||||
냥코 대원:더미4|＠||||
냥코 대원:더미5|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
럭키 티켓G|＠||||
XP 100000|＠||||
|＠||||
경험치A|경험치를 고양이 통조림으로 구입할 수 있습니다|＠|＠|＠|
경험치B|경험치를 고양이 통조림으로 구입할 수 있습니다|＠|＠|＠|
경험치C|경험치를 고양이 통조림으로 구입할 수 있습니다|＠|＠|＠|
경험치D|경험치를 고양이 통조림으로 구입할 수 있습니다|＠|＠|＠|
경험치E|경험치를 고양이 통조림으로 구입할 수 있습니다|＠|＠|＠|
벽돌|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
깃털|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
참숯|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
철 톱니바퀴|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
황금|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
우주석|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
수수께끼의 뼈|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
조수|냥코성 개발을 도와주는 조수|＠|＠|＠|
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
리더십|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
리스타트 팩|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠
럭키 티켓G|＠
럭키 티켓G|＠
럭키 티켓G|＠
럭키 티켓|＠
럭키 티켓G|＠
럭키 티켓|＠
럭키 티켓G|＠
럭키 티켓|＠
빅쿠리맨 초코|＠
럭키 티켓G|＠
럭키 티켓|＠
암모나이트|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
럭키 티켓G|＠
럭키 티켓G|＠
럭키 티켓|＠
럭키 티켓G|＠
레전드 티켓|＠
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
고양이 도령 사용 3시간 무제한|＠|||
야옹컴 사용 3시간 무제한|＠|||
스냥이퍼 사용 3시간 무제한|＠|||
럭키 티켓G|＠|||
럭키 티켓|＠|||
럭키 티켓G|＠|||
플래티넘 조각|＠|||
전설의 벌레 채집망|＠|||
XP 5000|＠|||
악마 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠|
악마 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠|
|＠|||
물음표 박스|＠|||
황금 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠|
|＠|||
전설의 러브레터|＠|||
자수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
홍수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
청수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
녹수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
황수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
전설의 성수|＠|||
전설의 벌레 채집망|＠|||
브론즈 훈장|＠|||
실버 훈장|＠|||
골드 훈장|＠|||
플래티넘 훈장|＠|||
전설의 프리패스|＠|||
자수석 결정|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석 결정|＠|
홍수석 결정|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석 결정|＠|
청수석 결정|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석 결정|＠|
녹수석 결정|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석 결정|＠|
황수석 결정|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석 결정|＠|
무지개 수석|냥코를 한 차원 높은 수준으로|클래스 체인지 시킬 수 있는 수석|＠|
전설의 복주머니|＠|||
전설의 러브레터|＠|||
벽돌Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
깃털Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
참숯Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
철 톱니바퀴Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
황금Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
우주석Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
수수께끼의 뼈Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
암모나이트Z|냥코성 토대, 장식의|개조, 강화에 필요한 이차원의 재료|＠|
전설의 성수|＠|||
전설의 벌레 채집망|＠|||
XP 1000000|＠|||
전설의 작은 메달|＠|||
전설의 복주머니|＠|||
전설의 러브레터|＠|||
경험치|동영상 시청 후 경험치를 획득할 수 있습니다|＠|＠|
전설의 성수|＠|||
전설의 벌레 채집망|＠|||
전설의 트랩|＠|||
|＠|||
전설의 혼|＠|||
|＠|||
|＠|||
미스터리 보물상자 (브론즈)|＠|||
미스터리 보물상자 (실버)|＠|||
미스터리 보물상자 (골드)|＠|||
1억 다운로드 기념 티켓|＠|||
전설의 러브레터|＠|||
전설의 장바구니|＠|||
전설의 덤벨|＠|||
전설의 트랩|＠|||
미스터리 보물상자 (브론즈)|＠|||
미스터리 보물상자 (실버)|＠|||
미스터리 보물상자 (골드)|＠|||
