			0	22	777	300	0
103	0	本当にゃ？	104	106
104	0	本当に本当にゃ？	105	106
105	0	適当に「はい」<br>って言ってるにゃ？	106	107				
106	0	ちゃんと答えてくれなきゃ<br>ネコカンはあげられないにゃ<br>考え直してほしいにゃ～	0			
107	0	よかったにゃ<br>お願いきいてくれてないか<br>ちょっとだけ<br>不安になっただけにゃ	108		
108	0	別に・・<br>疑ってたわけじゃないにゃ	120	
109	0	にゃ？<br>もしかしてまだ<br>おすすめして<br>くれてないにゃ？	123	130
110	0	そんにゃ～！<br>でも、たぶんあしたは<br>遊んでくれる気がするにゃ！	111	112		
111	0	うんうん<br>絶対そうにゃ～	120
112	0	ネガティブ思考はよくないにゃ<br>きっと遊んでくれるはずにゃ	109			
120	0	でもお友達が「にゃんこ大戦争」<br>楽しんでくれているか<br>心配になってきたにゃ	121	
121	0	遊んでくれてるか<br>あしたも教えてほしいにゃ！	122	123
122	0	ありがとにゃ！<br>それじゃあネコカンを準備して<br>待ってるから<br>またあした来てほしいにゃ	140
123	0	それじゃネコカンは<br>あげられないにゃ<br>ちゃんとお願いきいて欲しいにゃ	0
130	0	じゃきっと楽しさが<br>まだ分かって<br>もらえてないだけにゃ	131
131	0	もう一度楽しさを<br>伝えてきてほしいにゃ<br>にゃんこの想いを<br>届けてほしいにゃ～	122	123
140	0	・・・	141
141	0	今<br>こころの中で<br>面倒くさいって<br>思ったにゃ？	142	142
142	0	怒らないから<br>正直に言ってみるにゃ<br><br>思ったにゃ？	143	144
143	0	ちょっと<br>体育館の裏に来るにゃ	145
144	0	思ったにゃ？	143	142
145	0	うそにゃ!<br>冗談にゃ～～	146
146	20	じゃお願いするにゃ<br>またあした会えるのを<br>楽しみにしてるにゃ～	200
200	0	よく来てくれたにゃ<br>お友達はにゃんこ大戦争で<br>遊んでくれたにゃ？	201	202
201	0	ほんとに遊んでくれたにゃ？<br>モンスターなんとかとか<br>パズルなんとかっていう<br>ゲームとかじゃなかったにゃ？	203	204
202	0	残念にゃ～・・・<br>でも！にゃんこの想いは<br>伝えてくれたにゃ？	205	204		
203	0	感激にゃ！君は結果が出せる<br>頼もしいやつにゃ！<br>それではお待ちかねの<br>ネコカンプレゼントにゃ！	206
204	0	正直者は嫌いじゃないにゃ<br>でもお願いきいてくれないと<br>ネコカンはあげられないにゃ	0
205	0	そっか。まぁ世の中上手く<br>行かない事もあるにゃ<br>約束は守ってくれたから<br>ネコカンはプレゼントするにゃ	206			
206	0	・・・・・	207			
207	0	家に忘れてきたにゃ	208			
208	0	昨日の夜に準備したんだけど<br>玄関に忘れて来たにゃ	209			
209	0	またあした来てほしいにゃ<br>メンゴにゃ	210
210	0	泣きたいときは泣けばいい<br>ネコもそんな強い<br>生き物じゃないにゃ・・・	211
211	0	次はちゃんと持ってくるにゃ！<br>ネコの頭脳を信じるにゃ！	213	212
212	0	・・・・・・	213
213	20	まかせろにゃ！<br><br>じゃまたあしたにゃ～！	300		
300	0	よく来てくれたにゃ<br>今日こそネコカンをもってきたにゃ	301			
301	0	昨日の夜に絶対に忘れないように<br>ドアノブにかけておいたにゃ	302			
302	0	それでも忘れてて、駅まで行って<br>から思い出して取りに戻ったにゃ	303			
303	0	途中でちょっと食べようかと<br>思ったけどグッとこらえたにゃ	304			
304	0	これだけの量のネコカンを<br>集めるには苦労したにゃ	305			
305	0	あ、そうにゃ！	306			
306	0	実は・・・	307
307	0	言いにくいんだけどにゃ	308	
308	0	もう一つお願い聞いてほしいにゃ？	309	309
309	0	・・・	310
310	0	・・・・	311
311	0	・・・・・	312
312	0	なーんちゃってにゃ	313
313	0	うそにゃ！全部冗談にゃ！	314
314	0	数日間、にゃんこのお願いに<br>付き合ってくれて<br>うれしかったにゃ！	315			
315	0	たくさんの人がにゃんこを<br>プレイしてくれるように<br>なって幸せにゃ～	316	
316	0	それじゃお待ちかねの<br>ネコカンプレゼントにゃ！	317	
317	0	今度は正真正銘<br>本当にゃ！	318			
318	0	お願いきいてくれてありがとにゃ！<br>これからもにゃんこ大戦争を<br>よろしくにゃ！	319
319	0	よっこいしょ！<br><flash>ネコカン</flash>たっぷり<br>プレゼントにゃ～～！	-2
