＠,＠,＠,＠,＠,＠,＠,			//ネコ
第３形態への進化で攻撃力が大幅上昇！,さらにメタル以外の敵の動きを,必ず止める能力を新たに取得！,＠,第３形態への進化で攻撃力が大幅上昇！,さらにメタル以外の敵の動きを,必ず止める能力を新たに取得！,			//ネコルガ
第３形態への進化で攻撃力が上昇！,さらにメタル以外の敵の動きを,必ず一瞬遅くする能力を新たに取得！,＠,第３形態への進化で攻撃力が上昇！,さらにメタル以外の敵の動きを,必ず一瞬遅くする能力を新たに取得！,			//オタネコ
第３形態への進化で,体力、移動速度、攻撃力、射程が上昇！,＠,＠,第３形態への進化で,体力、移動速度、攻撃力、射程が上昇！,＠,			//ネコスイマー
第３形態への進化で,攻撃力が上昇！さらに生産コストも,下がり、必ず生き残るようになる！,＠,第３形態への進化で,攻撃力が上昇！さらに生産コストも,下がり、必ず生き残るようになる！,			//ネコホッピング
第３形態への進化で攻撃力と,射程が上昇！さらに再生産にかかる,時間が短くなる！,＠,第３形態への進化で攻撃力と,射程が上昇！さらに再生産にかかる,時間が短くなる！,			//ネコ車輪
第３形態への進化で,範囲攻撃を取得！さらに赤い敵の動きを,必ず止められるようになる！,＠,第３形態への進化で,範囲攻撃を取得！さらに赤い敵の動きを,必ず止められるようになる！,			//ネコリンゴ
第３形態への進化で体力が上昇！,さらに攻撃速度も上昇！,＠,＠,第３形態への進化で体力が上昇！,さらに攻撃速度も上昇！,＠,			//ネコバスたぶ
第３形態への進化で,攻撃力が上昇！さらに,敵の攻撃力ダウン効果を無効化！,＠,第３形態への進化で,攻撃力が上昇！さらに,敵の攻撃力ダウン効果を無効化！,			//ネコエステ
第３形態への進化で攻撃力と,射程が上昇！さらに赤い敵の動きを,必ず止められるようになる！,＠,第３形態への進化で攻撃力と,射程が上昇！さらに赤い敵の動きを,必ず止められるようになる！,			//ネコアイス
第３形態への進化で全体的に,パワーアップ！さらに波動を打ち消し、,波動ダメージも無効化する能力を取得！,＠,第３形態への進化で全体的に,パワーアップ！さらに波動を打ち消し、,波動ダメージも無効化する能力を取得！,			//ネコマシン
第３形態への進化で体力と攻撃力上昇！,強力な単体攻撃を放つ！,＠,＠,第３形態への進化で体力と攻撃力上昇！,強力な単体攻撃を放つ！,＠,			//鬼にゃんま
＠,＠,＠,＠,＠,＠,＠,			//芸者ねこ
第３形態への進化で,体力と攻撃力と射程が上昇！さらに,クリティカルが発生しやすくなる！,＠,第３形態への進化で,体力と攻撃力と射程が上昇！さらに,クリティカルが発生しやすくなる！,			//ねこジュラ
第３形態への進化で体力が大幅上昇！,さらに範囲攻撃を取得！,＠,＠,第３形態への進化で体力が大幅上昇！,さらに範囲攻撃を取得！,＠,			//ねこファイター
第３形態への進化で体力が大幅上昇！,さらに射程も上昇し、赤い敵を,ふっとばしやすくなる！,＠,第３形態への進化で体力が大幅上昇！,さらに射程も上昇し、赤い敵を,ふっとばしやすくなる！,			//ねこ海賊
第３形態への進化で,攻撃力と射程が上昇！,さらに範囲攻撃を取得！,＠,第３形態への進化で,攻撃力と射程が上昇！,さらに範囲攻撃を取得！,			//ねこ泥棒
第３形態への進化で,体力と攻撃力と射程が上昇！,さらに範囲攻撃を取得！,＠,第３形態への進化で,体力と攻撃力と射程が上昇！,さらに範囲攻撃を取得！,			//ねこ僧侶
第３形態への進化で体力が大幅上昇！,さらに浮いてる敵を,ふっとばしやすくなる！,＠,第３形態への進化で体力が大幅上昇！,さらに浮いてる敵を,ふっとばしやすくなる！,			//ねこ占い師
第３形態への進化で攻撃力と射程上昇！,さらに浮いてる敵の,動きを止める時間が長くなる！,＠,第３形態への進化で攻撃力と射程上昇！,さらに浮いてる敵の,動きを止める時間が長くなる！,			//ネコシャーマン
＠,＠,＠,＠,＠,＠,＠,			//エヴァンジェリスト
＠,＠,＠,＠,＠,＠,＠,			//10式戦車
第３形態への進化で体力と射程が上昇！,さらに赤い敵の動きを遅くする,時間が長くなる！,＠,第３形態への進化で体力と射程が上昇！,さらに赤い敵の動きを遅くする,時間が長くなる！,			//ネコ魔女
第３形態への進化で,体力、移動速度、攻撃力、射程が上昇！,＠,＠,第３形態への進化で,体力、移動速度、攻撃力、射程が上昇！,＠,			//ネコアーチャー
第３形態への進化で全体的に,パワーアップし、クリティカル率も上昇！,さらに敵のふっとばし効果を無効化！,＠,第３形態への進化で全体的に,パワーアップし、クリティカル率も上昇！,さらに敵のふっとばし効果を無効化！,			//ネコシュバリエ
第３形態への進化で,体力と攻撃力が上昇！,＠,＠,第３形態への進化で,体力と攻撃力が上昇！,＠,			//ネコ魔剣士
第３形態への進化で全体的に,パワーアップ！さらに波動攻撃を取得！,＠,＠,第４形態への進化で移動速度が上昇！,さらに全方位攻撃になり,波動のレベルがアップ！,			//ねこベビー
＠,＠,＠,＠,＠,＠,＠,			//ネコブ・ロンズ
第３形態への進化で体力が大幅上昇！,＠,＠,＠,第３形態への進化で体力が大幅上昇！,＠,＠,			//ねこ寿司
＠,＠,＠,＠,＠,＠,＠,			//ネコポン
＠,＠,＠,＠,＠,＠,＠,			//ネコ運動会
＠,＠,＠,＠,＠,＠,＠,			//剣士
＠,＠,＠,＠,＠,＠,＠,			//ウシ姫
第３形態への進化で攻撃速度が上昇！,さらに再生産にかかる時間が短くなり,黒い敵の動きを止める時間が長くなる！,＠,第３形態への進化で攻撃速度が上昇！,さらに再生産にかかる時間が短くなり,黒い敵の動きを止める時間が長くなる！,			//KHM48
第３形態への進化で体力が上昇！,さらに敵のふっとばし効果を無効化！,＠,＠,第３形態への進化で体力が上昇！,さらに敵のふっとばし効果を無効化！,＠,			//チビガウ
第３形態への進化で,体力と攻撃力が上昇！,さらに攻撃回数も上昇！,＠,第３形態への進化で,体力と攻撃力が上昇！,さらに攻撃回数も上昇！,			//執行者
＠,＠,＠,＠,＠,＠,＠,			//眠れるケリの美女
＠,＠,＠,＠,＠,＠,＠,			//ネコリーマン
第３形態への進化で攻撃力が上昇！,さらに移動速度も上昇して,誰よりも速くなる！,＠,第３形態への進化で攻撃力が上昇！,さらに移動速度も上昇して,誰よりも速くなる！,			//真田幸村
第３形態への進化で,全体的にパワーアップ！,さらに攻撃力が上昇しやすくなる！,＠,第３形態への進化で,全体的にパワーアップ！,さらに攻撃力が上昇しやすくなる！,			//前田慶次
第３形態への進化で体力が大幅上昇！,さらに攻撃力も上昇して,黒い敵の動きを止める時間が長くなる！,＠,第４形態への進化で体力が上昇！,さらに悪魔の動きを止める能力と,烈波カウンターを取得！,			//織田信長
＠,＠,＠,＠,＠,＠,＠,			//トナカイフィッシュ
第３形態への進化で,体力と移動速度が大幅上昇！,さらに攻撃力と射程も上昇！,＠,第４形態への進化で射程が上昇！,さらに移動速度と攻撃速度が速くなり、,浮いてる敵に極ダメージを与える！,			//風神のウィンディ
第３形態への進化で,体力と移動速度が大幅上昇！,さらに攻撃力と射程も上昇！,＠,第４形態への進化で大きく性能が変化！,さらに攻撃範囲が拡大し、必ず生き残り,遅くすると攻撃力ダウン効果を無効化！,			//雷神のサンディア
＠,＠,＠,＠,＠,＠,＠,			//ドロイド
＠,＠,＠,＠,＠,＠,＠,			//ネコと宇宙
＠,＠,＠,＠,＠,＠,＠,			//にゃんこ成人
＠,＠,＠,＠,＠,＠,＠,			//吾輩は鬼である
＠,＠,＠,＠,＠,＠,＠,			//ひなにゃんこ
＠,＠,＠,＠,＠,＠,＠,			//ネコ忍者～青～
第３形態への進化で全体的に,パワーアップ！さらに浮いてる敵を,必ずふっとばすようになる！,＠,第３形態への進化で全体的に,パワーアップ！さらに浮いてる敵を,必ずふっとばすようになる！,			//地龍ソドム
第３形態への進化で,体力、移動速度、攻撃力、射程が上昇！,＠,＠,第３形態への進化で,体力、移動速度、攻撃力、射程が上昇！,＠,			//聖龍メギドラ
第３形態への進化で,体力、攻撃力、射程が上昇！,＠,＠,第３形態への進化で,体力、攻撃力、射程が上昇！,＠,			//竜騎士バルス
第３形態への進化で,体力、射程、攻撃速度が上昇！,＠,＠,第３形態への進化で,体力、射程、攻撃速度が上昇！,＠,			//神龍かむくら
第３形態への進化で,体力、移動速度、射程が上昇！,さらに赤い敵にめっぽう強くなる！,＠,第３形態への進化で,体力、移動速度、射程が上昇！,さらに赤い敵にめっぽう強くなる！,			//竜戦機ライデン
＠,＠,＠,＠,＠,＠,＠,			//ネコなわとび
＠,＠,＠,＠,＠,＠,＠,			//ニムエ
＠,＠,＠,＠,＠,＠,＠,			//猿王
＠,＠,＠,＠,＠,＠,＠,			//狂乱のネコ
＠,＠,＠,＠,＠,＠,＠,			//狂乱のタンクネコ
＠,＠,＠,＠,＠,＠,＠,			//狂乱のバトルネコ
＠,＠,＠,＠,＠,＠,＠,			//狂乱のキモネコ
＠,＠,＠,＠,＠,＠,＠,			//狂乱のウシネコ
＠,＠,＠,＠,＠,＠,＠,			//狂乱のネコノトリ
＠,＠,＠,＠,＠,＠,＠,			//狂乱のネコフィッシュ
＠,＠,＠,＠,＠,＠,＠,			//狂乱のネコトカゲ
＠,＠,＠,＠,＠,＠,＠,			//狂乱の巨神ネコ
＠,＠,＠,＠,＠,＠,＠,			//ネコ乙女
＠,＠,＠,＠,＠,＠,＠,			//弱酸性エル
＠,＠,＠,＠,＠,＠,＠,			//レッドマローン
＠,＠,＠,＠,＠,＠,＠,			//歌謡にゃんこ
＠,＠,＠,＠,＠,＠,＠,			//マジでコイしてる
第３形態への進化で,体力、攻撃力、射程、攻撃速度が上昇！,さらに敵の攻撃力ダウン効果を無効化！,＠,第３形態への進化で,体力、攻撃力、射程、攻撃速度が上昇！,さらに敵の攻撃力ダウン効果を無効化！,			//猿帝のクウ
第３形態への進化で攻撃力が上昇！,さらに体力と移動速度が大幅上昇して,敵のふっとばし効果を無効化！,＠,第３形態への進化で攻撃力が上昇！,さらに体力と移動速度が大幅上昇して,敵のふっとばし効果を無効化！,			//召し豚のカイ
第３形態への進化で,体力と攻撃力と射程が上昇！さらに,浮いてる敵の動きを止めやすくなる！,＠,第３形態への進化で,体力と攻撃力と射程が上昇！さらに,浮いてる敵の動きを止めやすくなる！,			//宝杖のカッパーマイン
＠,＠,＠,＠,＠,＠,＠,			//にゃんこ３兄弟
＠,＠,＠,＠,＠,＠,＠,			//マダム・ザ・花嫁
＠,＠,＠,＠,＠,＠,＠,			//セレス
第３形態への進化で移動速度が上昇して,生産コストが減少！,さらにまれに生き残るようになる！,＠,第３形態への進化で移動速度が上昇して,生産コストが減少！,さらにまれに生き残るようになる！,	//ノノ
＠,＠,＠,＠,＠,＠,＠,			//オルガ
＠,＠,＠,＠,＠,＠,＠,			//ノルン
＠,＠,＠,＠,＠,＠,＠,			//よいち
＠,＠,＠,＠,＠,＠,＠,			//セラム
＠,＠,＠,＠,＠,＠,＠,			//フウ
＠,＠,＠,＠,＠,＠,＠,			//アウラ
＠,＠,＠,＠,＠,＠,＠,			//レイ
第３形態への進化で体力が大幅上昇！,さらに黒い敵の攻撃力をたまにダウンさせ、,遅くする無効と超生命体特効を取得！,＠,第３形態への進化で体力が大幅上昇！,さらに黒い敵の攻撃力をたまにダウンさせ、,遅くする無効と超生命体特効を取得！,			//ワイバーン
＠,＠,＠,＠,＠,＠,＠,			//癒術士
＠,＠,＠,＠,＠,＠,＠,			//メルク
＠,＠,＠,＠,＠,＠,＠,			//女王様の休日
第３形態への進化で体力が大幅上昇！,さらに赤い敵に打たれ強い能力と,波動攻撃と超獣特効を新たに取得！,＠,第３形態への進化で体力が大幅上昇！,さらに赤い敵に打たれ強い能力と,波動攻撃と超獣特効を新たに取得！,		//マメマメにゃんこ
第３形態への進化で,体力と攻撃力と射程が上昇！,＠,＠,第３形態への進化で,体力と攻撃力と射程が上昇！,＠,			//伊達政宗
第３形態への進化で,体力と攻撃力と射程が上昇！,＠,＠,第３形態への進化で,体力と攻撃力と射程が上昇！,＠,			//武田信玄
＠,＠,＠,＠,＠,＠,＠,			//カラクリにゃんこ
＠,＠,＠,＠,＠,＠,＠,			//ネコフラワー
＠,＠,＠,＠,＠,＠,＠,			//うらめしにゃん
第３形態への進化で体力が上昇！,さらに波動ダメージも無効化！,＠,＠,第３形態への進化で体力が上昇！,さらに波動ダメージも無効化！,＠,			//金ネコ
第３形態への進化で,体力と攻撃力と射程が上昇！さらに,味方の効果を封じる古代の呪いを無効化！,＠,第３形態への進化で,体力と攻撃力と射程が上昇！さらに,味方の効果を封じる古代の呪いを無効化！,			//ウルフとウルルン
＠,＠,＠,＠,＠,＠,＠,			//ねねこ
＠,＠,＠,＠,＠,＠,＠,			//カンフーにゃんこG
＠,＠,＠,＠,＠,＠,＠,			//ヒカキン
第３形態への進化で,体力と攻撃力と射程が上昇！さらに,敵の攻撃力ダウン効果を無効化！,＠,第３形態への進化で,体力と攻撃力と射程が上昇！さらに,敵の攻撃力ダウン効果を無効化！,			//うらしまタロウ
第３形態への進化で攻撃力が上昇！,さらに天使と浮いてる敵の動きを,必ず止める能力を新たに取得！,＠,第４形態への進化で全方位攻撃になり、,体力が上昇！さらに生産コストも下がり,波動攻撃と超賢者特効を取得！,			//ツルの恩返し
第３形態への進化で全体的に,パワーアップ！さらに赤い敵と天使の,動きを止めやすくなる！,＠,第３形態への進化で全体的に,パワーアップ！さらに赤い敵と天使の,動きを止めやすくなる！,			//ももたろう
第３形態への進化で,体力と射程と攻撃速度が上昇！,さらに攻撃回数も上昇！,＠,第３形態への進化で,体力と射程と攻撃速度が上昇！,さらに攻撃回数も上昇！,			//かさじぞう
第３形態への進化で全体的に,パワーアップ！さらに天使と,メタルな敵の動きを必ず遅くする！,＠,第４形態でかつての姿に,ウルトラ進化！,さらにメタルキラーも取得！,
＠,＠,＠,＠,＠,＠,＠,			//ネコンドー
＠,＠,＠,＠,＠,＠,＠,			//ふにゅふにゅネコ
＠,＠,＠,＠,＠,＠,＠,			//神様
＠,＠,＠,＠,＠,＠,＠,			//ネコチュートリアル
第３形態への進化で,移動速度が大幅上昇！,さらに体力、攻撃力、射程も上昇！,＠,第３形態への進化で,移動速度が大幅上昇！,さらに体力、攻撃力、射程も上昇！,			//ねこナース
第３形態への進化で射程が上昇！,さらに攻撃力が大幅上昇し、波動が,遠くまで届くようになる！,＠,第３形態への進化で射程が上昇！,さらに攻撃力が大幅上昇し、波動が,遠くまで届くようになる！,			//にゃんこ城Mini
第３形態への進化で,体力と攻撃力と射程が上昇！さらに,黒い敵の動きを遅くする時間が長くなる！,＠,第３形態への進化で,体力と攻撃力と射程が上昇！さらに,黒い敵の動きを遅くする時間が長くなる！,			//ねこガンマン
第３形態への進化で,体力と攻撃力が大幅上昇！,さらに天使をふっとばしやすくなる！,＠,第３形態への進化で,体力と攻撃力が大幅上昇！,さらに天使をふっとばしやすくなる！,			//たけうまねこ
第３形態への進化で,移動速度は低下するが,体力、攻撃力、射程が上昇！,＠,第３形態への進化で,移動速度は低下するが,体力、攻撃力、射程が上昇！,			//ブリキネコ
第３形態への進化で,体力と攻撃力が上昇！,＠,＠,第３形態への進化で,体力と攻撃力が上昇！,＠,			//ねこロッカー
第３形態への進化で,体力、移動速度、射程が上昇！,さらに範囲攻撃を取得！,＠,第３形態への進化で,体力、移動速度、射程が上昇！,さらに範囲攻撃を取得！,			//ねこ人魚
第３形態への進化で射程が上昇！,さらに再生産にかかる時間が短くなり,天使の動きを止める時間が長くなる！,＠,第３形態への進化で射程が上昇！,さらに再生産にかかる時間が短くなり,天使の動きを止める時間が長くなる！,			//窓辺の乙女ネコ
第３形態への進化で,体力と攻撃力と射程が上昇！,＠,＠,第３形態への進化で,体力と攻撃力と射程が上昇！,＠,			//ネコバーベル
第３形態への進化で体力と攻撃力上昇！,味方の効果を封じる古代の呪いを無効化し,古代種にめっぽう強くなる！,＠,第３形態への進化で体力と攻撃力上昇！,味方の効果を封じる古代の呪いを無効化し,古代種にめっぽう強くなる！,			//ネコスケート
第３形態への進化で体力と攻撃力上昇！,さらにバリア破壊能力を取得し、,天使の動きを遅くする時間が長くなる！,＠,第３形態への進化で体力と攻撃力上昇！,さらにバリア破壊能力を取得し、,天使の動きを遅くする時間が長くなる！,			//ネコトースター
＠,＠,＠,＠,＠,＠,＠,			//ねこフープ
＠,＠,＠,＠,＠,＠,＠,			//のべにゃん
＠,＠,＠,＠,＠,＠,＠,			//ドラリー剣士
＠,＠,＠,＠,＠,＠,＠,			//ヌボボ
第３形態への進化で,体力、移動速度、攻撃速度が上昇！,＠,＠,第４形態への進化で体力と射程が上昇し,再生産にかかる時間が短くなる！,さらに必ず小波動を放つようになる！,			//上杉謙信
第３形態への進化で,攻撃力と射程が上昇！,＠,＠,第３形態への進化で,攻撃力と射程が上昇！,＠,			//冥界のカリファ
第３形態への進化で体力と射程が上昇！,さらに移動速度と攻撃速度も上昇！,＠,＠,第３形態への進化で体力と射程が上昇！,さらに移動速度と攻撃速度も上昇！,＠,			//ユーリンチー
第３形態への進化で,体力、攻撃速度、射程が上昇！さらに,メタルな敵をふっとばしやすくなる！,＠,第３形態への進化で,体力、攻撃速度、射程が上昇！さらに,メタルな敵をふっとばしやすくなる！,			//狂乱のケリ姫
＠,＠,＠,＠,＠,＠,＠,			//綾小路 翔
＠,＠,＠,＠,＠,＠,＠,			//早乙女 光
＠,＠,＠,＠,＠,＠,＠,			//西園寺 瞳
＠,＠,＠,＠,＠,＠,＠,			//星グランマニエ
＠,＠,＠,＠,＠,＠,＠,			//白鳥松竹梅
＠,＠,＠,＠,＠,＠,＠,			//ネコヤンキー
第３形態への進化で,射程が大幅上昇！,＠,＠,第３形態への進化で,射程が大幅上昇！,＠,			//アシルガ
第３形態への進化でふっとばし能力を,失うが、通常の攻撃と波動の両方で,必ずクリティカルが発生するようになる！,＠,第３形態への進化でふっとばし能力を,失うが、通常の攻撃と波動の両方で,必ずクリティカルが発生するようになる！,			//クビルガ
第３形態への進化で射程が上昇！,さらにクリティカルが発生しやすくなる！,＠,＠,第３形態への進化で射程が上昇！,さらにクリティカルが発生しやすくなる！,＠,			//テコルガ
第３形態への進化で敵の攻撃力を,ダウンさせる能力を新たに取得！さらに,敵の動きを止める時間が長くなる！,＠,第３形態への進化で敵の攻撃力を,ダウンさせる能力を新たに取得！さらに,敵の動きを止める時間が長くなる！,			//バララガ
第３形態で全体的にパワーアップ！,さらに敵の動きを遅くしやすくなり,味方の効果を封じる古代の呪いを無効化！,＠,第３形態で全体的にパワーアップ！,さらに敵の動きを遅くしやすくなり,味方の効果を封じる古代の呪いを無効化！,			//コニャンダム
第３形態への進化で,再生産にかかる時間が短くなる！,＠,＠,第３形態への進化で,再生産にかかる時間が短くなる！,＠,			//厨房マンボウ
第３形態への進化で射程が上昇！,＠,＠,＠,第３形態への進化で射程が上昇！,＠,＠,			//マンボ王
＠,＠,＠,＠,＠,＠,＠,			//にゃんぼう
＠,＠,＠,＠,＠,＠,＠,			//マシュマロにゃん
第３形態で全体的にパワーアップ！,バリア破壊能力を取得し、天使を必ず,ふっとばして動きを遅くするようになる！,＠,体力と攻撃力が上昇し攻撃範囲が拡大！,さらにエイリアンを必ずふっとばして,動きを遅くする能力を取得！,			//覇龍ディオラムス
＠,＠,＠,＠,＠,＠,＠,			//極道にゃんこ
＠,＠,＠,＠,＠,＠,＠,			//タクヤとユキ
第３形態への進化で,射程と攻撃速度が上昇！,さらに敵の攻撃力ダウン効果を無効化！,＠,第３形態への進化で,射程と攻撃速度が上昇！,さらに敵の攻撃力ダウン効果を無効化！,			//謎の少女ユキ
＠,＠,＠,＠,＠,＠,＠,			//ゆきにゃん
＠,＠,＠,＠,＠,＠,＠,			//183
＠,＠,＠,＠,＠,＠,＠,			//にゃんこカートR
＠,＠,＠,＠,＠,＠,＠,			//ミスターニンジャ
第３形態への進化で,体力と移動速度と射程が上昇！,さらにクリティカル率も上昇！,＠,第３形態への進化で,体力と移動速度と射程が上昇！,さらにクリティカル率も上昇！,			//ハルシュト
＠,＠,＠,＠,＠,＠,＠,			//コーネリア
第３形態への進化で攻撃力は低下するが,体力と攻撃速度が上昇！追加でたまに,天使からの攻撃を無効化する能力を取得！,＠,第３形態への進化で攻撃力は低下するが,体力と攻撃速度が上昇！追加でたまに,天使からの攻撃を無効化する能力を取得！,			//ユーヴェンス
第３形態への進化で攻撃力が上昇！,さらに黒い敵と悪魔の動きを,必ず遅くする能力を取得！,＠,第３形態への進化で攻撃力が上昇！,さらに黒い敵と悪魔の動きを,必ず遅くする能力を取得！,			//ミスティカ
＠,＠,＠,＠,＠,＠,＠,			//アロイス
＠,＠,＠,＠,＠,＠,＠,			//シトルイユ
＠,＠,＠,＠,＠,＠,＠,			//ティティ
＠,＠,＠,＠,＠,＠,＠,			//山岡実乃里
＠,＠,＠,＠,＠,＠,＠,			//中村奏絵
第３形態への進化で,エイリアンにめっぽう強くなる！,＠,＠,第３形態への進化で,エイリアンにめっぽう強くなる！,＠,			//アキラ
第３形態への進化で,エイリアンに超ダメージを与え、,必ず動きを遅くする能力を取得！,＠,第３形態への進化で,エイリアンに超ダメージを与え、,必ず動きを遅くする能力を取得！,			//西園寺メカ子
第３形態への進化で,エイリアンと古代種に超ダメージを与え、,味方の効果を封じる古代の呪いを無効化！,＠,第３形態への進化で,エイリアンと古代種に超ダメージを与え、,味方の効果を封じる古代の呪いを無効化！,			//キャットマンダディ
第３形態への進化で,移動速度が大幅上昇！,さらに体力と攻撃速度が上昇！,＠,第３形態への進化で,移動速度が大幅上昇！,さらに体力と攻撃速度が上昇！,			//サイキックネコ
第３形態への進化で体力と攻撃力上昇！,攻撃速度は下がるが敵の攻撃力を,必ずダウンさせるようになる！,＠,第３形態への進化で体力と攻撃力上昇！,攻撃速度は下がるが敵の攻撃力を,必ずダウンさせるようになる！,			//ねこ陰陽師
第３形態への進化で体力が上昇！,さらにエイリアンの動きを止めやすくなり,必ず生き残るようになる！,＠,第３形態への進化で体力が上昇！,さらにエイリアンの動きを止めやすくなり,必ず生き残るようになる！,			//ネコサーファー
＠,＠,＠,＠,＠,＠,＠,			//メタルネコ
＠,＠,＠,＠,＠,＠,＠,			//ドラムメニャー
＠,＠,＠,＠,＠,＠,＠,			//小籠包にゃんこ
第３形態への進化で,移動速度が上昇！さらに,天使とエイリアンにめっぽう強くなる！,＠,第３形態への進化で,移動速度が上昇！さらに,天使とエイリアンにめっぽう強くなる！,			//カチカチヤマンズ
＠,＠,＠,＠,＠,＠,＠,			//アイルー
＠,＠,＠,＠,＠,＠,＠,			//シェリア【キリン】
＠,＠,＠,＠,＠,＠,＠,			//リオレウス
＠,＠,＠,＠,＠,＠,＠,			//リオレイア
＠,＠,＠,＠,＠,＠,＠,			//キリンネコ
＠,＠,＠,＠,＠,＠,＠,			//ちびネコ
＠,＠,＠,＠,＠,＠,＠,			//ちびタンクネコ
＠,＠,＠,＠,＠,＠,＠,			//ちびバトルネコ
第３形態への進化で,赤い敵とエイリアンを必ずふっとばし、,攻撃力をダウンさせる能力を取得！,＠,第４形態への進化で大きく性能が変化！,攻撃範囲が拡大し、,さらに超賢者特効を取得！,			//ホワイトラビット
第３形態への進化で射程が上昇！,＠,＠,＠,第３形態への進化で射程が上昇！,＠,＠,			//214
＠,＠,＠,＠,＠,＠,＠,			//百太郎
＠,＠,＠,＠,＠,＠,＠,			//マルコ
＠,＠,＠,＠,＠,＠,＠,			//ターマ
＠,＠,＠,＠,＠,＠,＠,			//エリ
＠,＠,＠,＠,＠,＠,＠,			//フィオ
＠,＠,＠,＠,＠,＠,＠,			//SV-001
＠,＠,＠,＠,＠,＠,＠,			//アレン・オニール
＠,＠,＠,＠,＠,＠,＠,			//マーズピープル
第３形態への進化で体力が上昇！,さらに黒い敵にめっぽう強くなり、,ワープ無効能力を取得！,＠,第３形態への進化で体力が上昇！,さらに黒い敵にめっぽう強くなり、,ワープ無効能力を取得！,			//ヒュージハーミット
第３形態への進化で体力が上昇！,さらに烈波攻撃とバリア破壊能力を取得！,＠,＠,第３形態への進化で体力が上昇！,さらに烈波攻撃とバリア破壊能力を取得！,＠,			//ジュピターキング
第３形態への進化で,属性を持たない敵に打たれ強く、,たまにふっとばす能力を取得！,＠,第３形態への進化で,属性を持たない敵に打たれ強く、,たまにふっとばす能力を取得！,			//モーデン元帥
第３形態への進化で攻撃力と体力が上昇！,さらに生産コストも減少！,＠,＠,第３形態への進化で攻撃力と体力が上昇！,さらに生産コストも減少！,＠,			//ハイドゥ
第３形態への進化でエイリアンしか,攻撃できなくなるが体力と攻撃力が,超上昇し、複数の妨害効果を無効化！,＠,第３形態への進化でエイリアンしか,攻撃できなくなるが体力と攻撃力が,超上昇し、複数の妨害効果を無効化！,			//呪術師デスピエロ
第３形態への進化で,黒い敵にめっぽう強くなる！,さらに超獣特効も取得！,＠,第３形態への進化で,黒い敵にめっぽう強くなる！,さらに超獣特効も取得！,			//にゃんぷきん
